participant,round,size_leaf_norm,size_score_norm,size_feedback_norm,size_speed_norm,size_accel_norm,size_labels_norm,opacity_norm,size_leaf_phys,size_score_phys,size_feedback_phys,size_speed_phys,size_accel_phys,size_labels_phys,opacity_phys,visible_leaf,visible_score,visible_feedback,visible_accel,visible_labels,speed_alpha
P06,1,0.806,0.7127,0.8271,0.3709,0.3917,0.5462,0.3599,1.0478,0.9265,1.0752,0.8596,0.5092,0.7101,0.4239,True,True,True,False,True,0.4239
P06,2,0.9719,0.3467,0.2103,0.8143,0.9946,0.2457,0.0517,1.2635,0.4507,0.2734,1.17,1.293,0.3194,0.1465,True,False,False,True,False,0.4
P06,3,0.5094,0.8596,0.5912,0.1891,0.1244,0.1092,0.2226,0.6622,1.1175,0.7686,0.7324,0.1617,0.142,0.3003,True,True,True,False,False,0.4
P06,4,0.9743,0.7717,0.2811,0.788,0.6174,0.5103,0.1998,1.2666,1.0032,0.3654,1.1516,0.8026,0.6634,0.2798,True,True,False,True,True,0.4
P06,5,0.1146,0.6818,0.6487,0.4411,0.4304,0.4116,0.5255,0.149,0.8863,0.8433,0.9088,0.5595,0.5351,0.5729,False,True,True,False,False,0.5729
P06,6,0.4499,0.0038,0.9482,0.1614,0.7095,0.4659,0.3968,0.5849,0.0049,1.2327,0.713,0.9224,0.6057,0.4571,False,False,True,True,True,0.4571
P06,7,0.6234,0.2292,0.6418,0.8622,0.5531,0.6931,0.7411,0.8104,0.298,0.8343,1.2035,0.719,0.901,0.767,True,False,True,True,True,0.767
P06,8,0.345,0.7034,0.9173,0.6875,0.4004,0.0936,0.6398,0.4485,0.9144,1.1925,1.0813,0.5205,0.1217,0.6758,False,True,True,False,False,0.6758
P06,9,0.1239,0.133,0.6172,0.733,0.7734,0.7648,0.6258,0.1611,0.1729,0.8024,1.1131,1.0054,0.9942,0.6632,False,False,True,True,True,0.6632
P06,10,0.848,0.9212,0.1002,0.6791,0.8491,0.2052,0.8642,1.1024,1.1976,0.1303,1.0754,1.1038,0.2668,0.8778,True,True,False,True,False,0.8778
P06,11,0.1826,0.0028,0.2391,0.7925,0.9133,0.4967,0.389,0.2374,0.0036,0.3108,1.1547,1.1873,0.6457,0.4501,False,False,False,True,True,0.4501
P06,12,0.0766,0.5461,0.9217,0.5593,0.9817,0.2141,0.8811,0.0996,0.7099,1.1982,0.9915,1.2762,0.2783,0.893,False,True,True,True,False,0.893
P06,13,0.4302,0.2016,0.9595,0.1959,0.2887,0.2,0.2302,0.5593,0.2621,1.2473,0.7371,0.3753,0.26,0.3072,False,False,True,False,False,0.4
P06,14,0.5888,0.596,0.5232,0.0152,0.1826,0.8947,0.4388,0.7654,0.7748,0.6802,0.6106,0.2374,1.1631,0.4949,True,True,True,False,True,0.4949
P06,15,0.8365,0.3037,0.5602,0.7247,0.9739,0.4446,0.3375,1.0875,0.3948,0.7283,1.1073,1.2661,0.578,0.4038,True,False,True,True,False,0.4038
P06,16,0.2549,0.2879,0.5732,0.7888,0.8879,0.4295,0.4799,0.3314,0.3743,0.7452,1.1522,1.1543,0.5584,0.5319,False,False,True,True,False,0.5319
P06,17,0.1558,0.5302,0.5741,0.926,0.8728,0.4262,0.148,0.2025,0.6893,0.7463,1.2482,1.1346,0.5541,0.2332,False,True,True,True,False,0.4
P06,18,0.7346,0.5728,0.5339,1.0,0.8566,0.4143,0.0935,0.955,0.7446,0.6941,1.3,1.1136,0.5386,0.1842,True,True,True,True,False,0.4
P06,19,0.0434,0.5662,0.6154,0.8866,0.9064,0.4341,0.3098,0.0564,0.7361,0.8,1.2206,1.1783,0.5643,0.3788,False,True,True,True,False,0.4
P06,20,0.1997,0.4981,0.564,0.8389,0.8572,0.3956,0.137,0.2596,0.6475,0.7332,1.1872,1.1144,0.5143,0.2233,False,True,True,True,False,0.4
P06,21,0.2,0.498,0.564,0.839,0.857,0.396,0.137,0.26,0.6474,0.7332,1.1873,1.1141,0.5148,0.2233,False,True,True,True,False,0.4
