UserID;ConditionID;GroupID;Timestamp;Iteration;Phase;IsPareto;energy;taskload;accInformed;accPleasant;accGlance;size_leaf;size_score;size_feedback;size_speed;size_accel;size_labels;opacity
14;v1;Study;2026-08-25 16:30:52;1;sampling;FALSE;27.639;32.5;25.0;25.0;50.0;0.121;0.234;0.084;0.927;0.557;0.733;0.588
14;v1;Study;2026-08-25 16:32:23;2;sampling;TRUE;21.986;17.5;70.0;65.0;65.0;0.471;0.071;0.125;0.212;0.396;0.683;0.473
14;v1;Study;2026-08-25 16:34:34;3;sampling;FALSE;22.221;25.0;40.0;55.0;60.0;0.899;0.01;0.326;0.303;0.721;0.232;0.006
14;v1;Study;2026-08-25 16:37:14;4;sampling;FALSE;30.352;55.0;60.0;30.0;60.0;0.118;0.93;0.095;0.8;0.641;0.256;0.505
14;v1;Study;2026-08-25 16:38:47;5;sampling;FALSE;22.527;40.0;70.0;55.0;40.0;0.057;0.408;0.601;0.043;0.215;0.124;0.075
14;v1;Study;2026-08-25 16:39:36;6;sampling;FALSE;29.556;60.0;70.0;65.0;65.0;0.754;0.598;0.307;0.971;0.293;0.229;0.766
14;v1;Study;2026-08-25 16:41:27;7;sampling;FALSE;23.065;50.0;65.0;65.0;65.0;0.146;0.902;0.509;0.933;0.974;0.761;0.472
14;v1;Study;2026-08-25 16:43:21;8;sampling;TRUE;21.902;15.0;20.0;25.0;30.0;0.677;0.606;0.001;0.32;0.714;0.091;0.663
14;v1;Study;2026-08-25 16:44:28;9;sampling;TRUE;18.583;62.5;80.0;45.0;70.0;0.249;0.192;0.687;0.588;0.744;0.504;0.593
14;v1;Study;2026-08-25 16:45:15;10;sampling;TRUE;25.672;30.0;55.0;75.0;65.0;0.865;0.58;0.07;0.321;0.232;0.545;0.623
14;v1;Study;2026-08-25 16:46:48;11;sampling;FALSE;28.758;35.0;0.0;30.0;0.0;0.116;0.129;0.234;0.422;0.905;0.836;0.529
14;v1;Study;2026-08-25 16:48:17;12;sampling;FALSE;25.517;30.0;60.0;35.0;20.0;0.479;0.808;0.727;0.107;0.637;0.57;0.03
14;v1;Study;2026-08-25 16:50:10;13;sampling;TRUE;18.838;25.0;70.0;55.0;55.0;0.429;0.769;0.172;0.44;0.51;0.45;0.025
14;v1;Study;2026-08-25 16:51:39;14;sampling;FALSE;24.691;30.0;65.0;65.0;60.0;0.03;0.482;0.33;0.425;0.997;0.457;0.369
14;v1;Study;2026-08-25 16:52:50;15;sampling;FALSE;28.606;50.0;65.0;55.0;65.0;0.166;0.008;0.5;0.936;0.614;0.435;0.94
14;v1;Study;2026-08-25 16:55:15;16;optimization;TRUE;34.884;5.0;0.0;70.0;0.0;0.397;0.179;0.131;0.259;0.241;0.529;0.482
14;v1;Study;2026-08-25 16:58:57;17;optimization;FALSE;23.26;45.0;30.0;45.0;25.0;0.242;0.28;0.358;0.285;0.804;0.467;0.25
14;v1;Study;2026-08-25 17:01:48;18;optimization;TRUE;29.213;25.0;70.0;85.0;60.0;0.475;0.0;0.082;0.16;0.124;0.706;0.664
14;v1;Study;2026-08-25 17:05:27;19;optimization;FALSE;32.999;37.5;70.0;65.0;60.0;0.474;0.646;0.101;0.305;0.072;0.403;0.755
14;v1;Study;2026-08-25 17:08:45;20;optimization;TRUE;32.305;40.0;80.0;65.0;85.0;0.879;0.061;0.079;0.335;0.182;0.621;0.679
14;v1;Study;2026-08-25 17:10:40;21;finaldesign;NULL;30.578;30;65;80;60;0.471;0.071;0.125;0.212;0.396;0.683;0.473
