round;route;endedAt;durationS;avgSpeedKmh;maxSpeedKmh;collisions;maxStuckS;energyKwh100km;avgEcoScore;taskLoad;acceptance;p0;p1;p2;p3;p4;p5;p6;tlxMental;tlxDistraction;accInformed;accPleasant;accGlance
1;R1 215m Draycott Place;19:40:21;52.3;30.3;53.5;2;0.0;37.32;68.6;15.0;15.0;0.0075;0.0722;0.2800;0.4173;0.4224;0.2747;0.9221;15.0;15.0;15.0;15.0;15.0
2;R2 165m Cliveden Place;19:40:50;29.6;41.0;54.1;1;0.0;44.72;56.6;10.0;33.3;0.1122;0.5676;0.4030;0.0661;0.0347;0.6031;0.5611;10.0;10.0;20.0;20.0;60.0
3;R3 283m Basil Street → Hans Road → Brompton Road;19:42:19;88.4;15.3;51.5;12;0.0;40.35;39.1;20.0;56.7;0.6993;0.2856;0.1777;0.7492;0.2074;0.9990;0.7000;20.0;20.0;50.0;55.0;65.0
4;R7 170m Astell Street → Burnsall Street → King's Road;19:43:00;41.2;20.9;44.6;5;0.0;53.93;39.8;30.0;63.3;0.7329;0.2211;0.3784;0.4701;0.6495;0.6230;0.6996;20.0;40.0;60.0;65.0;65.0
5;R1 215m Draycott Place;19:43:34;33.6;45.5;53.6;0;0.0;38.06;54.5;30.0;63.3;0.1382;0.0829;0.6802;0.1272;0.6232;0.9240;0.3211;15.0;45.0;80.0;45.0;65.0
6;R2 165m Cliveden Place;19:44:01;27.1;42.6;53.9;3;0.0;43.57;54.2;20.0;18.3;0.4586;0.1880;0.2544;0.4893;0.0781;0.5295;0.4287;20.0;20.0;0.0;5.0;50.0
7;R3 283m Basil Street → Hans Road → Brompton Road;19:44:51;50.2;27.0;52.0;7;0.0;39.73;48.6;30.0;71.7;0.2966;0.6855;0.4698;0.9581;0.0040;0.3478;0.3889;15.0;45.0;85.0;65.0;65.0
8;R7 170m Astell Street → Burnsall Street → King's Road;19:45:23;32.0;26.7;45.7;2;0.0;52.54;45.9;42.5;85.0;0.7884;0.2196;0.9583;0.3835;0.5958;0.0787;0.5178;25.0;60.0;95.0;75.0;85.0
9;R1 215m Draycott Place;19:45:56;32.4;44.3;53.7;2;0.0;35.44;55.2;45.0;55.0;0.3590;0.0499;0.6884;0.9299;0.1855;0.5155;0.5041;30.0;60.0;40.0;50.0;75.0
10;R2 165m Cliveden Place;19:46:21;25.4;41.0;54.2;0;0.0;44.37;54.5;22.5;48.3;0.7663;0.3603;0.0206;0.5688;0.2811;0.3330;0.5524;25.0;20.0;40.0;50.0;55.0
11;R3 283m Basil Street → Hans Road → Brompton Road;19:47:14;53.1;25.3;52.8;5;0.0;39.92;47.5;50.0;78.3;0.2636;0.6856;0.7907;0.4684;0.5467;0.6430;0.2968;35.0;65.0;85.0;60.0;90.0
12;R7 170m Astell Street → Burnsall Street → King's Road;19:47:46;32.2;32.3;46.8;5;0.0;35.24;65.4;42.5;45.0;0.5693;0.1425;0.2801;0.5831;0.0251;0.1507;0.8287;60.0;25.0;35.0;60.0;40.0
13;R1 215m Draycott Place;19:48:18;31.1;44.3;53.5;0;0.0;37.36;55.8;37.5;73.3;0.8910;0.3892;0.9796;0.6270;0.3792;0.4019;0.9768;35.0;40.0;70.0;80.0;70.0
14;R2 165m Cliveden Place;19:48:45;27.8;42.0;54.2;0;0.0;44.41;54.6;37.5;43.3;0.5043;0.1966;0.0303;0.1825;0.0897;0.9316;0.6460;55.0;20.0;30.0;50.0;50.0
15;R3 283m Basil Street → Hans Road → Brompton Road;19:49:23;37.9;39.4;53.0;5;0.0;41.48;56.7;35.0;46.7;0.0821;0.6460;0.2511;0.2844;0.2251;0.6321;0.8400;35.0;35.0;60.0;20.0;60.0
16;R7 170m Astell Street → Burnsall Street → King's Road;19:52:22;45.9;21.8;44.9;5;0.0;50.59;47.8;65.0;60.0;0.6546;0.3635;0.9662;0.5593;0.8365;0.3900;0.0393;75.0;55.0;65.0;55.0;60.0
17;R1 215m Draycott Place;19:55:18;46.4;31.1;53.4;0;0.0;32.05;72.2;35.0;75.0;0.5088;0.7307;0.8699;1.0000;0.1502;0.2495;0.5502;20.0;50.0;75.0;75.0;75.0
18;R2 165m Cliveden Place;19:59:04;110.8;6.2;43.6;1;0.0;31.14;92.2;37.5;85.0;1.0000;0.2162;1.0000;0.1522;0.4908;0.0100;0.6392;35.0;40.0;85.0;80.0;90.0
19;R3 283m Basil Street → Hans Road → Brompton Road;20:02:17;91.8;15.1;52.8;1;0.0;38.52;83.0;35.0;88.3;1.0000;0.0166;1.0000;0.5619;0.4936;0.0421;0.7073;20.0;50.0;85.0;90.0;90.0
20;R7 170m Astell Street → Burnsall Street → King's Road;20:05:19;71.9;10.3;38.3;1;0.0;41.01;68.3;7.5;80.0;1.0000;0.6489;0.3996;0.6196;0.1656;0.0000;0.4898;5.0;10.0;65.0;75.0;100.0
21;R1 215m Draycott Place;20:05:49;30.1;42.3;53.6;0;0.0;37.68;57.7;20.0;96.7;1.0000;0.2160;1.0000;0.1520;0.4910;0.0100;0.6390;15.0;25.0;100.0;100.0;90.0
