round;route;endedAt;durationS;avgSpeedKmh;maxSpeedKmh;collisions;maxStuckS;energyKwh100km;avgEcoScore;taskLoad;acceptance;p0;p1;p2;p3;p4;p5;p6;tlxMental;tlxDistraction;accInformed;accPleasant;accGlance
1;R1 215m Draycott Place;16:32:58;229.6;5.8;38.9;4;0.0;37.37;22.3;50.0;88.3;0.3378;0.9983;0.9914;0.3836;0.6426;0.8436;0.2648;25.0;75.0;90.0;90.0;85.0
2;R2 165m Cliveden Place;16:34:23;84.9;23.8;50.7;3;0.0;51.80;58.1;47.5;50.0;0.4678;0.4002;0.1365;0.0313;0.8700;0.4997;0.7401;70.0;25.0;60.0;50.0;40.0
3;R3 283m Basil Street → Hans Road → Brompton Road;16:36:16;112.8;15.4;47.2;4;0.0;34.81;37.9;30.0;65.0;0.9558;0.0258;0.4746;0.2971;0.4434;0.6079;0.1231;40.0;20.0;80.0;90.0;25.0
4;R7 170m Astell Street → Burnsall Street → King's Road;16:39:04;167.9;6.2;29.5;13;0.0;44.05;20.0;40.0;65.0;0.8331;0.6163;0.4329;0.1385;0.1136;0.7325;0.9020;40.0;40.0;65.0;70.0;60.0
5;R1 215m Draycott Place;16:40:20;76.1;20.5;48.1;1;0.0;37.90;44.9;10.0;95.0;0.7922;0.2944;0.3431;0.2498;0.2318;0.8062;0.5256;15.0;5.0;95.0;90.0;100.0
6;R2 165m Cliveden Place;16:41:38;77.9;18.7;51.7;1;0.0;58.43;38.3;47.5;81.7;0.3696;0.2503;0.9968;0.7651;0.0865;0.1790;0.8507;40.0;55.0;90.0;65.0;90.0
7;R3 283m Basil Street → Hans Road → Brompton Road;16:43:58;139.5;10.2;51.1;3;0.0;39.22;26.2;25.0;91.7;0.8185;0.0803;0.6230;0.8324;0.8688;0.9229;0.9794;20.0;30.0;90.0;95.0;90.0
8;R7 170m Astell Street → Burnsall Street → King's Road;16:46:18;140.4;6.8;37.5;7;0.0;38.45;20.4;32.5;61.7;0.4913;0.0865;0.9161;0.2505;0.0735;0.5106;0.8168;35.0;30.0;70.0;60.0;55.0
9;R1 215m Draycott Place;16:47:28;69.2;24.1;50.4;2;0.0;43.84;41.4;55.0;71.7;0.8712;0.7013;0.2842;0.7187;0.5438;0.2586;0.6193;55.0;55.0;100.0;70.0;45.0
10;R2 165m Cliveden Place;16:48:42;74.7;30.9;51.3;1;0.0;46.41;64.1;50.0;63.3;0.5732;0.9354;0.3553;0.4103;0.6405;0.7869;0.9559;40.0;60.0;80.0;65.0;45.0
11;R3 283m Basil Street → Hans Road → Brompton Road;16:50:00;78.0;22.1;48.7;4;0.0;36.50;44.5;52.5;63.3;0.6170;0.7910;0.4684;0.3732;0.2653;0.1257;0.5428;40.0;65.0;85.0;60.0;45.0
12;R7 170m Astell Street → Burnsall Street → King's Road;16:51:14;73.5;15.6;38.8;3;0.0;51.50;29.4;42.5;60.0;0.1036;0.5829;0.8622;0.3217;0.9198;0.0123;0.7312;40.0;45.0;75.0;60.0;45.0
13;R1 215m Draycott Place;16:52:20;65.6;25.3;52.3;1;0.0;36.19;50.1;32.5;41.7;0.1668;0.6498;0.2918;0.5361;0.9930;0.5503;0.0366;40.0;25.0;45.0;45.0;35.0
14;R2 165m Cliveden Place;16:53:07;47.3;30.8;48.9;1;0.0;34.89;69.6;27.5;53.3;0.8580;0.8120;0.4343;0.4630;0.4244;0.8007;0.2659;30.0;25.0;60.0;55.0;45.0
15;R3 283m Basil Street → Hans Road → Brompton Road;16:54:40;93.0;16.3;49.1;3;0.0;38.21;35.1;52.5;60.0;0.9788;0.6580;0.6187;0.8230;0.3477;0.4655;0.3834;40.0;65.0;75.0;60.0;45.0
16;R7 170m Astell Street → Burnsall Street → King's Road;16:56:48;79.3;13.0;42.8;6;0.0;44.22;27.7;17.5;65.0;0.8826;0.2742;0.2813;0.4829;0.0818;0.9043;0.5537;25.0;10.0;55.0;55.0;85.0
17;R1 215m Draycott Place;16:58:52;74.0;18.6;52.4;2;0.0;32.55;44.1;57.5;45.0;0.4188;0.3276;0.1958;0.2550;0.2678;0.7845;0.3147;55.0;60.0;55.0;45.0;35.0
18;R2 165m Cliveden Place;17:00:32;43.8;32.7;52.8;0;0.0;42.03;63.9;32.5;71.7;0.7954;0.2110;0.3954;0.7377;0.7073;0.8695;0.4347;25.0;40.0;80.0;70.0;65.0
19;R3 283m Basil Street → Hans Road → Brompton Road;17:03:12;98.3;14.6;47.0;5;0.0;42.07;29.4;12.5;83.3;0.7748;0.2470;0.3992;0.1832;0.1030;0.8605;0.4524;10.0;15.0;80.0;85.0;85.0
20;R7 170m Astell Street → Burnsall Street → King's Road;17:05:20;70.2;12.5;38.2;0;0.0;48.67;27.8;15.0;90.0;0.8414;0.1274;0.4574;0.2518;0.4529;0.8470;0.5304;15.0;15.0;90.0;90.0;90.0
21;R1 215m Draycott Place;17:06:26;66.6;18.7;50.0;1;0.0;44.11;56.0;7.5;88.3;0.7920;0.2940;0.3430;0.2500;0.2320;0.8060;0.5260;5.0;10.0;85.0;90.0;90.0
