participant,round,size_leaf_norm,size_score_norm,size_feedback_norm,size_speed_norm,size_accel_norm,size_labels_norm,opacity_norm,size_leaf_phys,size_score_phys,size_feedback_phys,size_speed_phys,size_accel_phys,size_labels_phys,opacity_phys,visible_leaf,visible_score,visible_feedback,visible_accel,visible_labels,speed_alpha
P12,1,0.8301,0.5224,0.7065,0.9781,0.9471,0.542,0.1839,1.0791,0.6791,0.9185,1.2847,1.2312,0.7046,0.2655,True,True,True,True,True,0.4
P12,2,0.109,0.3375,0.9707,0.397,0.9498,0.9545,0.277,0.1417,0.4388,1.2619,0.8779,1.2347,1.2409,0.3493,False,False,True,True,True,0.4
P12,3,0.5204,0.0219,0.2557,0.8425,0.6694,0.4286,0.4701,0.6765,0.0285,0.3324,1.1898,0.8702,0.5572,0.5231,True,False,False,True,False,0.5231
P12,4,0.6986,0.5885,0.6391,0.8887,0.5837,0.535,0.9125,0.9082,0.7651,0.8308,1.2221,0.7588,0.6955,0.9213,True,True,True,True,True,0.9213
P12,5,0.5063,0.3911,0.0098,0.4853,0.359,0.7917,0.3066,0.6582,0.5084,0.0127,0.9397,0.4667,1.0292,0.3759,True,False,False,False,True,0.4
P12,6,0.1404,0.5594,0.7797,0.3805,0.5489,0.204,0.3614,0.1825,0.7272,1.0136,0.8663,0.7136,0.2652,0.4253,False,True,True,True,False,0.4253
P12,7,0.5478,0.3731,0.0199,0.9206,0.9429,0.9183,0.7493,0.7121,0.485,0.0259,1.2444,1.2258,1.1938,0.7744,True,False,False,True,True,0.7744
P12,8,0.2914,0.2867,0.2745,0.9692,0.3585,0.2095,0.3944,0.3788,0.3727,0.3569,1.2784,0.4661,0.2723,0.455,False,False,False,False,False,0.455
P12,9,0.8793,0.8883,0.1575,0.6508,0.5839,0.4279,0.1666,1.1431,1.1548,0.2048,1.0556,0.7591,0.5563,0.2499,True,True,False,True,False,0.4
P12,10,0.9528,0.3601,0.7523,0.8554,0.4802,0.8453,0.124,1.2386,0.4681,0.978,1.1988,0.6243,1.0989,0.2116,True,False,True,True,True,0.4
P12,11,0.423,0.6277,0.3356,0.6115,0.8783,0.0038,0.3374,0.5499,0.816,0.4363,1.0281,1.1418,0.0049,0.4037,False,True,False,True,False,0.4037
P12,12,0.4372,0.7725,0.6201,0.0487,0.4256,0.257,0.8772,0.5684,1.0043,0.8061,0.6341,0.5533,0.3341,0.8895,False,True,True,False,False,0.8895
P12,13,0.4971,0.7166,0.1846,0.1655,0.6437,0.5564,0.6385,0.6462,0.9316,0.24,0.7158,0.8368,0.7233,0.6746,True,True,False,True,True,0.6746
P12,14,0.7908,0.1639,0.7382,0.7406,0.1116,0.6703,0.3907,1.028,0.2131,0.9597,1.1184,0.1451,0.8714,0.4516,True,False,True,False,True,0.4516
P12,15,0.7756,0.5449,0.1274,0.1119,0.1453,0.421,0.1615,1.0083,0.7084,0.1656,0.6783,0.1889,0.5473,0.2454,True,True,False,False,False,0.4
P12,16,0.1681,0.1961,0.0933,1.0,0.1752,0.2574,0.3866,0.2185,0.2549,0.1213,1.3,0.2278,0.3346,0.4479,False,False,False,False,False,0.4479
P12,17,0.2349,0.2059,0.1727,0.6855,0.3279,0.1434,0.2257,0.3054,0.2677,0.2245,1.0798,0.4263,0.1864,0.3031,False,False,False,False,False,0.4
P12,18,0.3694,0.2698,0.1434,1.0,0.2933,0.5763,0.3409,0.4802,0.3507,0.1864,1.3,0.3813,0.7492,0.4068,False,False,False,False,True,0.4068
P12,19,0.0,0.3594,0.3106,1.0,0.2747,0.3847,0.1397,0.0,0.4672,0.4038,1.3,0.3571,0.5001,0.2257,False,False,False,False,False,0.4
P12,20,0.0,0.5731,0.0,0.5002,0.4157,0.0025,0.4067,0.0,0.745,0.0,0.9501,0.5404,0.0033,0.466,False,True,False,False,False,0.466
P12,21,0.0,0.359,0.311,1.0,0.275,0.385,0.14,0.0,0.4667,0.4043,1.3,0.3575,0.5005,0.226,False,False,False,False,False,0.4
