round;route;endedAt;durationS;avgSpeedKmh;maxSpeedKmh;collisions;maxStuckS;energyKwh100km;avgEcoScore;taskLoad;acceptance;p0;p1;p2;p3;p4;p5;p6;tlxMental;tlxDistraction;accInformed;accPleasant;accGlance
1;R1 215m Draycott Place;15:18:14;239.2;7.5;39.9;1;0.0;33.62;54.4;32.5;50.0;0.4512;0.1917;0.0097;0.0877;0.4382;0.0349;0.7886;50.0;15.0;15.0;55.0;80.0
2;R2 165m Cliveden Place;15:19:37;82.8;21.3;45.6;0;0.0;38.51;62.6;25.0;65.0;0.3937;0.9119;0.5629;0.0393;0.7248;0.1200;0.9103;35.0;15.0;60.0;60.0;75.0
3;R3 283m Basil Street → Hans Road → Brompton Road;15:22:00;143.7;15.3;39.2;6;0.0;27.15;46.6;30.0;51.7;0.6556;0.9654;0.2610;0.4914;0.9744;0.4852;0.0168;20.0;40.0;50.0;60.0;45.0
4;R7 170m Astell Street → Burnsall Street → King's Road;15:23:43;102.5;11.4;26.8;2;0.0;20.88;40.0;10.0;63.3;0.5970;0.0838;0.1079;0.7510;0.3957;0.8884;0.1771;10.0;10.0;55.0;45.0;90.0
5;R1 215m Draycott Place;15:25:12;88.9;17.1;39.5;2;0.0;29.80;45.9;22.5;63.3;0.2828;0.2076;0.1840;0.3875;0.8809;0.8399;0.2500;30.0;15.0;65.0;65.0;60.0
6;R2 165m Cliveden Place;15:26:14;61.7;24.2;38.2;0;0.0;26.87;68.1;10.0;88.3;0.4938;0.6866;0.9192;0.8437;0.5654;0.8214;0.5730;10.0;10.0;90.0;90.0;85.0
7;R3 283m Basil Street → Hans Road → Brompton Road;15:28:13;119.2;18.6;38.1;3;0.0;25.41;45.5;30.0;55.0;0.4726;0.5828;0.3880;0.5204;0.0385;0.0198;0.0761;30.0;30.0;65.0;40.0;60.0
8;R7 170m Astell Street → Burnsall Street → King's Road;15:29:44;91.0;13.7;33.5;3;0.0;25.84;42.2;7.5;95.0;0.4411;0.3418;0.6296;0.9565;0.3028;0.9686;0.3843;10.0;5.0;95.0;95.0;95.0
9;R1 215m Draycott Place;15:31:32;107.6;22.1;39.8;1;0.0;26.08;53.1;55.0;30.0;0.8145;0.6630;0.3287;0.8096;0.5684;0.6683;0.8107;55.0;55.0;40.0;30.0;20.0
10;R2 165m Cliveden Place;15:32:26;54.2;28.6;40.8;1;0.0;29.25;70.2;12.5;91.7;0.7845;0.4039;0.5738;0.3484;0.7578;0.3801;0.6551;10.0;15.0;95.0;90.0;90.0
11;R3 283m Basil Street → Hans Road → Brompton Road;15:34:22;116.3;17.8;43.2;0;0.0;26.53;48.7;15.0;70.0;0.7971;0.8382;0.6792;0.8942;0.3551;0.9947;0.0699;10.0;20.0;85.0;80.0;45.0
12;R7 170m Astell Street → Burnsall Street → King's Road;15:36:11;108.8;8.4;33.7;3;0.0;31.40;25.4;7.5;93.3;0.1656;0.1949;0.9782;0.2300;0.4155;0.3387;0.8276;10.0;5.0;90.0;95.0;95.0
13;R1 215m Draycott Place;15:37:14;63.2;34.9;52.9;0;0.0;36.57;65.9;10.0;76.7;0.2019;0.8985;0.2365;0.0149;0.5095;0.5311;0.6367;15.0;5.0;65.0;70.0;95.0
14;R2 165m Cliveden Place;15:38:12;57.6;38.1;51.1;3;0.0;40.37;60.7;27.5;66.7;0.5926;0.9110;0.1039;0.8468;0.1428;0.2026;0.3743;15.0;40.0;75.0;70.0;55.0
15;R3 283m Basil Street → Hans Road → Brompton Road;15:39:47;94.6;26.1;44.6;1;0.0;29.44;53.4;20.0;61.7;0.2546;0.2371;0.2739;0.2638;0.4499;0.6847;0.2304;10.0;30.0;60.0;55.0;70.0
16;R7 170m Astell Street → Burnsall Street → King's Road;15:42:58;159.4;5.0;35.4;2;0.0;24.67;68.3;7.5;93.3;0.4889;0.1434;0.6808;0.8380;0.6692;0.9013;0.5723;10.0;5.0;95.0;95.0;90.0
17;R1 215m Draycott Place;15:45:08;96.7;14.2;39.3;0;0.0;27.23;52.5;7.5;93.3;0.8115;0.1609;0.6389;0.2315;0.2914;0.4420;0.4758;5.0;10.0;95.0;95.0;90.0
18;R2 165m Cliveden Place;15:48:27;151.3;5.4;33.4;1;0.0;22.92;88.1;7.5;93.3;0.1225;0.3819;0.8648;0.0749;0.1015;0.4412;0.9124;10.0;5.0;90.0;95.0;95.0
19;R3 283m Basil Street → Hans Road → Brompton Road;15:51:09;106.2;21.6;34.5;3;0.0;22.91;54.2;7.5;88.3;0.4890;0.2945;0.8374;0.8479;0.3600;1.0000;0.0000;10.0;5.0;95.0;85.0;85.0
20;R7 170m Astell Street → Burnsall Street → King's Road;15:54:02;94.5;11.0;30.7;0;0.0;16.61;66.4;7.5;90.0;0.4407;0.2632;0.6389;1.0000;1.0000;0.3975;0.0000;5.0;10.0;95.0;90.0;85.0
21;R1 215m Draycott Place;15:56:25;143.5;9.1;37.6;1;0.0;22.43;87.1;2.5;96.7;0.4410;0.2630;0.6390;1.0000;1.0000;0.3980;0.0000;5.0;0.0;100.0;95.0;95.0
