UserID;ConditionID;GroupID;Timestamp;Iteration;Phase;IsPareto;energy;taskload;accInformed;accPleasant;accGlance;size_leaf;size_score;size_feedback;size_speed;size_accel;size_labels;opacity
-1;-1;-1;2026-08-19 19:35:03;1;sampling;FALSE;27.867;60.0;20.0;60.0;60.0;0.809;0.429;0.885;0.564;0.35;0.863;0.034
-1;-1;-1;2026-08-19 19:35:42;2;sampling;TRUE;34.608;25.0;70.0;80.0;65.0;0.176;0.008;0.82;0.232;0.372;0.801;0.535
-1;-1;-1;2026-08-19 19:36:59;3;sampling;FALSE;31.912;55.0;35.0;35.0;55.0;0.098;0.609;0.673;0.573;0.557;0.48;0.332
-1;-1;-1;2026-08-19 19:39:34;4;sampling;FALSE;35.573;47.5;10.0;15.0;55.0;0.457;0.849;0.551;0.019;0.987;0.53;0.947
-1;-1;-1;2026-08-19 19:40:52;5;sampling;TRUE;38.803;37.5;75.0;75.0;75.0;0.864;0.723;0.311;0.155;0.893;0.126;0.684
-1;-1;-1;2026-08-19 19:41:21;6;sampling;FALSE;40.108;37.5;40.0;55.0;65.0;0.611;0.65;0.045;0.509;0.199;0.467;0.439
-1;-1;-1;2026-08-19 19:42:40;7;sampling;FALSE;34.943;27.5;40.0;10.0;35.0;0.021;0.995;0.086;0.522;0.897;0.102;0.912
-1;-1;-1;2026-08-19 19:44:03;8;sampling;FALSE;36.221;42.5;40.0;20.0;50.0;0.085;0.529;0.722;0.269;0.706;0.534;1.0
-1;-1;-1;2026-08-19 19:44:43;9;sampling;TRUE;31.014;32.5;65.0;90.0;85.0;0.953;0.666;0.066;0.773;0.382;0.595;0.582
-1;-1;-1;2026-08-19 19:45:40;10;sampling;FALSE;38.327;42.5;55.0;35.0;40.0;0.41;0.625;0.877;0.696;0.101;0.354;0.402
-1;-1;-1;2026-08-19 19:46:42;11;sampling;FALSE;35.791;52.5;30.0;10.0;40.0;0.168;0.912;0.299;0.766;0.578;0.721;0.337
-1;-1;-1;2026-08-19 19:48:05;12;sampling;FALSE;53.638;50.0;35.0;65.0;60.0;0.998;0.764;0.411;0.998;0.208;0.235;0.678
-1;-1;-1;2026-08-19 19:48:51;13;sampling;FALSE;43.628;47.5;40.0;40.0;50.0;0.99;0.532;0.696;0.129;0.932;0.548;0.872
-1;-1;-1;2026-08-19 19:49:28;14;sampling;TRUE;27.736;35.0;70.0;80.0;70.0;0.08;0.224;0.546;0.658;0.353;0.291;0.112
-1;-1;-1;2026-08-19 19:50:55;15;sampling;FALSE;34.898;27.5;30.0;25.0;20.0;0.032;0.253;0.402;0.459;0.992;0.43;0.298
-1;-1;-1;2026-08-19 19:52:15;16;optimization;FALSE;41.581;40.0;70.0;80.0;45.0;0.896;0.737;0.007;0.485;0.628;0.427;0.83
-1;-1;-1;2026-08-19 19:53:38;17;optimization;FALSE;38.387;40.0;40.0;70.0;40.0;0.943;0.571;0.0;0.734;0.385;0.761;0.189
-1;-1;-1;2026-08-19 19:55:06;18;optimization;FALSE;52.667;40.0;25.0;75.0;55.0;0.915;0.635;0.16;0.424;0.631;0.104;0.604
-1;-1;-1;2026-08-19 19:56:35;19;optimization;FALSE;34.16;37.5;55.0;65.0;65.0;1.0;0.894;0.0;0.81;0.473;0.532;0.602
-1;-1;-1;2026-08-19 19:58:20;20;optimization;FALSE;35.759;35.0;65.0;90.0;65.0;1.0;0.619;0.098;0.843;0.312;0.661;0.624
-1;-1;-1;2026-08-19 19:59:09;21;finaldesign;NULL;44.355;52.5;70;60;50;0.953;0.666;0.066;0.773;0.382;0.595;0.582
