round;route;endedAt;durationS;avgSpeedKmh;maxSpeedKmh;collisions;maxStuckS;energyKwh100km;avgEcoScore;taskLoad;acceptance;p0;p1;p2;p3;p4;p5;p6;tlxMental;tlxDistraction;accInformed;accPleasant;accGlance
1;R1 215m Draycott Place;17:06:09;67.5;24.8;41.3;1;0.0;27.58;77.1;22.5;75.0;0.2311;0.9092;0.8035;0.7301;0.4170;0.3135;0.6470;25.0;20.0;70.0;75.0;80.0
2;R2 165m Cliveden Place;17:07:07;57.6;17.5;52.6;1;0.0;45.74;38.2;50.0;40.0;0.6571;0.3605;0.4426;0.8051;0.2625;0.3477;0.1513;90.0;10.0;20.0;25.0;75.0
3;R3 283m Basil Street → Hans Road → Brompton Road;17:08:25;77.7;18.2;42.0;1;0.0;26.50;42.3;25.0;75.0;0.8242;0.0264;0.8012;0.2742;0.9382;0.4359;0.8696;25.0;25.0;80.0;80.0;65.0
4;R7 170m Astell Street → Burnsall Street → King's Road;17:09:29;64.3;13.1;40.5;2;0.0;35.66;31.5;35.0;30.0;0.8457;0.6868;0.7646;0.4214;0.7888;0.4746;0.3997;10.0;60.0;30.0;30.0;30.0
5;R1 215m Draycott Place;17:12:11;161.7;5.8;44.8;0;0.0;27.71;80.1;47.5;60.0;0.6490;0.5800;0.7401;0.8225;0.5942;0.8432;0.7431;30.0;65.0;80.0;65.0;35.0
6;R2 165m Cliveden Place;17:12:45;33.4;30.1;41.6;2;0.0;26.62;70.6;25.0;78.3;0.1618;0.8094;0.3576;0.5949;0.9435;0.3713;0.6254;25.0;25.0;75.0;80.0;80.0
7;R3 283m Basil Street → Hans Road → Brompton Road;17:13:57;72.3;30.0;44.1;5;0.0;30.49;58.7;77.5;40.0;0.7785;0.6908;0.1771;0.9968;0.4871;0.4399;0.1504;65.0;90.0;65.0;35.0;20.0
8;R7 170m Astell Street → Burnsall Street → King's Road;17:14:40;42.6;22.8;38.1;4;0.0;26.63;55.4;25.0;76.7;0.5758;0.3062;0.3859;0.2658;0.1437;0.9871;0.8370;25.0;25.0;70.0;80.0;80.0
9;R1 215m Draycott Place;17:17:03;143.0;6.3;42.7;2;0.0;26.35;78.6;55.0;76.7;0.6651;0.1453;0.9785;0.3405;0.4812;0.1197;0.6352;75.0;35.0;70.0;90.0;70.0
10;R2 165m Cliveden Place;17:17:49;46.4;19.8;40.7;2;0.0;35.46;46.2;15.0;90.0;0.5537;0.1430;0.9212;0.5281;0.5511;0.8668;0.7129;15.0;15.0;90.0;90.0;90.0
11;R3 283m Basil Street → Hans Road → Brompton Road;17:19:21;91.8;20.1;44.2;7;0.0;33.29;44.1;67.5;38.3;0.4619;0.8704;0.6827;0.2764;0.4474;0.4591;0.7789;65.0;70.0;30.0;50.0;35.0
12;R7 170m Astell Street → Burnsall Street → King's Road;17:21:18;116.5;6.4;42.2;4;0.0;38.04;27.3;40.0;65.0;0.8447;0.6498;0.3132;0.9184;0.8493;0.9728;0.2625;40.0;40.0;65.0;65.0;65.0
13;R1 215m Draycott Place;17:22:07;49.6;28.8;46.7;5;0.0;36.20;63.1;30.0;71.7;0.0849;0.0775;0.6296;0.7143;0.1491;0.1761;0.0949;25.0;35.0;75.0;65.0;75.0
14;R2 165m Cliveden Place;17:22:47;39.5;30.6;45.5;3;0.0;34.83;70.7;70.0;31.7;0.8922;0.7731;0.9637;0.1518;0.6988;0.1176;0.3567;70.0;70.0;30.0;35.0;30.0
15;R3 283m Basil Street → Hans Road → Brompton Road;17:23:55;68.0;22.5;45.6;6;0.0;29.82;75.7;17.5;60.0;0.2947;0.1849;0.2722;0.3907;0.4923;0.2991;0.8189;25.0;10.0;40.0;65.0;75.0
16;R7 170m Astell Street → Burnsall Street → King's Road;17:31:12;380.7;3.8;46.9;9;0.0;47.80;35.3;27.5;78.3;0.6286;0.0514;0.5818;0.4236;0.6733;0.7093;0.7505;25.0;30.0;75.0;80.0;80.0
17;R1 215m Draycott Place;17:33:22;76.4;23.0;51.9;4;0.0;25.00;77.3;52.5;48.3;0.6628;0.1750;1.0000;0.4846;0.3367;1.0000;0.8280;35.0;70.0;70.0;40.0;35.0
18;R2 165m Cliveden Place;17:35:28;56.6;21.9;42.1;4;0.0;33.69;77.3;67.5;50.0;0.5655;0.0479;0.8203;0.5771;0.5738;0.6274;0.6637;65.0;70.0;65.0;55.0;30.0
19;R3 283m Basil Street → Hans Road → Brompton Road;17:43:39;400.1;8.6;50.3;14;0.0;44.71;27.5;40.0;78.3;0.5369;0.2207;0.6586;0.5268;0.9542;0.8930;0.7980;40.0;40.0;80.0;80.0;75.0
20;R7 170m Astell Street → Burnsall Street → King's Road;17:46:22;87.7;9.7;40.9;10;0.0;61.11;14.8;22.5;85.0;0.5221;0.0387;1.0000;0.5270;0.4534;0.8796;0.6089;25.0;20.0;85.0;85.0;85.0
21;R1 215m Draycott Place;17:46:51;28.9;44.2;53.5;0;0.0;37.13;47.7;10.0;95.0;0.5540;0.1430;0.9210;0.5280;0.5510;0.8670;0.7130;10.0;10.0;95.0;95.0;95.0
