round;route;endedAt;durationS;avgSpeedKmh;maxSpeedKmh;collisions;maxStuckS;energyKwh100km;avgEcoScore;taskLoad;acceptance;p0;p1;p2;p3;p4;p5;p6;tlxMental;tlxDistraction;accInformed;accPleasant;accGlance
1;R1 215m Draycott Place;19:35:03;108.4;10.7;46.0;1;0.0;27.87;55.8;60.0;46.7;0.8087;0.4289;0.8848;0.5643;0.3497;0.8625;0.0335;60.0;60.0;20.0;60.0;60.0
2;R2 165m Cliveden Place;19:35:42;39.3;28.0;47.3;0;0.0;34.61;68.9;25.0;71.7;0.1760;0.0085;0.8200;0.2319;0.3719;0.8007;0.5346;20.0;30.0;70.0;80.0;65.0
3;R3 283m Basil Street → Hans Road → Brompton Road;19:36:59;77.1;16.7;43.4;3;0.0;31.91;39.9;55.0;41.7;0.0983;0.6085;0.6729;0.5727;0.5574;0.4800;0.3324;75.0;35.0;35.0;35.0;55.0
4;R7 170m Astell Street → Burnsall Street → King's Road;19:39:34;155.0;13.9;49.8;20;0.0;35.57;29.6;47.5;26.7;0.4571;0.8494;0.5510;0.0187;0.9873;0.5303;0.9471;85.0;10.0;10.0;15.0;55.0
5;R1 215m Draycott Place;19:40:52;78.1;11.7;46.2;0;0.0;38.80;53.4;37.5;75.0;0.8637;0.7228;0.3108;0.1549;0.8932;0.1259;0.6839;45.0;30.0;75.0;75.0;75.0
6;R2 165m Cliveden Place;19:41:21;28.6;33.5;51.1;0;0.0;40.11;64.5;37.5;53.3;0.6111;0.6497;0.0450;0.5087;0.1985;0.4667;0.4387;35.0;40.0;40.0;55.0;65.0
7;R3 283m Basil Street → Hans Road → Brompton Road;19:42:40;78.5;16.1;47.3;5;0.0;34.94;31.3;27.5;28.3;0.0211;0.9948;0.0863;0.5216;0.8973;0.1019;0.9121;40.0;15.0;40.0;10.0;35.0
8;R7 170m Astell Street → Burnsall Street → King's Road;19:44:03;83.2;9.5;37.2;2;0.0;36.22;30.2;42.5;36.7;0.0851;0.5291;0.7216;0.2686;0.7064;0.5343;0.9996;45.0;40.0;40.0;20.0;50.0
9;R1 215m Draycott Place;19:44:43;40.3;26.4;45.9;0;0.0;31.01;53.8;32.5;80.0;0.9528;0.6658;0.0662;0.7732;0.3820;0.5947;0.5822;45.0;20.0;65.0;90.0;85.0
10;R2 165m Cliveden Place;19:45:40;56.3;36.4;53.2;2;0.0;38.33;56.6;42.5;43.3;0.4100;0.6246;0.8770;0.6959;0.1006;0.3543;0.4024;45.0;40.0;55.0;35.0;40.0
11;R3 283m Basil Street → Hans Road → Brompton Road;19:46:42;62.0;20.5;47.7;2;0.0;35.79;40.5;52.5;26.7;0.1676;0.9122;0.2987;0.7658;0.5780;0.7206;0.3371;70.0;35.0;30.0;10.0;40.0
12;R7 170m Astell Street → Burnsall Street → King's Road;19:48:05;82.9;10.3;38.9;10;0.0;53.64;18.8;50.0;53.3;0.9981;0.7637;0.4114;0.9977;0.2080;0.2351;0.6782;60.0;40.0;35.0;65.0;60.0
13;R1 215m Draycott Place;19:48:51;46.4;22.3;51.0;1;0.0;43.63;32.9;47.5;43.3;0.9897;0.5325;0.6964;0.1290;0.9317;0.5480;0.8717;40.0;55.0;40.0;40.0;50.0
14;R2 165m Cliveden Place;19:49:28;36.6;30.0;37.6;0;0.0;27.74;68.0;35.0;73.3;0.0801;0.2241;0.5455;0.6580;0.3532;0.2911;0.1121;35.0;35.0;70.0;80.0;70.0
15;R3 283m Basil Street → Hans Road → Brompton Road;19:50:55;86.7;13.3;52.3;5;0.0;34.90;29.6;27.5;25.0;0.0323;0.2529;0.4021;0.4592;0.9921;0.4301;0.2983;30.0;25.0;30.0;25.0;20.0
16;R7 170m Astell Street → Burnsall Street → King's Road;19:52:15;42.3;18.3;44.0;3;0.0;41.58;41.5;40.0;65.0;0.8963;0.7365;0.0071;0.4848;0.6278;0.4274;0.8299;40.0;40.0;70.0;80.0;45.0
17;R1 215m Draycott Place;19:53:38;41.6;25.1;54.3;0;0.0;38.39;36.4;40.0;50.0;0.9433;0.5707;0.0000;0.7342;0.3851;0.7614;0.1889;40.0;40.0;40.0;70.0;40.0
18;R2 165m Cliveden Place;19:55:06;44.7;17.7;53.6;1;0.0;52.67;26.7;40.0;51.7;0.9154;0.6345;0.1596;0.4237;0.6307;0.1041;0.6042;35.0;45.0;25.0;75.0;55.0
19;R3 283m Basil Street → Hans Road → Brompton Road;19:56:35;47.7;27.1;49.7;4;0.0;34.16;44.3;37.5;61.7;1.0000;0.8935;0.0000;0.8099;0.4730;0.5317;0.6016;35.0;40.0;55.0;65.0;65.0
20;R7 170m Astell Street → Burnsall Street → King's Road;19:58:20;61.7;11.8;37.5;1;0.0;35.76;29.2;35.0;73.3;1.0000;0.6193;0.0983;0.8431;0.3116;0.6615;0.6243;35.0;35.0;65.0;90.0;65.0
21;R1 215m Draycott Place;19:59:09;48.8;22.2;51.9;4;0.0;44.35;45.7;52.5;60.0;0.9530;0.6660;0.0660;0.7730;0.3820;0.5950;0.5820;40.0;65.0;70.0;60.0;50.0
