participant,round,size_leaf_norm,size_score_norm,size_feedback_norm,size_speed_norm,size_accel_norm,size_labels_norm,opacity_norm,size_leaf_phys,size_score_phys,size_feedback_phys,size_speed_phys,size_accel_phys,size_labels_phys,opacity_phys,visible_leaf,visible_score,visible_feedback,visible_accel,visible_labels,speed_alpha
P02,1,0.5973,0.8577,0.5692,0.2212,0.2661,0.2439,0.5064,0.7765,1.115,0.74,0.7548,0.3459,0.3171,0.5558,True,True,True,False,False,0.5558
P02,2,0.0951,0.0604,0.6446,0.5004,0.444,0.0654,0.2504,0.1236,0.0785,0.838,0.9503,0.5772,0.085,0.3254,False,False,True,False,False,0.4
P02,3,0.8431,0.0584,0.0203,0.4114,0.0315,0.5507,0.5641,1.096,0.0759,0.0264,0.888,0.041,0.7159,0.6077,True,False,False,False,True,0.6077
P02,4,0.7228,0.9184,0.0984,0.94,0.7109,0.8364,0.009,0.9396,1.1939,0.1279,1.258,0.9242,1.0873,0.1081,True,True,False,True,True,0.4
P02,5,0.8901,0.5084,0.9877,0.122,0.7411,0.2749,0.6559,1.1571,0.6609,1.284,0.6854,0.9634,0.3574,0.6903,True,True,True,True,False,0.6903
P02,6,0.7382,0.1209,0.8417,0.4911,0.6271,0.5203,0.8415,0.9597,0.1572,1.0942,0.9438,0.8152,0.6764,0.8574,True,False,True,True,True,0.8574
P02,7,0.6509,0.1315,0.3354,0.0013,0.6004,0.9529,0.4764,0.8462,0.171,0.436,0.6009,0.7805,1.2388,0.5288,True,False,False,True,True,0.5288
P02,8,0.458,0.5242,0.888,0.7993,0.3327,0.1975,0.5207,0.5954,0.6815,1.1544,1.1595,0.4325,0.2568,0.5686,False,True,True,False,False,0.5686
P02,9,0.5948,0.671,0.3287,0.7557,0.4604,0.6753,0.8623,0.7732,0.8723,0.4273,1.129,0.5985,0.8779,0.8761,True,True,False,False,True,0.8761
P02,10,0.9389,0.9517,0.5782,0.9204,0.4124,0.5164,0.4758,1.2206,1.2372,0.7517,1.2443,0.5361,0.6713,0.5282,True,True,True,False,True,0.5282
P02,11,0.1953,0.3688,0.7705,0.6647,0.5689,0.481,0.4598,0.2539,0.4794,1.0016,1.0653,0.7396,0.6253,0.5138,False,False,True,True,True,0.5138
P02,12,0.5623,0.9395,0.5743,0.762,0.0932,0.5492,0.0332,0.731,1.2213,0.7466,1.1334,0.1212,0.714,0.1299,True,True,True,False,True,0.4
P02,13,0.2574,0.9926,0.8461,0.0039,0.3035,0.3837,0.7103,0.3346,1.2904,1.0999,0.6027,0.3946,0.4988,0.7393,False,True,True,False,False,0.7393
P02,14,0.7135,0.3973,0.9299,0.9288,0.2887,0.7616,0.2663,0.9276,0.5165,1.2089,1.2502,0.3753,0.9901,0.3397,True,False,True,False,True,0.4
P02,15,0.6459,0.7994,0.9244,0.6415,0.1746,0.5186,0.4579,0.8397,1.0392,1.2017,1.0491,0.227,0.6742,0.5121,True,True,True,False,True,0.5121
P02,16,0.6187,0.8153,0.4134,0.9445,0.6565,0.6774,0.8963,0.8043,1.0599,0.5374,1.2611,0.8535,0.8806,0.9067,True,True,False,True,True,0.9067
P02,17,0.2515,0.4696,0.7349,0.6737,0.4703,0.7529,0.8648,0.327,0.6105,0.9554,1.0716,0.6114,0.9788,0.8783,False,True,True,True,True,0.8783
P02,18,0.2539,0.2851,0.7084,0.7208,0.6093,0.3708,0.3263,0.3301,0.3706,0.9209,1.1046,0.7921,0.482,0.3937,False,False,True,True,False,0.4
P02,19,0.646,0.4612,0.2787,0.7158,0.4223,0.8232,0.845,0.8398,0.5996,0.3623,1.1011,0.549,1.0702,0.8605,True,False,False,False,True,0.8605
P02,20,0.2566,0.4353,0.2603,0.7435,0.4171,0.7368,0.9044,0.3336,0.5659,0.3384,1.1204,0.5422,0.9578,0.914,False,False,False,False,True,0.914
P02,21,0.646,0.461,0.279,0.716,0.422,0.823,0.845,0.8398,0.5993,0.3627,1.1012,0.5486,1.0699,0.8605,True,False,False,False,True,0.8605
