UserID;ConditionID;GroupID;Timestamp;Iteration;Phase;IsPareto;energy;taskload;accInformed;accPleasant;accGlance;size_leaf;size_score;size_feedback;size_speed;size_accel;size_labels;opacity
2;v1;Study;2026-08-20 14:01:51;1;sampling;TRUE;39.567;40.0;75.0;75.0;70.0;0.597;0.858;0.569;0.221;0.266;0.244;0.506
2;v1;Study;2026-08-20 14:02:32;2;sampling;FALSE;44.861;40.0;75.0;80.0;75.0;0.095;0.06;0.645;0.5;0.444;0.065;0.25
2;v1;Study;2026-08-20 14:04:00;3;sampling;TRUE;41.672;37.5;60.0;65.0;70.0;0.843;0.058;0.02;0.411;0.032;0.551;0.564
2;v1;Study;2026-08-20 14:05:07;4;sampling;FALSE;58.544;30.0;60.0;65.0;60.0;0.723;0.918;0.098;0.94;0.711;0.836;0.009
2;v1;Study;2026-08-20 14:05:49;5;sampling;TRUE;37.152;27.5;65.0;75.0;55.0;0.89;0.508;0.988;0.122;0.741;0.275;0.656
2;v1;Study;2026-08-20 14:06:30;6;sampling;FALSE;45.428;50.0;75.0;80.0;60.0;0.738;0.121;0.842;0.491;0.627;0.52;0.842
2;v1;Study;2026-08-20 14:07:53;7;sampling;FALSE;45.61;32.5;70.0;90.0;85.0;0.651;0.131;0.335;0.001;0.6;0.953;0.476
2;v1;Study;2026-08-20 14:09:49;8;sampling;FALSE;44.176;22.5;65.0;65.0;55.0;0.458;0.524;0.888;0.799;0.333;0.197;0.521
2;v1;Study;2026-08-20 14:10:34;9;sampling;TRUE;42.631;20.0;70.0;100.0;100.0;0.595;0.671;0.329;0.756;0.46;0.675;0.862
2;v1;Study;2026-08-20 14:11:27;10;sampling;FALSE;54.378;20.0;75.0;85.0;80.0;0.939;0.952;0.578;0.92;0.412;0.516;0.476
2;v1;Study;2026-08-20 14:12:34;11;sampling;TRUE;44.028;22.5;75.0;90.0;90.0;0.195;0.369;0.771;0.665;0.569;0.481;0.46
2;v1;Study;2026-08-20 14:13:46;12;sampling;FALSE;45.519;25.0;70.0;85.0;85.0;0.562;0.939;0.574;0.762;0.093;0.549;0.033
2;v1;Study;2026-08-20 14:14:28;13;sampling;TRUE;37.952;60.0;70.0;80.0;80.0;0.257;0.993;0.846;0.004;0.304;0.384;0.71
2;v1;Study;2026-08-20 14:15:04;14;sampling;FALSE;44.151;32.5;75.0;85.0;85.0;0.714;0.397;0.93;0.929;0.289;0.762;0.266
2;v1;Study;2026-08-20 14:16:45;15;sampling;FALSE;54.6;65.0;70.0;40.0;40.0;0.646;0.799;0.924;0.642;0.175;0.519;0.458
2;v1;Study;2026-08-20 14:20:04;16;optimization;TRUE;43.924;35.0;75.0;75.0;70.0;0.619;0.815;0.413;0.944;0.657;0.677;0.896
2;v1;Study;2026-08-20 14:22:20;17;optimization;TRUE;37.884;50.0;60.0;70.0;100.0;0.252;0.47;0.735;0.674;0.47;0.753;0.865
2;v1;Study;2026-08-20 14:25:46;18;optimization;FALSE;52.733;12.5;85.0;80.0;100.0;0.254;0.285;0.708;0.721;0.609;0.371;0.326
2;v1;Study;2026-08-20 14:29:10;19;optimization;TRUE;45.152;0.0;100.0;100.0;100.0;0.646;0.461;0.279;0.716;0.422;0.823;0.845
2;v1;Study;2026-08-20 14:32:07;20;optimization;FALSE;52.931;15.0;65.0;100.0;100.0;0.257;0.435;0.26;0.743;0.417;0.737;0.904
2;v1;Study;2026-08-20 14:32:51;21;finaldesign;NULL;38.678;0;100;100;100;0.646;0.461;0.279;0.716;0.422;0.823;0.845
