participant,round,size_leaf_norm,size_score_norm,size_feedback_norm,size_speed_norm,size_accel_norm,size_labels_norm,opacity_norm,size_leaf_phys,size_score_phys,size_feedback_phys,size_speed_phys,size_accel_phys,size_labels_phys,opacity_phys,visible_leaf,visible_score,visible_feedback,visible_accel,visible_labels,speed_alpha
P04,1,0.4512,0.1917,0.0097,0.0877,0.4382,0.0349,0.7886,0.5866,0.2492,0.0126,0.6614,0.5697,0.0454,0.8097,False,False,False,False,False,0.8097
P04,2,0.3937,0.9119,0.5629,0.0393,0.7248,0.12,0.9103,0.5118,1.1855,0.7318,0.6275,0.9422,0.156,0.9193,False,True,True,True,False,0.9193
P04,3,0.6556,0.9654,0.261,0.4914,0.9744,0.4852,0.0168,0.8523,1.255,0.3393,0.944,1.2667,0.6308,0.1151,True,True,False,True,True,0.4
P04,4,0.597,0.0838,0.1079,0.751,0.3957,0.8884,0.1771,0.7761,0.1089,0.1403,1.1257,0.5144,1.1549,0.2594,True,False,False,False,True,0.4
P04,5,0.2828,0.2076,0.184,0.3875,0.8809,0.8399,0.25,0.3676,0.2699,0.2392,0.8713,1.1452,1.0919,0.325,False,False,False,True,True,0.4
P04,6,0.4938,0.6866,0.9192,0.8437,0.5654,0.8214,0.573,0.6419,0.8926,1.195,1.1906,0.735,1.0678,0.6157,True,True,True,True,True,0.6157
P04,7,0.4726,0.5828,0.388,0.5204,0.0385,0.0198,0.0761,0.6144,0.7576,0.5044,0.9643,0.0501,0.0257,0.1685,True,True,False,False,False,0.4
P04,8,0.4411,0.3418,0.6296,0.9565,0.3028,0.9686,0.3843,0.5734,0.4443,0.8185,1.2696,0.3936,1.2592,0.4459,False,False,True,False,True,0.4459
P04,9,0.8145,0.663,0.3287,0.8096,0.5684,0.6683,0.8107,1.0589,0.8619,0.4273,1.1667,0.7389,0.8688,0.8296,True,True,False,True,True,0.8296
P04,10,0.7845,0.4039,0.5738,0.3484,0.7578,0.3801,0.6551,1.0198,0.5251,0.7459,0.8439,0.9851,0.4941,0.6896,True,False,True,True,False,0.6896
P04,11,0.7971,0.8382,0.6792,0.8942,0.3551,0.9947,0.0699,1.0362,1.0897,0.883,1.2259,0.4616,1.2931,0.1629,True,True,True,False,True,0.4
P04,12,0.1656,0.1949,0.9782,0.23,0.4155,0.3387,0.8276,0.2153,0.2534,1.2717,0.761,0.5402,0.4403,0.8448,False,False,True,False,False,0.8448
P04,13,0.2019,0.8985,0.2365,0.0149,0.5095,0.5311,0.6367,0.2625,1.1681,0.3075,0.6104,0.6623,0.6904,0.673,False,True,False,True,True,0.673
P04,14,0.5926,0.911,0.1039,0.8468,0.1428,0.2026,0.3743,0.7704,1.1843,0.1351,1.1928,0.1856,0.2634,0.4369,True,True,False,False,False,0.4369
P04,15,0.2546,0.2371,0.2739,0.2638,0.4499,0.6847,0.2304,0.331,0.3082,0.3561,0.7847,0.5849,0.8901,0.3074,False,False,False,False,True,0.4
P04,16,0.4889,0.1434,0.6808,0.838,0.6692,0.9013,0.5723,0.6356,0.1864,0.885,1.1866,0.87,1.1717,0.6151,True,False,True,True,True,0.6151
P04,17,0.8115,0.1609,0.6389,0.2315,0.2914,0.442,0.4758,1.055,0.2092,0.8306,0.7621,0.3788,0.5746,0.5282,True,False,True,False,False,0.5282
P04,18,0.1225,0.3819,0.8648,0.0749,0.1015,0.4412,0.9124,0.1593,0.4965,1.1242,0.6524,0.132,0.5736,0.9212,False,False,True,False,False,0.9212
P04,19,0.489,0.2945,0.8374,0.8479,0.36,1.0,0.0,0.6357,0.3828,1.0886,1.1935,0.468,1.3,0.1,True,False,True,False,True,0.4
P04,20,0.4407,0.2632,0.6389,1.0,1.0,0.3975,0.0,0.5729,0.3422,0.8306,1.3,1.3,0.5168,0.1,False,False,True,True,False,0.4
P04,21,0.441,0.263,0.639,1.0,1.0,0.398,0.0,0.5733,0.3419,0.8307,1.3,1.3,0.5174,0.1,False,False,True,True,False,0.4
