round;route;endedAt;durationS;avgSpeedKmh;maxSpeedKmh;collisions;maxStuckS;energyKwh100km;avgEcoScore;taskLoad;acceptance;p0;p1;p2;p3;p4;p5;p6;tlxMental;tlxDistraction;accInformed;accPleasant;accGlance
1;R1 215m Draycott Place;16:30:52;397.0;5.0;41.6;0;0.0;27.64;67.7;32.5;33.3;0.1209;0.2341;0.0844;0.9269;0.5569;0.7326;0.5881;50.0;15.0;25.0;25.0;50.0
2;R2 165m Cliveden Place;16:32:23;91.3;9.6;33.2;0;0.0;21.99;55.3;17.5;66.7;0.4707;0.0709;0.1253;0.2120;0.3962;0.6825;0.4726;10.0;25.0;70.0;65.0;65.0
3;R3 283m Basil Street → Hans Road → Brompton Road;16:34:34;131.0;11.0;34.3;1;0.0;22.22;44.1;25.0;51.7;0.8991;0.0103;0.3260;0.3026;0.7206;0.2315;0.0060;35.0;15.0;40.0;55.0;60.0
4;R7 170m Astell Street → Burnsall Street → King's Road;16:37:14;159.5;6.9;39.1;21;0.0;30.35;33.9;55.0;50.0;0.1177;0.9296;0.0946;0.8003;0.6413;0.2563;0.5048;60.0;50.0;60.0;30.0;60.0
5;R1 215m Draycott Place;16:38:47;92.6;13.5;34.3;0;0.0;22.53;44.2;40.0;55.0;0.0572;0.4082;0.6010;0.0425;0.2148;0.1241;0.0747;35.0;45.0;70.0;55.0;40.0
6;R2 165m Cliveden Place;16:39:36;48.8;25.5;41.3;0;0.0;29.56;79.5;60.0;66.7;0.7538;0.5981;0.3072;0.9708;0.2932;0.2289;0.7662;60.0;60.0;70.0;65.0;65.0
7;R3 283m Basil Street → Hans Road → Brompton Road;16:41:27;110.9;21.1;38.4;2;0.0;23.06;62.5;50.0;65.0;0.1464;0.9023;0.5094;0.9327;0.9737;0.7607;0.4723;50.0;50.0;65.0;65.0;65.0
8;R7 170m Astell Street → Burnsall Street → King's Road;16:43:21;114.8;9.8;34.7;7;0.0;21.90;44.1;15.0;25.0;0.6771;0.6061;0.0009;0.3203;0.7145;0.0911;0.6628;15.0;15.0;20.0;25.0;30.0
9;R1 215m Draycott Place;16:44:28;66.3;20.7;33.9;0;0.0;18.58;71.2;62.5;65.0;0.2486;0.1924;0.6874;0.5876;0.7441;0.5038;0.5925;60.0;65.0;80.0;45.0;70.0
10;R2 165m Cliveden Place;16:45:15;47.3;23.7;36.6;0;0.0;25.67;72.8;30.0;65.0;0.8648;0.5797;0.0698;0.3208;0.2320;0.5453;0.6235;30.0;30.0;55.0;75.0;65.0
11;R3 283m Basil Street → Hans Road → Brompton Road;16:46:48;92.9;16.4;48.0;7;0.0;28.76;51.8;35.0;10.0;0.1157;0.1293;0.2337;0.4221;0.9053;0.8362;0.5291;30.0;40.0;0.0;30.0;0.0
12;R7 170m Astell Street → Burnsall Street → King's Road;16:48:17;89.3;13.6;33.6;7;0.0;25.52;44.7;30.0;38.3;0.4788;0.8077;0.7265;0.1072;0.6372;0.5695;0.0302;35.0;25.0;60.0;35.0;20.0
13;R1 215m Draycott Place;16:50:10;112.5;21.0;33.5;0;0.0;18.84;67.7;25.0;60.0;0.4286;0.7694;0.1722;0.4402;0.5101;0.4501;0.0245;30.0;20.0;70.0;55.0;55.0
14;R2 165m Cliveden Place;16:51:39;88.4;24.2;36.0;0;0.0;24.69;72.9;30.0;63.3;0.0297;0.4823;0.3297;0.4252;0.9975;0.4568;0.3693;20.0;40.0;65.0;65.0;60.0
15;R3 283m Basil Street → Hans Road → Brompton Road;16:52:50;71.6;23.2;49.5;3;0.0;28.61;57.3;50.0;61.7;0.1657;0.0081;0.5003;0.9359;0.6140;0.4347;0.9397;65.0;35.0;65.0;55.0;65.0
16;R7 170m Astell Street → Burnsall Street → King's Road;16:55:15;61.7;11.7;36.5;2;0.0;34.88;50.0;5.0;23.3;0.3972;0.1791;0.1307;0.2587;0.2413;0.5292;0.4819;0.0;10.0;0.0;70.0;0.0
17;R1 215m Draycott Place;16:58:57;107.4;15.9;36.6;0;0.0;23.26;80.2;45.0;33.3;0.2424;0.2805;0.3581;0.2851;0.8037;0.4672;0.2502;35.0;55.0;30.0;45.0;25.0
18;R2 165m Cliveden Place;17:01:48;55.4;22.8;41.2;0;0.0;29.21;74.1;25.0;71.7;0.4751;0.0000;0.0819;0.1602;0.1236;0.7062;0.6635;20.0;30.0;70.0;85.0;60.0
19;R3 283m Basil Street → Hans Road → Brompton Road;17:05:27;94.8;21.5;48.5;3;0.0;33.00;50.7;37.5;65.0;0.4741;0.6461;0.1011;0.3050;0.0722;0.4026;0.7546;30.0;45.0;70.0;65.0;60.0
20;R7 170m Astell Street → Burnsall Street → King's Road;17:08:45;65.2;16.1;31.4;2;0.0;32.30;45.3;40.0;76.7;0.8788;0.0613;0.0794;0.3346;0.1815;0.6213;0.6790;40.0;40.0;80.0;65.0;85.0
21;R1 215m Draycott Place;17:10:40;115.5;28.8;45.4;1;0.0;30.58;76.4;30.0;68.3;0.4710;0.0710;0.1250;0.2120;0.3960;0.6830;0.4730;25.0;35.0;65.0;80.0;60.0
