participant,round,size_leaf_norm,size_score_norm,size_feedback_norm,size_speed_norm,size_accel_norm,size_labels_norm,opacity_norm,size_leaf_phys,size_score_phys,size_feedback_phys,size_speed_phys,size_accel_phys,size_labels_phys,opacity_phys,visible_leaf,visible_score,visible_feedback,visible_accel,visible_labels,speed_alpha
P10,1,0.5801,0.5708,0.5478,0.7482,0.4642,0.2052,0.0934,0.7541,0.742,0.7121,1.1237,0.6035,0.2668,0.1841,True,True,True,True,False,0.4
P10,2,0.6737,0.9988,0.7272,0.6006,0.9817,0.0063,0.3526,0.8758,1.2984,0.9454,1.0204,1.2762,0.0082,0.4173,True,True,True,True,False,0.4173
P10,3,0.3196,0.8965,0.3863,0.4747,0.2693,0.1053,0.9996,0.4155,1.1655,0.5022,0.9323,0.3501,0.1369,0.9996,False,True,False,False,False,0.9996
P10,4,0.8794,0.5715,0.4673,0.0051,0.4004,0.4396,0.4195,1.1432,0.7429,0.6075,0.6036,0.5205,0.5715,0.4776,True,True,True,False,False,0.4776
P10,5,0.5811,0.9087,0.6749,0.3202,0.4231,0.392,0.9336,0.7554,1.1813,0.8774,0.8241,0.55,0.5096,0.9402,True,True,True,False,False,0.9402
P10,6,0.0268,0.2329,0.5053,0.9,0.717,0.6173,0.5144,0.0348,0.3028,0.6569,1.23,0.9321,0.8025,0.563,False,False,True,True,True,0.563
P10,7,0.7193,0.9106,0.835,0.5324,0.1053,0.5415,0.3531,0.9351,1.1838,1.0855,0.9727,0.1369,0.7039,0.4178,True,True,True,False,True,0.4178
P10,8,0.4335,0.3575,0.8267,0.9749,0.2534,0.1945,0.6731,0.5635,0.4647,1.0747,1.2824,0.3294,0.2529,0.7058,False,False,True,False,False,0.7058
P10,9,0.9758,0.7845,0.7938,0.1086,0.9207,0.1321,0.5425,1.2685,1.0198,1.0319,0.676,1.1969,0.1717,0.5883,True,True,True,True,False,0.5883
P10,10,0.5454,0.8347,0.1907,0.2619,0.5028,0.9393,0.7802,0.709,1.0851,0.2479,0.7833,0.6536,1.2211,0.8022,True,True,False,True,True,0.8022
P10,11,0.0814,0.4869,0.2937,0.7604,0.2246,0.3898,0.2528,0.1058,0.633,0.3818,1.1323,0.292,0.5067,0.3275,False,True,False,False,False,0.4
P10,12,0.7846,0.3642,0.2078,0.078,0.4304,0.8611,0.1677,1.02,0.4735,0.2701,0.6546,0.5595,1.1194,0.2509,True,False,False,False,True,0.4
P10,13,0.7659,0.4122,0.16,0.3413,0.802,0.2262,0.1142,0.9957,0.5359,0.208,0.8389,1.0426,0.2941,0.2028,True,False,False,True,False,0.4
P10,14,0.6817,0.3053,0.8598,0.5978,0.9408,0.2126,0.5356,0.8862,0.3969,1.1177,1.0185,1.223,0.2764,0.582,True,False,True,True,False,0.582
P10,15,0.5151,0.8406,0.842,0.0866,0.3489,0.6793,0.872,0.6696,1.0928,1.0946,0.6606,0.4536,0.8831,0.8848,True,True,True,False,True,0.8848
P10,16,0.6466,0.7333,0.6871,0.738,0.4379,0.1605,0.1396,0.8406,0.9533,0.8932,1.1166,0.5693,0.2087,0.2256,True,True,True,False,False,0.4
P10,17,0.5606,0.7465,0.4879,0.774,0.5354,0.2064,0.1434,0.7288,0.9705,0.6343,1.1418,0.696,0.2683,0.2291,True,True,True,True,False,0.4
P10,18,0.5502,0.5151,0.5452,0.6289,0.4278,0.1808,0.0,0.7153,0.6696,0.7088,1.0402,0.5561,0.235,0.1,True,True,True,False,False,0.4
P10,19,0.5805,0.5288,0.6475,0.8257,0.5813,0.2175,0.0779,0.7547,0.6874,0.8417,1.178,0.7557,0.2828,0.1701,True,True,True,True,False,0.4
P10,20,0.5994,0.5722,0.6884,0.9532,0.5471,0.1627,0.3044,0.7792,0.7439,0.8949,1.2672,0.7112,0.2115,0.374,True,True,True,True,False,0.4
P10,21,0.58,0.571,0.548,0.748,0.464,0.205,0.093,0.754,0.7423,0.7124,1.1236,0.6032,0.2665,0.1837,True,True,True,True,False,0.4
