participant,round,size_leaf_norm,size_score_norm,size_feedback_norm,size_speed_norm,size_accel_norm,size_labels_norm,opacity_norm,size_leaf_phys,size_score_phys,size_feedback_phys,size_speed_phys,size_accel_phys,size_labels_phys,opacity_phys,visible_leaf,visible_score,visible_feedback,visible_accel,visible_labels,speed_alpha
P13,1,0.229,0.4574,0.6023,0.1565,0.4496,0.6435,0.6009,0.2977,0.5946,0.783,0.7096,0.5845,0.8366,0.6408,False,False,True,False,True,0.6408
P13,2,0.8946,0.9531,0.7645,0.5604,0.8291,0.0518,0.5443,1.163,1.239,0.9939,0.9923,1.0778,0.0673,0.5899,True,True,True,True,False,0.5899
P13,3,0.7683,0.9691,0.5864,0.3677,0.3819,0.4537,0.4845,0.9988,1.2598,0.7623,0.8574,0.4965,0.5898,0.5361,True,True,True,False,False,0.5361
P13,4,0.9351,0.7031,0.3239,0.3212,0.1664,0.8187,0.3472,1.2156,0.914,0.4211,0.8248,0.2163,1.0643,0.4125,True,True,False,False,True,0.4125
P13,5,0.1174,0.0452,0.0239,0.4104,0.0073,0.8734,0.4407,0.1526,0.0588,0.0311,0.8873,0.0095,1.1354,0.4966,False,False,False,False,True,0.4966
P13,6,0.4646,0.7817,0.7161,0.0666,0.9485,0.8702,0.466,0.604,1.0162,0.9309,0.6466,1.233,1.1313,0.5194,True,True,True,True,True,0.5194
P13,7,0.7948,0.5234,0.695,0.7473,0.3602,0.384,0.2482,1.0332,0.6804,0.9035,1.1231,0.4683,0.4992,0.3234,True,True,True,False,False,0.4
P13,8,0.6177,0.5399,0.7906,0.59,0.5978,0.9414,0.9031,0.803,0.7019,1.0278,1.013,0.7771,1.2238,0.9128,True,True,True,True,True,0.9128
P13,9,0.8414,0.1489,0.2808,0.0606,0.8442,0.9069,0.2809,1.0938,0.1936,0.365,0.6424,1.0975,1.179,0.3528,True,False,False,True,True,0.4
P13,10,0.2445,0.2095,0.0407,0.2641,0.339,0.2371,0.591,0.3179,0.2723,0.0529,0.7849,0.4407,0.3082,0.6319,False,False,False,False,False,0.6319
P13,11,0.3396,0.276,0.9464,0.5122,0.1855,0.5441,0.6773,0.4415,0.3588,1.2303,0.9585,0.2412,0.7073,0.7096,False,False,True,False,True,0.7096
P13,12,0.27,0.7377,0.3029,0.4372,0.383,0.2578,0.1105,0.351,0.959,0.3938,0.906,0.4979,0.3351,0.1995,False,True,False,False,False,0.4
P13,13,0.0906,0.0244,0.7533,0.7515,0.9488,0.6025,0.5086,0.1178,0.0317,0.9793,1.126,1.2334,0.7833,0.5577,False,False,True,True,True,0.5577
P13,14,0.2255,0.2007,0.6707,0.5926,0.8698,0.7001,0.2368,0.2932,0.2609,0.8719,1.0148,1.1307,0.9101,0.3131,False,False,True,True,True,0.4
P13,15,0.7975,0.6748,0.3428,0.0916,0.0566,0.221,0.1053,1.0368,0.8772,0.4456,0.6641,0.0736,0.2873,0.1948,True,True,False,False,False,0.4
P13,16,0.0913,0.2981,0.1682,0.7281,0.2422,0.3505,0.1489,0.1187,0.3875,0.2187,1.1097,0.3149,0.4556,0.234,False,False,False,False,False,0.4
P13,17,0.4304,0.13,1.0,0.7143,0.3863,0.7416,0.6457,0.5595,0.169,1.3,1.1,0.5022,0.9641,0.6811,False,False,True,False,True,0.6811
P13,18,0.657,0.3448,0.9069,0.8027,0.3581,0.7408,0.8903,0.8541,0.4482,1.179,1.1619,0.4655,0.963,0.9013,True,False,True,False,True,0.9013
P13,19,0.4195,0.111,0.1871,0.6364,0.3003,0.8023,0.9087,0.5454,0.1443,0.2432,1.0455,0.3904,1.043,0.9178,False,False,False,False,True,0.9178
P13,20,0.3473,0.2796,0.6042,0.6411,0.9948,1.0,0.8919,0.4515,0.3635,0.7855,1.0488,1.2932,1.3,0.9027,False,False,True,True,True,0.9027
P13,21,0.798,0.675,0.343,0.092,0.057,0.221,0.105,1.0374,0.8775,0.4459,0.6644,0.0741,0.2873,0.1945,True,True,False,False,False,0.4
