participant,setup,user_id,condition,group,round,phase,isPareto,route,endedAt,driveDurationS,durationInclSurveyS,avgSpeedKmh,maxSpeedKmh,collisions,maxStuckS,energyKwh100km,avgEcoScore,taskLoad,acceptance,size_leaf_norm,size_score_norm,size_feedback_norm,size_speed_norm,size_accel_norm,size_labels_norm,opacity_norm,tlxMental,tlxDistraction,accInformed,accPleasant,accGlance,size_leaf_phys,size_score_phys,size_feedback_phys,size_speed_phys,size_accel_phys,size_labels_phys,opacity_phys,visible_leaf,visible_score,visible_feedback,visible_accel,visible_labels,speed_alpha
P09,desk,9,v1,Study,16,optimization,False,R7 170m Astell Street → Burnsall Street → King's Road,19:52:22,26,45.9,21.8,44.9,5,0.0,50.59,47.8,65.0,60.0,0.6546,0.3635,0.9662,0.5593,0.8365,0.39,0.0393,75.0,55.0,65.0,55.0,60.0,0.851,0.4726,1.2561,0.9915,1.0875,0.507,0.1354,True,False,True,True,False,0.4
P09,desk,9,v1,Study,17,optimization,True,R1 215m Draycott Place,19:55:18,24,46.4,31.1,53.4,0,0.0,32.05,72.2,35.0,75.0,0.5088,0.7307,0.8699,1.0,0.1502,0.2495,0.5502,20.0,50.0,75.0,75.0,75.0,0.6614,0.9499,1.1309,1.3,0.1953,0.3244,0.5952,True,True,True,False,False,0.5952
P09,desk,9,v1,Study,18,optimization,True,R2 165m Cliveden Place,19:59:04,93,110.8,6.2,43.6,1,0.0,31.14,92.2,37.5,85.0,1.0,0.2162,1.0,0.1522,0.4908,0.01,0.6392,35.0,40.0,85.0,80.0,90.0,1.3,0.2811,1.3,0.7065,0.638,0.013,0.6753,True,False,True,True,False,0.6753
P09,desk,9,v1,Study,19,optimization,True,R3 283m Basil Street → Hans Road → Brompton Road,20:02:17,65,91.8,15.1,52.8,1,0.0,38.52,83.0,35.0,88.3,1.0,0.0166,1.0,0.5619,0.4936,0.0421,0.7073,20.0,50.0,85.0,90.0,90.0,1.3,0.0216,1.3,0.9933,0.6417,0.0547,0.7366,True,False,True,True,False,0.7366
P09,desk,9,v1,Study,20,optimization,True,R7 170m Astell Street → Burnsall Street → King's Road,20:05:19,53,71.9,10.3,38.3,1,0.0,41.01,68.3,7.5,80.0,1.0,0.6489,0.3996,0.6196,0.1656,0.0,0.4898,5.0,10.0,65.0,75.0,100.0,1.3,0.8436,0.5195,1.0337,0.2153,0.0,0.5408,True,True,False,False,False,0.5408
P09,desk,9,v1,Study,21,finaldesign,,R1 215m Draycott Place,20:05:49,18,30.1,42.3,53.6,0,0.0,37.68,57.7,20.0,96.7,1.0,0.216,1.0,0.152,0.491,0.01,0.639,15.0,25.0,100.0,100.0,90.0,1.3,0.2808,1.3,0.7064,0.6383,0.013,0.6751,True,False,True,True,False,0.6751
P10,desk,10,v1,Study,1,sampling,True,R1 215m Draycott Place,20:45:34,21,34.4,35.8,53.8,0,0.0,32.21,62.4,15.0,90.0,0.5801,0.5708,0.5478,0.7482,0.4642,0.2052,0.0934,20.0,10.0,90.0,90.0,90.0,0.7541,0.742,0.7121,1.1237,0.6035,0.2668,0.1841,True,True,True,True,False,0.4
P10,desk,10,v1,Study,2,sampling,False,R2 165m Cliveden Place,20:46:01,13,26.6,42.2,54.2,0,0.0,43.69,54.7,17.5,75.0,0.6737,0.9988,0.7272,0.6006,0.9817,0.0063,0.3526,10.0,25.0,75.0,75.0,75.0,0.8758,1.2984,0.9454,1.0204,1.2762,0.0082,0.4173,True,True,True,True,False,0.4173
P10,desk,10,v1,Study,3,sampling,False,R3 283m Basil Street → Hans Road → Brompton Road,20:46:43,27,41.7,35.5,52.9,2,0.0,40.02,58.1,25.0,41.7,0.3196,0.8965,0.3863,0.4747,0.2693,0.1053,0.9996,25.0,25.0,45.0,30.0,50.0,0.4155,1.1655,0.5022,0.9323,0.3501,0.1369,0.9996,False,True,False,False,False,0.9996
P10,desk,10,v1,Study,4,sampling,False,R7 170m Astell Street → Burnsall Street → King's Road,20:47:15,17,32.0,33.1,48.3,0,0.0,47.62,57.8,32.5,56.7,0.8794,0.5715,0.4673,0.0051,0.4004,0.4396,0.4195,45.0,20.0,65.0,65.0,40.0,1.1432,0.7429,0.6075,0.6036,0.5205,0.5715,0.4776,True,True,True,False,False,0.4776
