participant,setup,user_id,condition,group,round,phase,isPareto,route,endedAt,driveDurationS,durationInclSurveyS,avgSpeedKmh,maxSpeedKmh,collisions,maxStuckS,energyKwh100km,avgEcoScore,taskLoad,acceptance,size_leaf_norm,size_score_norm,size_feedback_norm,size_speed_norm,size_accel_norm,size_labels_norm,opacity_norm,tlxMental,tlxDistraction,accInformed,accPleasant,accGlance,size_leaf_phys,size_score_phys,size_feedback_phys,size_speed_phys,size_accel_phys,size_labels_phys,opacity_phys,visible_leaf,visible_score,visible_feedback,visible_accel,visible_labels,speed_alpha
P01,motion,-1,-1,-1,14,sampling,True,R2 165m Cliveden Place,19:49:28,19,36.6,30.0,37.6,0,0.0,27.74,68.0,35.0,73.3,0.0801,0.2241,0.5455,0.658,0.3532,0.2911,0.1121,35.0,35.0,70.0,80.0,70.0,0.1041,0.2913,0.7092,1.0606,0.4592,0.3784,0.2009,False,False,True,False,False,0.4
P01,motion,-1,-1,-1,15,sampling,False,R3 283m Basil Street → Hans Road → Brompton Road,19:50:55,77,86.7,13.3,52.3,5,0.0,34.9,29.6,27.5,25.0,0.0323,0.2529,0.4021,0.4592,0.9921,0.4301,0.2983,30.0,25.0,30.0,25.0,20.0,0.042,0.3288,0.5227,0.9214,1.2897,0.5591,0.3685,False,False,False,True,False,0.4
P01,motion,-1,-1,-1,16,optimization,False,R7 170m Astell Street → Burnsall Street → King's Road,19:52:15,32,42.3,18.3,44.0,3,0.0,41.58,41.5,40.0,65.0,0.8963,0.7365,0.0071,0.4848,0.6278,0.4274,0.8299,40.0,40.0,70.0,80.0,45.0,1.1652,0.9575,0.0092,0.9394,0.8161,0.5556,0.8469,True,True,False,True,False,0.8469
P01,motion,-1,-1,-1,17,optimization,False,R1 215m Draycott Place,19:53:38,30,41.6,25.1,54.3,0,0.0,38.39,36.4,40.0,50.0,0.9433,0.5707,0.0,0.7342,0.3851,0.7614,0.1889,40.0,40.0,40.0,70.0,40.0,1.2263,0.7419,0.0,1.1139,0.5006,0.9898,0.27,True,True,False,False,True,0.4
P01,motion,-1,-1,-1,18,optimization,False,R2 165m Cliveden Place,19:55:06,33,44.7,17.7,53.6,1,0.0,52.67,26.7,40.0,51.7,0.9154,0.6345,0.1596,0.4237,0.6307,0.1041,0.6042,35.0,45.0,25.0,75.0,55.0,1.19,0.8248,0.2075,0.8966,0.8199,0.1353,0.6438,True,True,False,True,False,0.6438
P01,motion,-1,-1,-1,19,optimization,False,R3 283m Basil Street → Hans Road → Brompton Road,19:56:35,36,47.7,27.1,49.7,4,0.0,34.16,44.3,37.5,61.7,1.0,0.8935,0.0,0.8099,0.473,0.5317,0.6016,35.0,40.0,55.0,65.0,65.0,1.3,1.1616,0.0,1.1669,0.6149,0.6912,0.6414,True,True,False,True,True,0.6414
P01,motion,-1,-1,-1,20,optimization,False,R7 170m Astell Street → Burnsall Street → King's Road,19:58:20,48,61.7,11.8,37.5,1,0.0,35.76,29.2,35.0,73.3,1.0,0.6193,0.0983,0.8431,0.3116,0.6615,0.6243,35.0,35.0,65.0,90.0,65.0,1.3,0.8051,0.1278,1.1902,0.4051,0.8599,0.6619,True,True,False,False,True,0.6619
P01,motion,-1,-1,-1,21,finaldesign,,R1 215m Draycott Place,19:59:09,34,48.8,22.2,51.9,4,0.0,44.35,45.7,52.5,60.0,0.953,0.666,0.066,0.773,0.382,0.595,0.582,40.0,65.0,70.0,60.0,50.0,1.2389,0.8658,0.0858,1.1411,0.4966,0.7735,0.6238,True,True,False,False,True,0.6238
P02,motion,2,v1,Study,1,sampling,True,R1 215m Draycott Place,14:01:51,84,114.7,9.0,53.5,0,0.0,39.57,85.6,40.0,73.3,0.5973,0.8577,0.5692,0.2212,0.2661,0.2439,0.5064,40.0,40.0,75.0,75.0,70.0,0.7765,1.115,0.74,0.7548,0.3459,0.3171,0.5558,True,True,True,False,False,0.5558
P02,motion,2,v1,Study,2,sampling,False,R2 165m Cliveden Place,14:02:32,14,41.3,40.7,53.9,0,0.0,44.86,50.9,40.0,76.7,0.0951,0.0604,0.6446,0.5004,0.444,0.0654,0.2504,40.0,40.0,75.0,80.0,75.0,0.1236,0.0785,0.838,0.9503,0.5772,0.085,0.3254,False,False,True,False,False,0.4
P02,motion,2,v1,Study,3,sampling,True,R3 283m Basil Street → Hans Road → Brompton Road,14:04:00,58,87.7,18.3,53.2,7,0.0,41.67,29.4,37.5,65.0,0.8431,0.0584,0.0203,0.4114,0.0315,0.5507,0.5641,30.0,45.0,60.0,65.0,70.0,1.096,0.0759,0.0264,0.888,0.041,0.7159,0.6077,True,False,False,False,True,0.6077
P02,motion,2,v1,Study,4,sampling,False,R7 170m Astell Street → Burnsall Street → King's Road,14:05:07,43,66.9,13.0,43.8,3,0.0,58.54,31.0,30.0,61.7,0.7228,0.9184,0.0984,0.94,0.7109,0.8364,0.009,30.0,30.0,60.0,65.0,60.0,0.9396,1.1939,0.1279,1.258,0.9242,1.0873,0.1081,True,True,False,True,True,0.4
P02,motion,2,v1,Study,5,sampling,True,R1 215m Draycott Place,14:05:49,19,42.3,39.9,53.6,0,0.0,37.15,52.8,27.5,65.0,0.8901,0.5084,0.9877,0.122,0.7411,0.2749,0.6559,35.0,20.0,65.0,75.0,55.0,1.1571,0.6609,1.284,0.6854,0.9634,0.3574,0.6903,True,True,True,True,False,0.6903
P02,motion,2,v1,Study,6,sampling,False,R2 165m Cliveden Place,14:06:30,16,40.8,36.3,54.1,0,0.0,45.43,56.9,50.0,71.7,0.7382,0.1209,0.8417,0.4911,0.6271,0.5203,0.8415,35.0,65.0,75.0,80.0,60.0,0.9597,0.1572,1.0942,0.9438,0.8152,0.6764,0.8574,True,False,True,True,True,0.8574
P02,motion,2,v1,Study,7,sampling,False,R3 283m Basil Street → Hans Road → Brompton Road,14:07:53,56,82.5,19.3,52.3,8,0.0,45.61,31.1,32.5,81.7,0.6509,0.1315,0.3354,0.0013,0.6004,0.9529,0.4764,30.0,35.0,70.0,90.0,85.0,0.8462,0.171,0.436,0.6009,0.7805,1.2388,0.5288,True,False,False,True,True,0.5288
P02,motion,2,v1,Study,8,sampling,False,R7 170m Astell Street → Burnsall Street → King's Road,14:09:49,94,115.9,8.2,50.5,16,0.0,44.18,22.2,22.5,61.7,0.458,0.5242,0.888,0.7993,0.3327,0.1975,0.5207,40.0,5.0,65.0,65.0,55.0,0.5954,0.6815,1.1544,1.1595,0.4325,0.2568,0.5686,False,True,True,False,False,0.5686
P02,motion,2,v1,Study,9,sampling,True,R1 215m Draycott Place,14:10:34,18,44.9,41.6,53.6,7,0.0,42.63,52.9,20.0,90.0,0.5948,0.671,0.3287,0.7557,0.4604,0.6753,0.8623,20.0,20.0,70.0,100.0,100.0,0.7732,0.8723,0.4273,1.129,0.5985,0.8779,0.8761,True,True,False,False,True,0.8761
P02,motion,2,v1,Study,10,sampling,False,R2 165m Cliveden Place,14:11:27,31,53.0,22.7,54.2,3,0.0,54.38,34.1,20.0,80.0,0.9389,0.9517,0.5782,0.9204,0.4124,0.5164,0.4758,20.0,20.0,75.0,85.0,80.0,1.2206,1.2372,0.7517,1.2443,0.5361,0.6713,0.5282,True,True,True,False,True,0.5282
P02,motion,2,v1,Study,11,sampling,True,R3 283m Basil Street → Hans Road → Brompton Road,14:12:34,42,66.8,26.7,52.8,14,0.0,44.03,40.6,22.5,85.0,0.1953,0.3688,0.7705,0.6647,0.5689,0.481,0.4598,20.0,25.0,75.0,90.0,90.0,0.2539,0.4794,1.0016,1.0653,0.7396,0.6253,0.5138,False,False,True,True,True,0.5138
