round;route;endedAt;durationS;avgSpeedKmh;maxSpeedKmh;collisions;maxStuckS;energyKwh100km;avgEcoScore;taskLoad;acceptance;p0;p1;p2;p3;p4;p5;p6;tlxMental;tlxDistraction;accInformed;accPleasant;accGlance
1;R1 215m Draycott Place;11:09:33;94.6;14.1;51.2;2;0.0;43.02;50.5;50.0;91.7;0.6152;0.0459;0.1178;0.6360;0.5895;0.4046;0.4125;25.0;75.0;85.0;95.0;95.0
2;R2 165m Cliveden Place;11:10:50;76.4;35.3;53.7;0;0.0;46.98;59.8;10.0;95.0;0.0836;0.7101;0.0731;0.5650;0.7247;0.1148;0.4664;5.0;15.0;95.0;95.0;95.0
3;R3 283m Basil Street → Hans Road → Brompton Road;11:12:46;116.5;21.3;50.5;2;0.0;42.41;38.1;47.5;80.0;0.9571;0.7720;0.0481;0.9916;0.3208;0.0428;0.4530;50.0;45.0;90.0;75.0;75.0
4;R7 170m Astell Street → Burnsall Street → King's Road;11:13:47;60.5;18.2;45.9;1;0.0;43.48;36.9;17.5;95.0;0.4958;0.3448;0.1145;0.3306;0.4753;0.0016;0.3807;30.0;5.0;95.0;95.0;95.0
5;R1 215m Draycott Place;11:14:46;58.9;41.7;53.6;2;0.0;38.70;57.0;7.5;86.7;0.1722;0.8353;0.2890;0.7720;0.6129;0.9691;0.9823;5.0;10.0;80.0;85.0;95.0
6;R2 165m Cliveden Place;11:15:49;63.1;40.4;54.1;0;0.0;43.50;55.9;27.5;80.0;0.2844;0.0195;0.0672;0.4209;0.2710;0.7248;0.2125;50.0;5.0;65.0;80.0;95.0
7;R3 283m Basil Street → Hans Road → Brompton Road;11:17:15;86.2;19.8;50.9;0;0.0;33.45;38.8;17.5;95.0;0.2848;0.7560;0.1006;0.8446;0.6809;0.5219;0.6149;10.0;25.0;95.0;95.0;95.0
8;R7 170m Astell Street → Burnsall Street → King's Road;11:18:51;95.5;11.0;38.1;2;0.0;44.09;22.6;7.5;71.7;0.3884;0.4498;0.0127;0.6106;0.6931;0.3547;0.2077;5.0;10.0;70.0;80.0;65.0
9;R1 215m Draycott Place;11:19:49;58.1;34.0;52.6;0;0.0;42.75;50.8;75.0;33.3;0.3790;0.2942;0.9771;0.1977;0.1731;0.2572;0.9388;75.0;75.0;25.0;50.0;25.0
10;R2 165m Cliveden Place;11:20:53;64.2;41.1;54.2;0;0.0;43.84;55.4;40.0;58.3;0.1923;0.7383;0.7550;0.2488;0.4048;0.9304;0.7164;30.0;50.0;75.0;50.0;50.0
11;R3 283m Basil Street → Hans Road → Brompton Road;11:22:23;89.7;29.1;50.3;1;0.0;42.02;48.0;5.0;95.0;0.9616;0.2819;0.3471;0.0925;0.7823;0.4875;0.9117;5.0;5.0;95.0;95.0;95.0
12;R7 170m Astell Street → Burnsall Street → King's Road;11:23:28;65.1;20.5;45.4;5;0.0;40.09;37.5;52.5;38.3;0.7764;0.2636;0.5309;0.3147;0.4964;0.6921;0.3240;55.0;50.0;25.0;45.0;45.0
13;R1 215m Draycott Place;11:24:38;69.9;33.6;53.4;1;0.0;40.69;43.6;12.5;81.7;0.0542;0.3045;0.1055;0.7050;0.6401;0.3049;0.5122;10.0;15.0;60.0;90.0;95.0
14;R2 165m Cliveden Place;11:25:15;36.6;41.8;54.4;0;0.0;45.81;55.9;5.0;95.0;0.9422;0.0125;0.3872;0.8257;0.7230;0.1948;0.9990;5.0;5.0;95.0;95.0;95.0
15;R3 283m Basil Street → Hans Road → Brompton Road;11:26:41;85.6;20.1;52.7;0;0.0;39.68;32.9;5.0;86.7;0.2497;0.0937;0.2802;0.6363;0.9164;0.6147;0.6272;5.0;5.0;70.0;95.0;95.0
16;R7 170m Astell Street → Burnsall Street → King's Road;11:30:27;128.6;7.5;46.4;6;0.0;40.08;49.8;5.0;73.3;0.4119;0.7693;0.1495;0.1115;0.8589;0.0000;0.5680;5.0;5.0;60.0;65.0;95.0
17;R1 215m Draycott Place;11:33:10;47.3;31.7;53.5;0;0.0;37.60;61.2;5.0;95.0;1.0000;0.3069;0.2992;0.0811;1.0000;0.0712;1.0000;5.0;5.0;95.0;95.0;95.0
18;R2 165m Cliveden Place;11:36:13;74.9;20.9;53.0;3;0.0;64.61;66.7;10.0;95.0;0.1517;0.7346;0.3247;0.7822;1.0000;0.0000;0.6976;5.0;15.0;95.0;95.0;95.0
19;R3 283m Basil Street → Hans Road → Brompton Road;11:39:49;69.6;22.8;52.4;0;0.0;41.65;40.6;5.0;95.0;1.0000;0.6869;0.3305;0.7588;0.8079;0.6060;0.7799;5.0;5.0;95.0;95.0;95.0
20;R7 170m Astell Street → Burnsall Street → King's Road;11:43:18;66.6;16.3;46.2;2;0.0;49.89;55.7;5.0;65.0;0.4114;0.3079;0.1024;0.1163;0.8247;1.0000;1.0000;5.0;5.0;25.0;75.0;95.0
21;R1 215m Draycott Place;11:43:53;35.4;36.5;53.7;0;0.0;38.04;62.6;0.0;96.7;1.0000;0.3070;0.2990;0.0810;1.0000;0.0710;1.0000;0.0;0.0;100.0;100.0;90.0
