participant,round,size_leaf_norm,size_score_norm,size_feedback_norm,size_speed_norm,size_accel_norm,size_labels_norm,opacity_norm,size_leaf_phys,size_score_phys,size_feedback_phys,size_speed_phys,size_accel_phys,size_labels_phys,opacity_phys,visible_leaf,visible_score,visible_feedback,visible_accel,visible_labels,speed_alpha
P01,1,0.8087,0.4289,0.8848,0.5643,0.3497,0.8625,0.0335,1.0513,0.5576,1.1502,0.995,0.4546,1.1213,0.1302,True,False,True,False,True,0.4
P01,2,0.176,0.0085,0.82,0.2319,0.3719,0.8007,0.5346,0.2288,0.0111,1.066,0.7623,0.4835,1.0409,0.5811,False,False,True,False,True,0.5811
P01,3,0.0983,0.6085,0.6729,0.5727,0.5574,0.48,0.3324,0.1278,0.7911,0.8748,1.0009,0.7246,0.624,0.3992,False,True,True,True,True,0.4
P01,4,0.4571,0.8494,0.551,0.0187,0.9873,0.5303,0.9471,0.5942,1.1042,0.7163,0.6131,1.2835,0.6894,0.9524,False,True,True,True,True,0.9524
P01,5,0.8637,0.7228,0.3108,0.1549,0.8932,0.1259,0.6839,1.1228,0.9396,0.404,0.7084,1.1612,0.1637,0.7155,True,True,False,True,False,0.7155
P01,6,0.6111,0.6497,0.045,0.5087,0.1985,0.4667,0.4387,0.7944,0.8446,0.0585,0.9561,0.2581,0.6067,0.4948,True,True,False,False,True,0.4948
P01,7,0.0211,0.9948,0.0863,0.5216,0.8973,0.1019,0.9121,0.0274,1.2932,0.1122,0.9651,1.1665,0.1325,0.9209,False,True,False,True,False,0.9209
P01,8,0.0851,0.5291,0.7216,0.2686,0.7064,0.5343,0.9996,0.1106,0.6878,0.9381,0.788,0.9183,0.6946,0.9996,False,True,True,True,True,0.9996
P01,9,0.9528,0.6658,0.0662,0.7732,0.382,0.5947,0.5822,1.2386,0.8655,0.0861,1.1412,0.4966,0.7731,0.624,True,True,False,False,True,0.624
P01,10,0.41,0.6246,0.877,0.6959,0.1006,0.3543,0.4024,0.533,0.812,1.1401,1.0871,0.1308,0.4606,0.4622,False,True,True,False,False,0.4622
P01,11,0.1676,0.9122,0.2987,0.7658,0.578,0.7206,0.3371,0.2179,1.1859,0.3883,1.1361,0.7514,0.9368,0.4034,False,True,False,True,True,0.4034
P01,12,0.9981,0.7637,0.4114,0.9977,0.208,0.2351,0.6782,1.2975,0.9928,0.5348,1.2984,0.2704,0.3056,0.7104,True,True,False,False,False,0.7104
P01,13,0.9897,0.5325,0.6964,0.129,0.9317,0.548,0.8717,1.2866,0.6923,0.9053,0.6903,1.2112,0.7124,0.8845,True,True,True,True,True,0.8845
P01,14,0.0801,0.2241,0.5455,0.658,0.3532,0.2911,0.1121,0.1041,0.2913,0.7092,1.0606,0.4592,0.3784,0.2009,False,False,True,False,False,0.4
P01,15,0.0323,0.2529,0.4021,0.4592,0.9921,0.4301,0.2983,0.042,0.3288,0.5227,0.9214,1.2897,0.5591,0.3685,False,False,False,True,False,0.4
P01,16,0.8963,0.7365,0.0071,0.4848,0.6278,0.4274,0.8299,1.1652,0.9575,0.0092,0.9394,0.8161,0.5556,0.8469,True,True,False,True,False,0.8469
P01,17,0.9433,0.5707,0.0,0.7342,0.3851,0.7614,0.1889,1.2263,0.7419,0.0,1.1139,0.5006,0.9898,0.27,True,True,False,False,True,0.4
P01,18,0.9154,0.6345,0.1596,0.4237,0.6307,0.1041,0.6042,1.19,0.8248,0.2075,0.8966,0.8199,0.1353,0.6438,True,True,False,True,False,0.6438
P01,19,1.0,0.8935,0.0,0.8099,0.473,0.5317,0.6016,1.3,1.1616,0.0,1.1669,0.6149,0.6912,0.6414,True,True,False,True,True,0.6414
P01,20,1.0,0.6193,0.0983,0.8431,0.3116,0.6615,0.6243,1.3,0.8051,0.1278,1.1902,0.4051,0.8599,0.6619,True,True,False,False,True,0.6619
P01,21,0.953,0.666,0.066,0.773,0.382,0.595,0.582,1.2389,0.8658,0.0858,1.1411,0.4966,0.7735,0.6238,True,True,False,False,True,0.6238
