UserID;ConditionID;GroupID;Timestamp;Iteration;Phase;IsPareto;energy;taskload;accInformed;accPleasant;accGlance;size_leaf;size_score;size_feedback;size_speed;size_accel;size_labels;opacity
7;v1;Study;2026-08-22 12:36:14;1;sampling;TRUE;27.084;22.5;70.0;90.0;80.0;0.165;0.558;0.369;0.165;0.508;0.198;0.242
7;v1;Study;2026-08-22 12:37:15;2;sampling;FALSE;29.465;27.5;65.0;75.0;75.0;0.759;0.521;0.632;0.814;0.965;0.768;0.706
7;v1;Study;2026-08-22 12:39:22;3;sampling;FALSE;32.563;30.0;75.0;70.0;80.0;0.913;0.936;0.884;0.649;0.327;0.146;0.88
7;v1;Study;2026-08-22 12:40:41;4;sampling;FALSE;44.089;30.0;75.0;80.0;80.0;0.968;0.226;0.072;0.201;0.869;0.389;0.46
7;v1;Study;2026-08-22 12:41:31;5;sampling;FALSE;35.801;27.5;80.0;80.0;80.0;0.054;0.088;0.004;0.204;0.044;0.401;0.779
7;v1;Study;2026-08-22 12:42:08;6;sampling;FALSE;31.293;27.5;65.0;75.0;65.0;0.902;0.524;0.612;0.009;0.345;0.321;0.024
7;v1;Study;2026-08-22 12:43:30;7;sampling;FALSE;26.908;30.0;70.0;75.0;75.0;0.829;0.46;0.633;0.679;0.712;0.212;0.134
7;v1;Study;2026-08-22 12:44:19;8;sampling;TRUE;17.327;32.5;75.0;85.0;80.0;0.78;0.903;0.231;0.235;0.205;0.827;0.001
7;v1;Study;2026-08-22 12:45:09;9;sampling;TRUE;16.327;27.5;75.0;80.0;80.0;0.451;0.383;0.712;0.826;0.826;0.907;0.786
7;v1;Study;2026-08-22 12:45:54;10;sampling;FALSE;20.133;27.5;70.0;80.0;75.0;0.723;0.603;0.933;0.197;0.416;0.475;0.334
7;v1;Study;2026-08-22 12:47:03;11;sampling;TRUE;15.994;27.5;80.0;75.0;80.0;0.599;0.817;0.315;0.914;0.606;0.169;0.812
7;v1;Study;2026-08-22 12:48:03;12;sampling;FALSE;31.124;30.0;75.0;85.0;80.0;0.27;0.334;0.049;0.582;0.308;0.335;0.609
7;v1;Study;2026-08-22 12:48:44;13;sampling;FALSE;30.937;30.0;85.0;80.0;75.0;0.657;0.935;0.548;0.561;0.99;0.398;0.584
7;v1;Study;2026-08-22 12:49:16;14;sampling;FALSE;37.028;25.0;80.0;70.0;75.0;0.929;0.183;0.802;0.995;0.236;0.452;0.897
7;v1;Study;2026-08-22 12:50:13;15;sampling;FALSE;40.957;22.5;75.0;85.0;80.0;0.755;0.122;0.29;0.24;0.442;0.258;0.628
7;v1;Study;2026-08-22 12:54:02;16;optimization;TRUE;53.774;17.5;70.0;80.0;75.0;0.474;0.768;0.197;0.225;0.429;0.187;0.251
7;v1;Study;2026-08-22 12:57:24;17;optimization;TRUE;22.09;22.5;90.0;85.0;90.0;0.406;0.248;0.847;0.212;0.622;0.144;0.512
7;v1;Study;2026-08-22 12:59:07;18;optimization;FALSE;32.316;27.5;75.0;80.0;80.0;0.155;0.262;0.967;0.095;0.693;0.141;0.506
7;v1;Study;2026-08-22 13:01:15;19;optimization;FALSE;37.401;27.5;85.0;85.0;70.0;0.445;0.224;0.719;0.242;0.41;0.142;0.392
7;v1;Study;2026-08-22 13:03:25;20;optimization;TRUE;39.393;25.0;90.0;90.0;80.0;0.401;0.352;0.712;0.245;0.589;0.274;0.563
7;v1;Study;2026-08-22 13:04:00;21;finaldesign;NULL;24.15;25;85;85;75;0.406;0.248;0.847;0.212;0.622;0.144;0.512
