participant,round,size_leaf_norm,size_score_norm,size_feedback_norm,size_speed_norm,size_accel_norm,size_labels_norm,opacity_norm,size_leaf_phys,size_score_phys,size_feedback_phys,size_speed_phys,size_accel_phys,size_labels_phys,opacity_phys,visible_leaf,visible_score,visible_feedback,visible_accel,visible_labels,speed_alpha
P07,1,0.1651,0.5582,0.3691,0.1648,0.508,0.1981,0.2424,0.2146,0.7257,0.4798,0.7154,0.6604,0.2575,0.3182,False,True,False,True,False,0.4
P07,2,0.7589,0.5206,0.632,0.8143,0.9647,0.768,0.7059,0.9866,0.6768,0.8216,1.17,1.2541,0.9984,0.7353,True,True,True,True,True,0.7353
P07,3,0.9133,0.9356,0.8837,0.6488,0.3268,0.1459,0.8796,1.1873,1.2163,1.1488,1.0542,0.4248,0.1897,0.8916,True,True,True,False,False,0.8916
P07,4,0.9678,0.2263,0.0723,0.2011,0.8686,0.3885,0.4604,1.2581,0.2942,0.094,0.7408,1.1292,0.505,0.5144,True,False,False,True,False,0.5144
P07,5,0.0542,0.0884,0.0039,0.204,0.0443,0.4012,0.779,0.0705,0.1149,0.0051,0.7428,0.0576,0.5216,0.8011,False,False,False,False,False,0.8011
P07,6,0.902,0.5243,0.6122,0.0092,0.345,0.3212,0.024,1.1726,0.6816,0.7959,0.6064,0.4485,0.4176,0.1216,True,True,True,False,False,0.4
P07,7,0.8293,0.4602,0.6328,0.6794,0.7118,0.2124,0.134,1.0781,0.5983,0.8226,1.0756,0.9253,0.2761,0.2206,True,False,True,True,False,0.4
P07,8,0.78,0.9029,0.2307,0.2354,0.2053,0.8273,0.001,1.014,1.1738,0.2999,0.7648,0.2669,1.0755,0.1009,True,True,False,False,True,0.4
P07,9,0.4514,0.3835,0.7124,0.8257,0.8265,0.9066,0.7865,0.5868,0.4986,0.9261,1.178,1.0745,1.1786,0.8078,False,False,True,True,True,0.8078
P07,10,0.7226,0.6026,0.9331,0.1966,0.4162,0.4753,0.3337,0.9394,0.7834,1.213,0.7376,0.5411,0.6179,0.4003,True,True,True,False,True,0.4003
P07,11,0.5992,0.8174,0.3153,0.9136,0.606,0.1694,0.8121,0.779,1.0626,0.4099,1.2395,0.7878,0.2202,0.8309,True,True,False,True,False,0.8309
P07,12,0.2701,0.334,0.0494,0.5823,0.3078,0.3349,0.6091,0.3511,0.4342,0.0642,1.0076,0.4001,0.4354,0.6482,False,False,False,False,False,0.6482
P07,13,0.6571,0.9354,0.5478,0.5606,0.99,0.3984,0.5837,0.8542,1.216,0.7121,0.9924,1.287,0.5179,0.6253,True,True,True,True,False,0.6253
P07,14,0.9288,0.1827,0.8017,0.9952,0.2362,0.4519,0.8973,1.2074,0.2375,1.0422,1.2966,0.3071,0.5875,0.9076,True,False,True,False,False,0.9076
P07,15,0.7552,0.122,0.2902,0.2401,0.4417,0.2578,0.6281,0.9818,0.1586,0.3773,0.7681,0.5742,0.3351,0.6653,True,False,False,False,False,0.6653
P07,16,0.4736,0.7684,0.1972,0.2254,0.4291,0.1866,0.2506,0.6157,0.9989,0.2564,0.7578,0.5578,0.2426,0.3255,True,True,False,False,False,0.4
P07,17,0.406,0.2481,0.8474,0.2123,0.6222,0.1436,0.5118,0.5278,0.3225,1.1016,0.7486,0.8089,0.1867,0.5606,False,False,True,True,False,0.5606
P07,18,0.1549,0.2619,0.9666,0.0955,0.6927,0.1413,0.5063,0.2014,0.3405,1.2566,0.6668,0.9005,0.1837,0.5557,False,False,True,True,False,0.5557
P07,19,0.4449,0.2238,0.719,0.242,0.4098,0.1418,0.3918,0.5784,0.2909,0.9347,0.7694,0.5327,0.1843,0.4526,False,False,True,False,False,0.4526
P07,20,0.4007,0.352,0.7123,0.2448,0.5888,0.2735,0.5631,0.5209,0.4576,0.926,0.7714,0.7654,0.3556,0.6068,False,False,True,True,False,0.6068
P07,21,0.406,0.248,0.847,0.212,0.622,0.144,0.512,0.5278,0.3224,1.1011,0.7484,0.8086,0.1872,0.5608,False,False,True,True,False,0.5608
