"objective","b","SE","t","p","p_holm"
"energy",-0.43095506956332,0.365156919950118,-1.18019143556745,0.239170919250866,0.478341838501731
"taskload",1.76366253129257,0.917517076539444,1.92221221423419,0.05582290243858,0.2791145121929
"accInformed",1.85940954389687,1.02279231357166,1.81797371687677,0.0703827920008177,0.281531168003271
"accPleasant",-0.177562689144528,1.04635234965933,-0.169696841797448,0.865399768925384,0.865399768925384
"accGlance",-1.81362704367304,1.08115356157532,-1.67749254882022,0.0948092124802236,0.284427637440671
