"","PC1","PC2","PC3","PC4","PC5"
"energy",0.0109738780457295,0.989886643575146,-0.132758868910675,0.0485312614084836,0.00487916630458626
"taskload",0.429048704276359,-0.0847130298433718,-0.754395008450485,-0.451760425015059,0.188524803537199
"accInformed",0.461649626461635,0.106206817054072,0.641500074586638,-0.542407029641698,0.264333128645813
"accPleasant",0.553649328607274,-0.00245686320883583,0.0396871577742668,0.116291829614199,-0.823630696749866
"accGlance",0.544195577600519,-0.0407702254188357,0.0128778011978015,0.697013672474627,0.464967810347209
