"measure","what","slope_per_round","SE","t","p"
"acc_sd","spread across the three acceptance items",-0.0554722325635563,0.0672728576482546,-0.824585642750609,0.410223013157564
"tlx_sd","spread across the two TLX items",-0.350396663891547,0.0770337923598425,-4.54860981340193,0.00000768236708093668
"extreme","share of items answered at 0 or 100",0.00571428571428571,0.00136400950127891,4.1893298462569,0.000036254070703978
