"participant","round","Phase","PhaseBO","isPareto","energy","taskload","accInformed","accPleasant","accGlance","size_leaf","size_score","size_feedback","size_speed","size_accel","size_labels","opacity","routeCode","avgSpeedKmh","maxSpeedKmh","collisions","maxStuckS","avgEcoScore","tlxMental","tlxDistraction","drivingTimeS","distanceM","sdSpeedKmh","meanAbsAccel","sdAccel","pctHarshAccel","sdThrottle","sdSteer","pctStopped","finalEcoScore","nVisible","speed_alpha","energy_n","taskload_n","accInformed_n","accPleasant_n","accGlance_n","overallQuality"
"P11",8,"Sampling","sampling",FALSE,44.092,7.5,70,80,65,0.388,0.45,0.013,0.611,0.693,0.355,0.208,"R7",11,38.1,2,0,22.6,5,10,52.36,160.021980904627,10.7666954995149,1.87866119174943,3.03453806116666,30.9014514896868,0.391478008076144,0.191781445545206,33.5752482811306,31,1,0.4,0.293946666666667,0.075,0.3,0.2,0.35,75.6210666666667
"P11",9,"Sampling","sampling",FALSE,42.747,75,25,50,25,0.379,0.294,0.977,0.198,0.173,0.257,0.939,"R1",34,52.6,0,0,50.8,75,75,22.54,212.859363938715,15.246584052908,2.73150842945874,4.02381170508023,42.6796805678793,0.321906094888961,0.00951291349974898,2.04081632653061,83,1,0.9449,0.28498,0.75,0.75,0.5,0.75,39.3004
"P11",10,"Sampling","sampling",FALSE,43.838,40,75,50,50,0.192,0.738,0.755,0.249,0.405,0.93,0.716,"R2",41.1,54.2,0,0,55.4,30,50,14.19,162.046725087272,17.3110086896126,1.4891676056338,1.8018240819202,20.4225352112676,0.200591114777495,0.00835752529205448,5.63380281690141,56.3,3,0.7448,0.292253333333333,0.4,0.25,0.5,0.5,61.1549333333333
"P11",11,"Sampling","sampling",FALSE,42.017,5,95,95,95,0.962,0.282,0.347,0.093,0.782,0.488,0.912,"R3",29.1,50.3,1,0,48,5,5,33.85,273.774806996227,16.1900137805744,2.54621500295334,3.90178601814575,37.6255168340224,0.3552804636766,0.0920570637948571,5.72947430596574,68.5,3,0.9205,0.280113333333333,0.05,0.05,0.05,0.05,90.3977333333333
"P11",12,"Sampling","sampling",FALSE,40.086,52.5,25,45,45,0.776,0.264,0.531,0.315,0.496,0.692,0.324,"R7",20.5,45.4,5,0,37.5,55,50,27.97,159.039996771073,11.0414117017041,2.58904074338813,3.98020575631045,35.9542530378842,0.334938951379716,0.146390760291024,5.28949249463903,31.6,4,0.4,0.26724,0.525,0.75,0.55,0.55,47.1552
"P11",13,"Sampling","sampling",FALSE,40.694,12.5,60,90,95,0.054,0.304,0.105,0.705,0.64,0.305,0.512,"R1",33.6,53.4,1,0,43.6,10,15,22.86,213.047741591316,20.4899495468073,2.15111373578303,2.83827679559169,35.8705161854768,0.339526353304598,0.00786494582989582,4.28696412948382,61,1,0.561,0.271293333333333,0.125,0.4,0.1,0.05,81.0741333333333
"P11",14,"Sampling","sampling",FALSE,45.813,5,95,95,95,0.942,0.012,0.387,0.826,0.723,0.195,0.999,"R2",41.8,54.4,0,0,55.9,5,5,13.99,162.283376066682,16.2846690179292,1.64899142857143,1.91592615689532,24.8571428571429,0.183627602675461,0.0148050275650441,4.14285714285714,56,2,0.9991,0.30542,0.05,0.05,0.05,0.05,89.8916
"P11",15,"Sampling","sampling",FALSE,39.685,5,70,95,95,0.25,0.094,0.28,0.636,0.916,0.615,0.627,"R3",20.1,52.7,0,0,32.9,5,5,49.05,273.846570859132,16.9513325772676,2.62379942927028,4.038862675422,39.9510803098247,0.43383668763127,0.0859903130285217,17.6518548715858,25.5,2,0.6645,0.264566666666667,0.05,0.3,0.05,0.05,85.7086666666667
"P11",16,"Optimisation","optimization",FALSE,40.082,5,60,65,95,0.412,0.769,0.15,0.111,0.859,0,0.568,"R7",7.5,46.4,6,0,49.8,5,5,88.34,183.677516913331,11.3349877169773,1.08310527507358,4.21647467407639,14.7158705003396,0.441992445482184,0.0904809806866521,60.2671496490831,20.8,2,0.6112,0.267213333333333,0.05,0.4,0.35,0.05,77.6557333333333
"P11",17,"Optimisation","optimization",TRUE,37.597,5,95,95,95,1,0.307,0.299,0.081,1,0.071,1,"R1",31.7,53.5,0,0,61.2,5,5,24.14,212.380273019367,23.1833206351003,1.17924855012428,1.75324172630647,14.4159072079536,0.419708133527554,0.00481330674100102,21.5410107705054,60.6,2,1,0.250646666666667,0.05,0.05,0.05,0.05,90.9870666666667
"P11",18,"Optimisation","optimization",FALSE,64.612,10,95,95,95,0.152,0.735,0.325,0.782,1,0,0.698,"R2",20.9,53,3,0,66.7,5,15,28.3,164.495109856937,20.9009380313833,1.67251412429379,15.9149444086659,20.2683615819209,0.472028974468747,0.0398679313164808,40.5367231638418,58.5,2,0.7278,0.430746666666667,0.1,0.05,0.05,0.05,86.3850666666667
"P11",19,"Optimisation","optimization",FALSE,41.647,5,95,95,95,1,0.687,0.33,0.759,0.808,0.606,0.78,"R3",22.8,52.4,0,0,40.6,5,5,43.78,277.153325987256,17.2219131380095,2.57354840182648,4.00110691433084,40.5479452054795,0.406077985074776,0.0814292544508163,14.337899543379,52.7,4,0.8019,0.277646666666667,0.05,0.05,0.05,0.05,90.4470666666667
"P11",20,"Optimisation","optimization",FALSE,49.894,5,25,75,95,0.411,0.308,0.102,0.116,0.825,1,1,"R7",16.3,46.2,2,0,55.7,5,5,34.24,155.136322275452,14.6915408027815,2.01689200233508,3.4478144812186,29.5971978984238,0.448535324158738,0.123962268003936,34.8511383537653,58.1,2,1,0.332626666666667,0.05,0.75,0.25,0.05,71.3474666666667
"P11",21,"Final design","finaldesign",NA,38.038,0,100,100,90,1,0.307,0.299,0.081,1,0.071,1,"R1",36.5,53.7,0,0,62.6,0,0,20.94,212.409885062195,21.950368122716,1.25274522900763,1.78219912721321,16.793893129771,0.397453343259795,0.00982229069609988,20.5152671755725,60.7,2,1,0.253586666666667,0,0,0,0.1,92.9282666666667
"P12",1,"Sampling","sampling",FALSE,31.631,40,65,70,45,0.83,0.522,0.707,0.978,0.947,0.542,0.184,"R1",19,41,1,0,58.9,20,60,40.21,212.810714009088,14.8285113775058,1.39180656389856,2.20343777484767,10.8403779214321,0.281192991827555,0.00384291296929903,17.8518150174043,94.5,5,0.4,0.210873333333333,0.4,0.35,0.3,0.55,63.7825333333333
"P12",2,"Sampling","sampling",FALSE,27.533,77.5,30,20,20,0.109,0.337,0.971,0.397,0.95,0.954,0.277,"R2",22.1,41.5,0,0,68.3,80,75,26.43,162.249147979689,13.1329262847828,1.08952042360061,2.08247960977358,7.41301059001513,0.269219987437944,0.010167874256167,20.1210287443268,74.2,3,0.4,0.183553333333333,0.775,0.7,0.8,0.8,34.8289333333333
"P12",3,"Sampling","sampling",TRUE,27.058,12.5,65,100,85,0.52,0.022,0.256,0.843,0.669,0.429,0.47,"R3",13.4,41.7,7,0,44.8,25,0,78.03,290.29581147416,14.8816431253089,1.12337262942081,4.16517608154126,13.6852895950794,0.528327650980856,0.171537043198875,43.4648898001025,80,2,0.5231,0.180386666666667,0.125,0.35,0,0.15,83.8922666666667
"P12",4,"Sampling","sampling",FALSE,32.645,70,80,25,40,0.699,0.588,0.639,0.889,0.584,0.535,0.913,"R7",20.2,50.6,13,0,41.8,70,70,81.98,459.27599488999,15.1012413526266,1.67176463414634,3.37122862686101,16.8292682926829,0.519348118354164,0.240991361997478,16.4634146341463,73.1,5,0.9213,0.217633333333333,0.7,0.2,0.75,0.6,50.6473333333333
"P12",5,"Sampling","sampling",FALSE,45.386,0,75,100,100,0.506,0.391,0.01,0.485,0.359,0.792,0.307,"R1",27.3,51.8,0,0,48.9,0,0,28.09,212.920736852873,18.1626375556182,1.98539857651246,3.29520033457587,27.6156583629893,0.376594183601105,0.00888535418055644,14.5907473309609,63.6,2,0.4,0.302573333333333,0,0.25,0,0,88.9485333333333
"P12",6,"Sampling","sampling",FALSE,34.239,90,100,20,70,0.14,0.559,0.78,0.381,0.549,0.204,0.361,"R2",35.9,52.5,0,0,65.9,85,95,16.25,162.02822532307,15.5345327105784,1.53689175891759,1.87952216719859,21.5252152521525,0.302340941986753,0.0156146475772067,7.25707257072571,79.7,3,0.4253,0.22826,0.9,0,0.8,0.3,55.4348
"P12",7,"Sampling","sampling",TRUE,30.429,20,75,95,85,0.548,0.373,0.02,0.921,0.943,0.918,0.749,"R3",31.2,45.7,2,0,64.2,20,20,32.18,278.735740687379,13.4446796305218,1.59994717215662,2.37346849127074,15.7240522063393,0.250868371796161,0.12240336332881,3.23182100683654,84.3,3,0.7744,0.20286,0.2,0.25,0.05,0.15,82.9428
"P12",8,"Sampling","sampling",FALSE,45.364,0,100,100,100,0.291,0.287,0.274,0.969,0.358,0.21,0.394,"R7",16.5,48.2,7,0,36.7,0,0,37,169.538944882043,14.3857313263703,2.21294108108108,8.09170039947157,25.0810810810811,0.561516330840149,0.179621719896662,22.5945945945946,34.2,0,0.455,0.302426666666667,0,0,0,0,93.9514666666667
"P12",9,"Sampling","sampling",FALSE,37.718,30,100,75,50,0.879,0.888,0.158,0.651,0.584,0.428,0.167,"R1",42.1,53.6,0,0,57.3,30,30,18.2,212.468621922202,17.8863395076614,1.42229010989011,1.94336717901577,19.010989010989,0.260960992323567,0.0077562760510196,8.02197802197802,60.7,3,0.4,0.251453333333333,0.3,0,0.25,0.5,73.9709333333333
"P12",10,"Sampling","sampling",FALSE,34.288,67.5,100,70,50,0.953,0.36,0.752,0.855,0.48,0.845,0.124,"R2",37.7,53.4,0,0,63.7,35,100,15.5,162.24052684206,15.9167771585659,1.52182967741935,1.95590351313952,21.9354838709677,0.318026302657965,0.0102770653001945,7.2258064516129,96.5,4,0.4,0.228586666666667,0.675,0,0.3,0.5,65.9282666666667
"P12",11,"Sampling","sampling",TRUE,29.786,30,90,80,75,0.423,0.628,0.336,0.612,0.878,0.004,0.337,"R3",35.5,52.3,1,0,61.9,30,30,28.45,280.341571546758,13.080124544074,1.62940688685875,2.48873374852835,18.5523541813071,0.28569594605761,0.0751930120855749,3.65425158116655,78.3,2,0.4037,0.198573333333333,0.3,0.1,0.2,0.25,79.0285333333333
"P12",12,"Sampling","sampling",FALSE,43.409,85,85,25,25,0.437,0.772,0.62,0.049,0.426,0.257,0.877,"R7",32.6,47.7,8,0,60.5,80,90,18.55,167.747616075001,11.9598610068886,2.24974353448276,5.79764365100253,32.3275862068966,0.241668415618467,0.163241935340028,4.84913793103448,68.7,2,0.8895,0.289393333333333,0.85,0.15,0.75,0.75,44.2121333333333
"P12",13,"Sampling","sampling",FALSE,33.5,22.5,80,75,85,0.497,0.717,0.185,0.166,0.644,0.556,0.638,"R1",34.3,46.5,0,0,78.2,25,20,22.32,212.609131052416,12.762668479676,1.3432757385855,1.83650273335791,15.4879140555058,0.185591258472978,0.00627052707702795,5.19247985675918,94.8,4,0.6746,0.223333333333333,0.225,0.2,0.25,0.15,79.0333333333333
"P12",14,"Sampling","sampling",FALSE,37.509,77.5,90,5,5,0.791,0.164,0.738,0.741,0.112,0.67,0.391,"R2",39.4,53.4,0,0,59.7,75,80,14.86,162.548980602491,16.9356127343233,1.5111197846568,1.83420297682097,22.4764468371467,0.259214304373103,0.0184509761894899,6.05652759084791,54.3,3,0.4516,0.25006,0.775,0.1,0.95,0.95,39.4988
"P12",15,"Sampling","sampling",TRUE,26.297,25,80,90,90,0.776,0.545,0.127,0.112,0.145,0.421,0.162,"R3",25.4,43.2,4,0,57.9,25,25,38.68,272.175396185058,13.2946475035902,1.44186091003102,2.09057630205796,10.9617373319545,0.228563835015116,0.0609303493320792,4.44674250258532,69.5,2,0.4,0.175313333333333,0.25,0.2,0.1,0.1,83.4937333333333
"P12",16,"Optimisation","optimization",FALSE,41.632,0,100,100,100,0.168,0.196,0.093,1,0.175,0.257,0.387,"R7",24.1,38.1,3,0,44.8,0,0,23.39,156.85204068393,9.2181208821196,2.96345384615385,24.6831382009001,21.2820512820513,0.248811431664281,0.216106973626647,0.170940170940171,65.2,0,0.4479,0.277546666666667,0,0,0,0,94.4490666666667
"P12",17,"Optimisation","optimization",FALSE,33.542,0,100,100,100,0.235,0.206,0.173,0.686,0.328,0.143,0.226,"R1",31.9,52.9,0,0,50.3,0,0,23.99,212.556061859335,14.1727998710809,2.77128833333333,11.2384804617913,38.3333333333333,0.318200807606823,0.00881439921852544,0.166666666666667,14.5,0,0.4,0.223613333333333,0,0,0,0,95.5277333333333
"P12",18,"Optimisation","optimization",FALSE,36.683,0,100,100,100,0.369,0.27,0.143,1,0.293,0.576,0.341,"R2",23.8,50.3,0,0,75.1,0,0,24.49,162.01722224432,20.1784980731255,0.843111836734694,1.23324755646418,8.57142857142857,0.370408645452358,0.0101337395403093,33.469387755102,85.4,1,0.4068,0.244553333333333,0,0,0,0,95.1089333333333
"P12",19,"Optimisation","optimization",TRUE,31.814,0,100,100,100,0,0.359,0.311,1,0.275,0.385,0.14,"R3",32.7,48.9,6,0,73.5,0,0,30.15,273.727825652358,16.1177813358376,1.40953448275862,3.31190233693657,15.7824933687003,0.306423980700976,0.093092287257692,13.262599469496,86,0,0.4,0.212093333333333,0,0,0,0,95.7581333333333
"P12",20,"Optimisation","optimization",FALSE,34.187,10,90,60,75,0,0.573,0,0.5,0.416,0.002,0.407,"R7",30.2,44.6,8,0,56.9,5,15,20.38,170.914587789164,9.01443610357877,2.76730392156863,23.0954091314034,25.2941176470588,0.287682779953035,0.174850632687109,0.196078431372549,29.6,1,0.466,0.227913333333333,0.1,0.1,0.4,0.25,78.4417333333333
"P12",21,"Final design","finaldesign",NA,36.544,0,100,100,100,0,0.359,0.311,1,0.275,0.385,0.14,"R1",27.8,46.8,0,0,59.7,0,0,27.6,212.705689678583,15.3025924188147,1.62638550724638,1.95875706842665,23.1159420289855,0.326842697502451,0.00440226452506907,7.7536231884058,94,0,0.4,0.243626666666667,0,0,0,0,95.1274666666667
"P13",1,"Sampling","sampling",FALSE,37.868,77.5,70,75,75,0.229,0.457,0.602,0.156,0.45,0.643,0.601,"R1",45.9,53.6,1,0,54,75,80,16.69,212.698794885971,13.2285631944084,1.61616407185629,2.22730606037188,22.9940119760479,0.0429716031955843,0.00772305644706562,0.239520958083832,61,2,0.6408,0.252453333333333,0.775,0.3,0.25,0.25,63.4509333333333
"P13",2,"Sampling","sampling",FALSE,43.593,17.5,65,80,70,0.895,0.953,0.764,0.56,0.829,0.052,0.544,"R2",16.8,54.2,0,0,78.9,30,5,34.71,162.047049908515,23.0731877252797,0.610353686635945,1.24914459346228,8.75576036866359,0.482319146369188,0.00611402810965301,61.463133640553,56.1,4,0.5899,0.29062,0.175,0.35,0.2,0.3,73.6876
"P13",3,"Sampling","sampling",FALSE,36.176,15,75,80,85,0.768,0.969,0.586,0.368,0.382,0.454,0.484,"R3",19.3,53,4,0,39.6,25,5,93.4,500.744732561974,20.454350693731,1.67691286662385,5.88760097036386,22.0509526867908,0.645295767308175,0.103951621775056,35.7525155213016,60.3,3,0.5361,0.241173333333333,0.15,0.25,0.2,0.15,80.1765333333333
"P13",4,"Sampling","sampling",FALSE,42.853,10,75,90,85,0.935,0.703,0.324,0.321,0.166,0.819,0.347,"R7",14.6,47.6,3,0,55.9,15,5,37.7,153.226714217635,14.3143129870843,1.48404825026511,2.51525675619138,22.0572640509014,0.421557961197573,0.138601737934569,37.4337221633086,49.9,3,0.4125,0.285686666666667,0.1,0.25,0.1,0.15,82.2862666666667
