"parameter","M","SD","SD_ratio_vs_uniform","Min","Max","t_vs_midpoint","p_vs_midpoint","p_holm"
"size_leaf",0.5625625,0.312366871642945,1.08207058457385,0,1,0.801141294797905,0.435557116039309,1
"size_score",0.3683125,0.212959376016491,0.737712918417456,0.071,0.768,-2.47347644350352,0.0258212339134638,0.180748637394247
"size_feedback",0.445875,0.291732268812805,1.01059022358224,0.033,1,-0.742118795706213,0.469477406431187,1
"size_speed",0.4809375,0.332023988842172,1.15016483601265,0.081,1,-0.229652081061665,0.821464298614197,1
"size_accel",0.521125,0.264934425849115,0.917759772489511,0.057,1,0.318946847806499,0.754165091039576,1
"size_labels",0.507875,0.316637937293265,1.09686598999148,0.01,0.973,0.0994827097134135,0.922072393712343,1
"opacity",0.427875,0.316463978992871,1.09626338076212,0,1,-0.91163613918442,0.376378884719615,1
