"participant","hv_start","hv_end","hv_gain","hv_gain_pc","improved"
"P01",10.2928599168107,10.2928599168107,0,0,FALSE
"P02",13.8812882052405,23.0533348631163,9.17204665787573,66.0748953718363,TRUE
"P03",19.4244446985748,19.442399261335,0.0179545627602025,0.092432823891845,TRUE
"P04",21.2206469526822,22.4077674161899,1.18712046350763,5.59417658733339,TRUE
"P05",15.9433568340865,15.9568274375713,0.0134706034848016,0.084490384459073,TRUE
"P06",8.242431400026,12.3405161590091,4.09808475898305,49.7193675032604,TRUE
"P07",13.0002035937132,16.2017829907883,3.20157939707508,24.6271481365364,TRUE
"P08",5.04217640076955,5.20429337554595,0.1621169747764,3.21521822901034,TRUE
"P09",10.4798175853706,15.9861335556123,5.50631597024169,52.5420974686456,TRUE
"P10",15.57111115296,17.80070298336,2.2295918304,14.3187715282359,TRUE
"P11",20.1130437862634,20.1572263718057,0.0441825855422699,0.219671303914952,TRUE
"P12",24.947515936056,25.9174699297953,0.969953993739299,3.88797825092257,TRUE
"P13",19.885647729423,21.3834053093796,1.4977575799566,7.53185211935793,TRUE
"P14",7.952917954014,10.7394248466337,2.78650689261967,35.0375410476009,TRUE
"P15",11.8330859573992,14.2073886244352,2.374302667036,20.0649490385165,TRUE
"P16",7.0066663513324,8.0064358642296,0.999769512897202,14.268832890938,TRUE
