round;route;endedAt;durationS;avgSpeedKmh;maxSpeedKmh;collisions;maxStuckS;energyKwh100km;avgEcoScore;taskLoad;acceptance;p0;p1;p2;p3;p4;p5;p6;tlxMental;tlxDistraction;accInformed;accPleasant;accGlance
1;R1 215m Draycott Place;14:01:51;114.7;9.0;53.5;0;0.0;39.57;85.6;40.0;73.3;0.5973;0.8577;0.5692;0.2212;0.2661;0.2439;0.5064;40.0;40.0;75.0;75.0;70.0
2;R2 165m Cliveden Place;14:02:32;41.3;40.7;53.9;0;0.0;44.86;50.9;40.0;76.7;0.0951;0.0604;0.6446;0.5004;0.4440;0.0654;0.2504;40.0;40.0;75.0;80.0;75.0
3;R3 283m Basil Street → Hans Road → Brompton Road;14:04:00;87.7;18.3;53.2;7;0.0;41.67;29.4;37.5;65.0;0.8431;0.0584;0.0203;0.4114;0.0315;0.5507;0.5641;30.0;45.0;60.0;65.0;70.0
4;R7 170m Astell Street → Burnsall Street → King's Road;14:05:07;66.9;13.0;43.8;3;0.0;58.54;31.0;30.0;61.7;0.7228;0.9184;0.0984;0.9400;0.7109;0.8364;0.0090;30.0;30.0;60.0;65.0;60.0
5;R1 215m Draycott Place;14:05:49;42.3;39.9;53.6;0;0.0;37.15;52.8;27.5;65.0;0.8901;0.5084;0.9877;0.1220;0.7411;0.2749;0.6559;35.0;20.0;65.0;75.0;55.0
6;R2 165m Cliveden Place;14:06:30;40.8;36.3;54.1;0;0.0;45.43;56.9;50.0;71.7;0.7382;0.1209;0.8417;0.4911;0.6271;0.5203;0.8415;35.0;65.0;75.0;80.0;60.0
7;R3 283m Basil Street → Hans Road → Brompton Road;14:07:53;82.5;19.3;52.3;8;0.0;45.61;31.1;32.5;81.7;0.6509;0.1315;0.3354;0.0013;0.6004;0.9529;0.4764;30.0;35.0;70.0;90.0;85.0
8;R7 170m Astell Street → Burnsall Street → King's Road;14:09:49;115.9;8.2;50.5;16;0.0;44.18;22.2;22.5;61.7;0.4580;0.5242;0.8880;0.7993;0.3327;0.1975;0.5207;40.0;5.0;65.0;65.0;55.0
9;R1 215m Draycott Place;14:10:34;44.9;41.6;53.6;7;0.0;42.63;52.9;20.0;90.0;0.5948;0.6710;0.3287;0.7557;0.4604;0.6753;0.8623;20.0;20.0;70.0;100.0;100.0
10;R2 165m Cliveden Place;14:11:27;53.0;22.7;54.2;3;0.0;54.38;34.1;20.0;80.0;0.9389;0.9517;0.5782;0.9204;0.4124;0.5164;0.4758;20.0;20.0;75.0;85.0;80.0
11;R3 283m Basil Street → Hans Road → Brompton Road;14:12:34;66.8;26.7;52.8;14;0.0;44.03;40.6;22.5;85.0;0.1953;0.3688;0.7705;0.6647;0.5689;0.4810;0.4598;20.0;25.0;75.0;90.0;90.0
12;R7 170m Astell Street → Burnsall Street → King's Road;14:13:46;71.7;18.2;49.0;11;0.0;45.52;29.8;25.0;80.0;0.5623;0.9395;0.5743;0.7620;0.0932;0.5492;0.0332;20.0;30.0;70.0;85.0;85.0
13;R1 215m Draycott Place;14:14:28;42.6;41.8;53.6;0;0.0;37.95;50.1;60.0;76.7;0.2574;0.9926;0.8461;0.0039;0.3035;0.3837;0.7103;40.0;80.0;70.0;80.0;80.0
14;R2 165m Cliveden Place;14:15:04;36.0;38.0;54.0;2;0.0;44.15;53.9;32.5;81.7;0.7135;0.3973;0.9299;0.9288;0.2887;0.7616;0.2663;40.0;25.0;75.0;85.0;85.0
15;R3 283m Basil Street → Hans Road → Brompton Road;14:16:45;100.9;14.7;52.4;14;0.0;54.60;27.4;65.0;50.0;0.6459;0.7994;0.9244;0.6415;0.1746;0.5186;0.4579;60.0;70.0;70.0;40.0;40.0
16;R7 170m Astell Street → Burnsall Street → King's Road;14:20:04;128.0;8.8;50.4;9;0.0;43.92;54.5;35.0;73.3;0.6187;0.8153;0.4134;0.9445;0.6565;0.6774;0.8963;35.0;35.0;75.0;75.0;70.0
17;R1 215m Draycott Place;14:22:20;53.7;37.9;53.7;0;0.0;37.88;54.2;50.0;76.7;0.2515;0.4696;0.7349;0.6737;0.4703;0.7529;0.8648;40.0;60.0;60.0;70.0;100.0
18;R2 165m Cliveden Place;14:25:46;97.7;13.4;53.7;15;0.0;52.73;26.1;12.5;88.3;0.2539;0.2851;0.7084;0.7208;0.6093;0.3708;0.3263;15.0;10.0;85.0;80.0;100.0
19;R3 283m Basil Street → Hans Road → Brompton Road;14:29:10;95.0;13.6;49.9;10;0.0;45.15;31.4;0.0;100.0;0.6460;0.4612;0.2787;0.7158;0.4223;0.8232;0.8450;0.0;0.0;100.0;100.0;100.0
20;R7 170m Astell Street → Burnsall Street → King's Road;14:32:07;90.7;9.0;44.1;8;0.0;52.93;26.5;15.0;88.3;0.2566;0.4353;0.2603;0.7435;0.4171;0.7368;0.9044;15.0;15.0;65.0;100.0;100.0
21;R1 215m Draycott Place;14:32:51;43.7;25.8;53.5;0;0.0;38.68;63.6;0.0;100.0;0.6460;0.4610;0.2790;0.7160;0.4220;0.8230;0.8450;0.0;0.0;100.0;100.0;100.0
