round;route;endedAt;durationS;avgSpeedKmh;maxSpeedKmh;collisions;maxStuckS;energyKwh100km;avgEcoScore;taskLoad;acceptance;p0;p1;p2;p3;p4;p5;p6;tlxMental;tlxDistraction;accInformed;accPleasant;accGlance
1;R1 215m Draycott Place;17:26:14;171.6;9.5;38.4;4;0.0;39.32;62.8;62.5;48.3;0.1887;0.3867;0.3249;0.0483;0.5271;0.8170;0.8808;75.0;50.0;35.0;75.0;35.0
2;R2 165m Cliveden Place;17:27:51;97.5;16.0;44.9;1;0.0;42.18;56.0;37.5;68.3;0.6599;0.9990;0.5756;0.1012;0.3430;0.2346;0.3320;25.0;50.0;75.0;80.0;50.0
3;R3 283m Basil Street → Hans Road → Brompton Road;17:29:38;106.3;18.4;35.0;0;0.0;20.72;57.6;50.0;65.0;0.8769;0.1017;0.9092;0.5527;0.7815;0.3793;0.4254;40.0;60.0;60.0;75.0;60.0
4;R7 170m Astell Street → Burnsall Street → King's Road;17:31:36;118.5;15.1;34.3;5;0.0;36.64;49.0;42.5;68.3;0.1787;0.1892;0.8871;0.3170;0.7108;0.3541;0.0447;40.0;45.0;65.0;75.0;65.0
5;R1 215m Draycott Place;17:33:26;109.9;17.1;34.4;2;0.0;22.60;57.0;60.0;53.3;0.1431;0.9722;0.2503;0.5018;0.9972;0.4110;0.1359;60.0;60.0;65.0;50.0;45.0
6;R2 165m Cliveden Place;17:34:50;83.5;19.1;33.1;1;0.0;22.50;77.5;52.5;60.0;0.9270;0.5118;0.8084;0.7451;0.1020;0.5859;0.8775;50.0;55.0;65.0;60.0;55.0
7;R3 283m Basil Street → Hans Road → Brompton Road;17:36:13;83.8;22.5;42.1;4;0.0;34.95;54.4;50.0;65.0;0.4822;0.2343;0.4085;0.4319;0.6880;0.9928;0.4595;60.0;40.0;65.0;70.0;60.0
8;R7 170m Astell Street → Burnsall Street → King's Road;17:38:05;111.6;10.8;29.5;5;0.0;24.33;45.3;42.5;70.0;0.5882;0.5740;0.1636;0.9810;0.3510;0.4371;0.7498;40.0;45.0;70.0;75.0;65.0
9;R1 215m Draycott Place;17:39:03;57.4;32.6;45.2;0;0.0;36.27;73.8;30.0;70.0;0.5030;0.1362;0.1792;0.9717;0.1037;0.4013;0.0407;30.0;30.0;75.0;70.0;65.0
10;R2 165m Cliveden Place;17:40:06;62.9;18.5;39.2;0;0.0;26.68;72.5;27.5;78.3;0.6595;0.0310;0.0391;0.2874;0.2896;0.5015;0.3815;25.0;30.0;80.0;80.0;75.0
11;R3 283m Basil Street → Hans Road → Brompton Road;17:41:33;87.4;15.9;49.2;1;0.0;30.69;49.0;32.5;75.0;0.6007;0.2875;0.7900;0.1444;0.6427;0.4938;0.7739;35.0;30.0;75.0;80.0;70.0
12;R7 170m Astell Street → Burnsall Street → King's Road;17:42:41;67.6;15.9;32.1;0;0.0;22.65;47.7;25.0;83.3;0.0008;0.1614;0.4855;0.5910;0.4213;0.8252;0.0213;25.0;25.0;80.0;85.0;85.0
13;R1 215m Draycott Place;17:43:35;53.8;38.9;53.7;5;0.0;37.60;63.1;30.0;78.3;0.1701;0.9379;0.9135;0.2713;0.2191;0.8256;0.4211;25.0;35.0;75.0;75.0;85.0
14;R2 165m Cliveden Place;17:45:13;98.3;24.3;37.2;0;0.0;27.19;80.2;27.5;81.7;0.7689;0.0244;0.8065;0.1512;0.3158;0.9152;0.1123;25.0;30.0;80.0;80.0;85.0
15;R3 283m Basil Street → Hans Road → Brompton Road;17:47:10;116.8;11.8;48.5;9;0.0;27.51;49.0;35.0;80.0;0.3586;0.4276;0.2778;0.3674;0.8456;0.9284;0.4692;35.0;35.0;80.0;80.0;80.0
16;R7 170m Astell Street → Burnsall Street → King's Road;17:49:02;81.1;11.1;24.4;2;0.0;16.23;37.3;25.0;78.3;0.0955;0.1150;0.5785;0.4824;0.3212;0.7789;0.0859;25.0;25.0;80.0;75.0;80.0
17;R1 215m Draycott Place;17:50:36;56.6;22.4;42.2;0;0.0;25.31;57.0;20.0;71.7;0.0000;0.0663;0.4587;0.3940;0.3198;0.9335;0.0040;20.0;20.0;80.0;80.0;55.0
18;R2 165m Cliveden Place;17:52:42;67.4;34.5;50.0;1;0.0;38.81;64.4;0.0;63.3;0.0000;0.0444;0.2113;0.7583;0.3349;0.8199;0.1214;0.0;0.0;80.0;50.0;60.0
19;R3 283m Basil Street → Hans Road → Brompton Road;17:55:19;78.5;20.5;40.2;4;0.0;25.05;51.0;2.5;61.7;0.5903;0.0268;0.0662;0.8723;0.3093;0.8950;0.0718;5.0;0.0;80.0;65.0;40.0
20;R7 170m Astell Street → Burnsall Street → King's Road;17:57:56;62.4;18.2;27.4;3;0.0;16.82;61.2;65.0;60.0;0.0000;0.0074;0.4842;0.8541;0.3942;0.7699;0.0000;60.0;70.0;60.0;50.0;70.0
21;R1 215m Draycott Place;17:58:44;47.9;27.7;42.4;0;0.0;27.66;83.3;52.5;68.3;0.0010;0.1610;0.4850;0.5910;0.4210;0.8250;0.0210;60.0;45.0;65.0;55.0;85.0
