participant,round,size_leaf_norm,size_score_norm,size_feedback_norm,size_speed_norm,size_accel_norm,size_labels_norm,opacity_norm,size_leaf_phys,size_score_phys,size_feedback_phys,size_speed_phys,size_accel_phys,size_labels_phys,opacity_phys,visible_leaf,visible_score,visible_feedback,visible_accel,visible_labels,speed_alpha
P08,1,0.9359,0.0701,0.5121,0.5844,0.9749,0.7404,0.444,1.2167,0.0911,0.6657,1.0091,1.2674,0.9625,0.4996,True,False,True,True,True,0.4996
P08,2,0.0446,0.3141,0.7303,0.8089,0.5435,0.9062,0.2382,0.058,0.4083,0.9494,1.1662,0.7066,1.1781,0.3144,False,False,True,True,True,0.4
P08,3,0.2654,0.9586,0.8289,0.1946,0.0053,0.9317,0.0698,0.345,1.2462,1.0776,0.7362,0.0069,1.2112,0.1628,False,True,True,False,True,0.4
P08,4,0.6072,0.1916,0.0326,0.1145,0.7317,0.7237,0.7288,0.7894,0.2491,0.0424,0.6802,0.9512,0.9408,0.7559,True,False,False,True,True,0.7559
P08,5,0.0993,0.8389,0.9253,0.9264,0.0103,0.6609,0.6081,0.1291,1.0906,1.2029,1.2485,0.0134,0.8592,0.6473,False,True,True,False,True,0.6473
P08,6,0.8744,0.7559,0.9736,0.3489,0.5033,0.6227,0.5112,1.1367,0.9827,1.2657,0.8442,0.6543,0.8095,0.5601,True,True,True,True,True,0.5601
P08,7,0.6056,0.7017,0.7398,0.4723,0.415,0.8354,0.6946,0.7873,0.9122,0.9617,0.9306,0.5395,1.086,0.7251,True,True,True,False,True,0.7251
P08,8,0.4259,0.4517,0.4597,0.006,0.0451,0.0778,0.732,0.5537,0.5872,0.5976,0.6042,0.0586,0.1011,0.7588,False,False,False,False,False,0.7588
P08,9,0.0776,0.3664,0.0864,0.0701,0.4737,0.1345,0.3395,0.1009,0.4763,0.1123,0.6491,0.6158,0.1749,0.4056,False,False,False,True,False,0.4056
P08,10,0.2304,0.7087,0.0454,0.4615,0.091,0.3417,0.2446,0.2995,0.9213,0.059,0.9231,0.1183,0.4442,0.3201,False,True,False,False,False,0.4
P08,11,0.4208,0.5356,0.9367,0.1724,0.2408,0.422,0.9565,0.547,0.6963,1.2177,0.7207,0.313,0.5486,0.9608,False,True,True,False,False,0.9608
P08,12,0.8411,0.5979,0.5912,0.8997,0.7695,0.191,0.1495,1.0934,0.7773,0.7686,1.2298,1.0004,0.2483,0.2346,True,True,True,True,False,0.4
P08,13,0.3133,0.0399,0.3669,0.0074,0.254,0.8258,0.8676,0.4073,0.0519,0.477,0.6052,0.3302,1.0735,0.8808,False,False,False,False,True,0.8808
P08,14,0.0554,0.5323,0.1863,0.6348,0.888,0.3266,0.2848,0.072,0.692,0.2422,1.0444,1.1544,0.4246,0.3563,False,True,False,True,False,0.4
P08,15,0.6934,0.6063,0.5993,0.1318,0.6684,0.3984,0.3614,0.9014,0.7882,0.7791,0.6923,0.8689,0.5179,0.4253,True,True,True,True,False,0.4253
P08,16,0.9619,0.9733,0.5538,0.1653,0.7182,0.7253,0.171,1.2505,1.2653,0.7199,0.7157,0.9337,0.9429,0.2539,True,True,True,True,True,0.4
P08,17,0.9788,0.701,0.9249,0.899,1.0,0.3314,0.1859,1.2724,0.9113,1.2024,1.2293,1.3,0.4308,0.2673,True,True,True,True,False,0.4
P08,18,1.0,0.4109,0.4786,0.1817,0.9347,0.8422,0.5346,1.3,0.5342,0.6222,0.7272,1.2151,1.0949,0.5811,True,False,True,True,True,0.5811
P08,19,0.8993,0.5306,0.9343,1.0,0.4247,0.3407,0.2942,1.1691,0.6898,1.2146,1.3,0.5521,0.4429,0.3648,True,True,True,False,False,0.4
P08,20,0.8999,0.7277,0.9875,0.996,0.6808,0.2964,0.4511,1.1699,0.946,1.2838,1.2972,0.885,0.3853,0.506,True,True,True,True,False,0.506
P08,21,0.607,0.192,0.033,0.115,0.732,0.724,0.729,0.7891,0.2496,0.0429,0.6805,0.9516,0.9412,0.7561,True,False,False,True,True,0.7561
