round;route;endedAt;durationS;avgSpeedKmh;maxSpeedKmh;collisions;maxStuckS;energyKwh100km;avgEcoScore;taskLoad;acceptance;p0;p1;p2;p3;p4;p5;p6;tlxMental;tlxDistraction;accInformed;accPleasant;accGlance
1;R1 215m Draycott Place;13:34:22;181.1;5.8;38.0;4;0.0;21.99;47.6;32.5;48.3;0.9359;0.0701;0.5121;0.5844;0.9749;0.7404;0.4440;30.0;35.0;60.0;55.0;30.0
2;R2 165m Cliveden Place;13:35:20;57.7;16.3;39.1;0;0.0;29.12;60.0;40.0;45.0;0.0446;0.3141;0.7303;0.8089;0.5435;0.9062;0.2382;40.0;40.0;55.0;45.0;35.0
3;R3 283m Basil Street → Hans Road → Brompton Road;13:37:00;99.8;13.8;34.7;0;0.0;22.00;40.7;40.0;55.0;0.2654;0.9586;0.8289;0.1946;0.0053;0.9317;0.0698;40.0;40.0;55.0;45.0;65.0
4;R7 170m Astell Street → Burnsall Street → King's Road;13:39:13;132.5;6.8;28.5;6;0.0;19.44;41.6;37.5;60.0;0.6072;0.1916;0.0326;0.1145;0.7317;0.7237;0.7288;40.0;35.0;65.0;55.0;60.0
5;R1 215m Draycott Place;13:40:30;76.9;15.7;51.5;0;0.0;33.52;42.3;55.0;61.7;0.0993;0.8389;0.9253;0.9264;0.0103;0.6609;0.6081;45.0;65.0;65.0;60.0;60.0
6;R2 165m Cliveden Place;13:41:07;37.1;24.5;53.5;0;0.0;54.88;41.2;30.0;56.7;0.8744;0.7559;0.9736;0.3489;0.5033;0.6227;0.5112;30.0;30.0;45.0;60.0;65.0
7;R3 283m Basil Street → Hans Road → Brompton Road;13:42:13;66.0;21.7;53.3;10;0.0;47.46;35.7;37.5;45.0;0.6056;0.7017;0.7398;0.4723;0.4150;0.8354;0.6946;35.0;40.0;30.0;45.0;60.0
8;R7 170m Astell Street → Burnsall Street → King's Road;13:43:44;91.1;9.1;40.4;9;0.0;49.11;27.1;52.5;56.7;0.4259;0.4517;0.4597;0.0060;0.0451;0.0778;0.7320;30.0;75.0;65.0;40.0;65.0
9;R1 215m Draycott Place;13:44:23;38.9;37.1;51.5;0;0.0;36.51;62.6;35.0;53.3;0.0776;0.3664;0.0864;0.0701;0.4737;0.1345;0.3395;30.0;40.0;55.0;45.0;60.0
10;R2 165m Cliveden Place;13:44:51;28.3;40.0;54.4;0;0.0;43.63;53.8;62.5;51.7;0.2304;0.7087;0.0454;0.4615;0.0910;0.3417;0.2446;70.0;55.0;60.0;35.0;60.0
11;R3 283m Basil Street → Hans Road → Brompton Road;13:46:00;68.5;20.1;52.2;2;0.0;41.69;34.6;67.5;40.0;0.4208;0.5356;0.9367;0.1724;0.2408;0.4220;0.9565;60.0;75.0;45.0;45.0;30.0
12;R7 170m Astell Street → Burnsall Street → King's Road;13:47:10;69.9;11.3;37.7;8;0.0;44.97;29.7;37.5;63.3;0.8411;0.5979;0.5912;0.8997;0.7695;0.1910;0.1495;35.0;40.0;60.0;65.0;65.0
13;R1 215m Draycott Place;13:47:50;39.8;41.1;53.6;0;0.0;37.96;57.8;40.0;60.0;0.3133;0.0399;0.3669;0.0074;0.2540;0.8258;0.8676;40.0;40.0;65.0;60.0;55.0
14;R2 165m Cliveden Place;13:48:19;29.3;39.8;54.1;0;0.0;44.91;57.5;57.5;46.7;0.0554;0.5323;0.1863;0.6348;0.8880;0.3266;0.2848;55.0;60.0;45.0;35.0;60.0
15;R3 283m Basil Street → Hans Road → Brompton Road;13:49:04;45.0;32.2;53.0;5;0.0;36.33;54.2;40.0;48.3;0.6934;0.6063;0.5993;0.1318;0.6684;0.3984;0.3614;40.0;40.0;70.0;45.0;30.0
16;R7 170m Astell Street → Burnsall Street → King's Road;13:52:35;89.1;9.8;41.8;12;0.0;52.32;27.4;70.0;56.7;0.9619;0.9733;0.5538;0.1653;0.7182;0.7253;0.1710;65.0;75.0;55.0;60.0;55.0
17;R1 215m Draycott Place;13:55:20;42.2;37.2;53.5;0;0.0;35.23;43.7;32.5;63.3;0.9788;0.7010;0.9249;0.8990;1.0000;0.3314;0.1859;35.0;30.0;65.0;60.0;65.0
18;R2 165m Cliveden Place;13:57:55;59.1;15.2;52.7;1;0.0;43.04;81.9;47.5;53.3;1.0000;0.4109;0.4786;0.1817;0.9347;0.8422;0.5346;35.0;60.0;65.0;35.0;60.0
19;R3 283m Basil Street → Hans Road → Brompton Road;14:00:50;62.2;21.7;52.7;2;0.0;38.11;35.1;62.5;55.0;0.8993;0.5306;0.9343;1.0000;0.4247;0.3407;0.2942;65.0;60.0;65.0;35.0;65.0
20;R7 170m Astell Street → Burnsall Street → King's Road;14:03:56;59.3;14.0;36.1;10;0.0;36.73;38.2;72.5;55.0;0.8999;0.7277;0.9875;0.9960;0.6808;0.2964;0.4511;65.0;80.0;65.0;30.0;70.0
21;R1 215m Draycott Place;14:04:31;34.7;39.5;53.6;1;0.0;39.05;59.9;72.5;56.7;0.6070;0.1920;0.0330;0.1150;0.7320;0.7240;0.7290;75.0;70.0;70.0;35.0;65.0
