round;route;endedAt;durationS;avgSpeedKmh;maxSpeedKmh;collisions;maxStuckS;energyKwh100km;avgEcoScore;taskLoad;acceptance;p0;p1;p2;p3;p4;p5;p6;tlxMental;tlxDistraction;accInformed;accPleasant;accGlance
1;R1 215m Draycott Place;09:45:05;133.8;21.5;43.5;0;0.0;29.01;40.9;65.0;60.0;0.7350;0.8851;0.4646;0.3018;0.1361;0.7462;0.0450;60.0;70.0;65.0;45.0;70.0
2;R2 165m Cliveden Place;09:46:05;60.7;16.7;31.7;0;0.0;26.08;46.0;52.5;66.7;0.1207;0.3389;0.8313;0.7390;0.1533;0.1792;0.9241;65.0;40.0;70.0;55.0;75.0
3;R3 283m Basil Street → Hans Road → Brompton Road;09:47:19;73.4;18.2;33.0;1;0.0;20.74;48.9;57.5;41.7;0.8893;0.3667;0.0968;0.4192;0.7485;0.1724;0.2132;75.0;40.0;40.0;50.0;35.0
4;R7 170m Astell Street → Burnsall Street → King's Road;09:48:30;70.7;12.3;33.0;0;0.0;25.89;36.7;52.5;43.3;0.9090;0.2091;0.1647;0.8146;0.9392;0.8856;0.8118;65.0;40.0;45.0;45.0;40.0
5;R1 215m Draycott Place;09:49:14;44.1;24.8;38.0;0;0.0;26.50;64.3;37.5;68.3;0.5141;0.7034;0.4594;0.4707;0.0614;0.9802;0.4433;35.0;40.0;65.0;65.0;75.0
6;R2 165m Cliveden Place;09:50:21;67.6;23.8;33.7;0;0.0;23.95;63.0;45.0;65.0;0.5271;0.0514;0.8749;0.0825;0.6825;0.8378;0.5878;40.0;50.0;65.0;60.0;70.0
7;R3 283m Basil Street → Hans Road → Brompton Road;09:51:42;80.1;16.3;42.8;0;0.0;26.51;46.9;55.0;70.0;0.0593;0.4500;0.8431;0.5023;0.6052;0.6947;0.4178;50.0;60.0;65.0;70.0;75.0
8;R7 170m Astell Street → Burnsall Street → King's Road;09:53:06;84.0;9.2;38.2;1;0.0;31.26;25.2;52.5;46.7;0.7213;0.3664;0.5209;0.4302;0.6868;0.3533;0.5659;50.0;55.0;55.0;45.0;40.0
9;R1 215m Draycott Place;09:54:05;59.6;23.9;35.3;1;0.0;23.51;57.5;47.5;56.7;0.9189;0.2105;0.8719;0.8475;0.2263;0.8995;0.4135;45.0;50.0;55.0;55.0;60.0
10;R2 165m Cliveden Place;09:55:20;74.6;30.3;36.6;1;0.0;26.68;69.7;37.5;68.3;0.5255;0.9057;0.3107;0.2848;0.2255;0.8437;0.1875;35.0;40.0;70.0;60.0;75.0
11;R3 283m Basil Street → Hans Road → Brompton Road;09:56:23;62.7;20.3;51.5;2;0.0;21.17;52.0;40.0;40.0;0.3095;0.4603;0.1675;0.7795;0.9706;0.4873;0.7540;40.0;40.0;25.0;50.0;45.0
12;R7 170m Astell Street → Burnsall Street → King's Road;09:57:56;93.6;9.2;48.1;2;0.0;38.56;27.9;50.0;45.0;0.0244;0.1676;0.7580;0.6667;0.0886;0.9354;0.7997;55.0;45.0;55.0;40.0;40.0
13;R1 215m Draycott Place;09:58:57;60.2;22.0;35.1;0;0.0;21.28;54.3;57.5;58.3;0.2342;0.5929;0.4756;0.8442;0.6938;0.9292;0.4514;50.0;65.0;70.0;55.0;50.0
14;R2 165m Cliveden Place;10:00:01;64.3;13.3;30.3;0;0.0;23.14;38.3;40.0;73.3;0.7657;0.9558;0.4381;0.9083;0.4265;0.5259;0.2957;40.0;40.0;70.0;80.0;70.0
15;R3 283m Basil Street → Hans Road → Brompton Road;10:01:29;87.8;14.6;33.2;2;0.0;21.61;40.6;65.0;51.7;0.9115;0.3750;0.7444;0.1354;0.9211;0.4506;0.0566;60.0;70.0;60.0;45.0;50.0
16;R7 170m Astell Street → Burnsall Street → King's Road;10:04:48;111.0;6.6;31.2;0;0.0;21.05;58.6;40.0;41.7;0.4440;0.8809;0.2829;0.6499;0.2016;0.6227;0.3185;40.0;40.0;55.0;30.0;40.0
17;R1 215m Draycott Place;10:07:31;54.5;21.2;33.6;0;0.0;22.11;59.2;35.0;73.3;0.5582;0.9055;0.4434;0.3935;0.4272;0.9489;0.3124;35.0;35.0;65.0;80.0;75.0
18;R2 165m Cliveden Place;10:10:01;33.4;28.7;35.6;0;0.0;25.01;70.6;67.5;50.0;0.5328;0.8956;1.0000;0.4594;0.4949;0.9278;0.2989;80.0;55.0;65.0;45.0;40.0
19;R3 283m Basil Street → Hans Road → Brompton Road;10:13:13;74.1;16.1;35.8;0;0.0;20.44;39.2;35.0;75.0;0.5521;0.7681;0.3310;0.3862;0.4359;0.9728;0.3310;35.0;35.0;70.0;75.0;80.0
20;R7 170m Astell Street → Burnsall Street → King's Road;10:14:59;57.3;13.4;36.6;1;0.0;27.72;32.1;55.0;51.7;0.5556;0.4276;0.3718;0.3505;0.3589;0.9209;0.3128;65.0;45.0;40.0;65.0;50.0
21;R1 215m Draycott Place;10:15:43;44.7;23.9;31.2;1;0.0;18.68;70.7;35.0;76.7;0.5520;0.7680;0.3310;0.3860;0.4360;0.9730;0.3310;35.0;35.0;75.0;80.0;75.0
