participant,round,size_leaf_norm,size_score_norm,size_feedback_norm,size_speed_norm,size_accel_norm,size_labels_norm,opacity_norm,size_leaf_phys,size_score_phys,size_feedback_phys,size_speed_phys,size_accel_phys,size_labels_phys,opacity_phys,visible_leaf,visible_score,visible_feedback,visible_accel,visible_labels,speed_alpha
P16,1,0.735,0.8851,0.4646,0.3018,0.1361,0.7462,0.045,0.9555,1.1506,0.604,0.8113,0.1769,0.9701,0.1405,True,True,True,False,True,0.4
P16,2,0.1207,0.3389,0.8313,0.739,0.1533,0.1792,0.9241,0.1569,0.4406,1.0807,1.1173,0.1993,0.233,0.9317,False,False,True,False,False,0.9317
P16,3,0.8893,0.3667,0.0968,0.4192,0.7485,0.1724,0.2132,1.1561,0.4767,0.1258,0.8934,0.9731,0.2241,0.2919,True,False,False,True,False,0.4
P16,4,0.909,0.2091,0.1647,0.8146,0.9392,0.8856,0.8118,1.1817,0.2718,0.2141,1.1702,1.221,1.1513,0.8306,True,False,False,True,True,0.8306
P16,5,0.5141,0.7034,0.4594,0.4707,0.0614,0.9802,0.4433,0.6683,0.9144,0.5972,0.9295,0.0798,1.2743,0.499,True,True,False,False,True,0.499
P16,6,0.5271,0.0514,0.8749,0.0825,0.6825,0.8378,0.5878,0.6852,0.0668,1.1374,0.6577,0.8872,1.0891,0.629,True,False,True,True,True,0.629
P16,7,0.0593,0.45,0.8431,0.5023,0.6052,0.6947,0.4178,0.0771,0.585,1.096,0.9516,0.7868,0.9031,0.476,False,False,True,True,True,0.476
P16,8,0.7213,0.3664,0.5209,0.4302,0.6868,0.3533,0.5659,0.9377,0.4763,0.6772,0.9011,0.8928,0.4593,0.6093,True,False,True,True,False,0.6093
P16,9,0.9189,0.2105,0.8719,0.8475,0.2263,0.8995,0.4135,1.1946,0.2737,1.1335,1.1932,0.2942,1.1693,0.4721,True,False,True,False,True,0.4721
P16,10,0.5255,0.9057,0.3107,0.2848,0.2255,0.8437,0.1875,0.6832,1.1774,0.4039,0.7994,0.2932,1.0968,0.2688,True,True,False,False,True,0.4
P16,11,0.3095,0.4603,0.1675,0.7795,0.9706,0.4873,0.754,0.4023,0.5984,0.2178,1.1457,1.2618,0.6335,0.7786,False,False,False,True,True,0.7786
P16,12,0.0244,0.1676,0.758,0.6667,0.0886,0.9354,0.7997,0.0317,0.2179,0.9854,1.0667,0.1152,1.216,0.8197,False,False,True,False,True,0.8197
P16,13,0.2342,0.5929,0.4756,0.8442,0.6938,0.9292,0.4514,0.3045,0.7708,0.6183,1.1909,0.9019,1.208,0.5063,False,True,True,True,True,0.5063
P16,14,0.7657,0.9558,0.4381,0.9083,0.4265,0.5259,0.2957,0.9954,1.2425,0.5695,1.2358,0.5544,0.6837,0.3661,True,True,False,False,True,0.4
P16,15,0.9115,0.375,0.7444,0.1354,0.9211,0.4506,0.0566,1.1849,0.4875,0.9677,0.6948,1.1974,0.5858,0.1509,True,False,True,True,False,0.4
P16,16,0.444,0.8809,0.2829,0.6499,0.2016,0.6227,0.3185,0.5772,1.1452,0.3678,1.0549,0.2621,0.8095,0.3867,False,True,False,False,True,0.4
P16,17,0.5582,0.9055,0.4434,0.3935,0.4272,0.9489,0.3124,0.7257,1.1771,0.5764,0.8755,0.5554,1.2336,0.3812,True,True,False,False,True,0.4
P16,18,0.5328,0.8956,1.0,0.4594,0.4949,0.9278,0.2989,0.6926,1.1643,1.3,0.9216,0.6434,1.2061,0.369,True,True,True,True,True,0.4
P16,19,0.5521,0.7681,0.331,0.3862,0.4359,0.9728,0.331,0.7177,0.9985,0.4303,0.8703,0.5667,1.2646,0.3979,True,True,False,False,True,0.4
P16,20,0.5556,0.4276,0.3718,0.3505,0.3589,0.9209,0.3128,0.7223,0.5559,0.4833,0.8454,0.4666,1.1972,0.3815,True,False,False,False,True,0.4
P16,21,0.552,0.768,0.331,0.386,0.436,0.973,0.331,0.7176,0.9984,0.4303,0.8702,0.5668,1.2649,0.3979,True,True,False,False,True,0.4
