UserID;ConditionID;GroupID;Timestamp;Iteration;Phase;IsPareto;energy;taskload;accInformed;accPleasant;accGlance;size_leaf;size_score;size_feedback;size_speed;size_accel;size_labels;opacity
10;v1;Study;2026-08-24 20:45:34;1;sampling;TRUE;32.208;15.0;90.0;90.0;90.0;0.58;0.571;0.548;0.748;0.464;0.205;0.093
10;v1;Study;2026-08-24 20:46:01;2;sampling;FALSE;43.694;17.5;75.0;75.0;75.0;0.674;0.999;0.727;0.601;0.982;0.006;0.353
10;v1;Study;2026-08-24 20:46:43;3;sampling;FALSE;40.016;25.0;45.0;30.0;50.0;0.32;0.896;0.386;0.475;0.269;0.105;1.0
10;v1;Study;2026-08-24 20:47:15;4;sampling;FALSE;47.621;32.5;65.0;65.0;40.0;0.879;0.572;0.467;0.005;0.4;0.44;0.419
10;v1;Study;2026-08-24 20:47:46;5;sampling;FALSE;34.265;35.0;65.0;55.0;70.0;0.581;0.909;0.675;0.32;0.423;0.392;0.934
10;v1;Study;2026-08-24 20:48:21;6;sampling;FALSE;44.423;30.0;70.0;65.0;60.0;0.027;0.233;0.505;0.9;0.717;0.617;0.514
10;v1;Study;2026-08-24 20:49:16;7;sampling;FALSE;32.543;42.5;90.0;70.0;60.0;0.719;0.911;0.835;0.532;0.105;0.541;0.353
10;v1;Study;2026-08-24 20:49:47;8;sampling;FALSE;45.242;22.5;55.0;60.0;60.0;0.433;0.357;0.827;0.975;0.253;0.194;0.673
10;v1;Study;2026-08-24 20:50:27;9;sampling;FALSE;44.289;30.0;65.0;55.0;55.0;0.976;0.784;0.794;0.109;0.921;0.132;0.542
10;v1;Study;2026-08-24 20:50:56;10;sampling;FALSE;48.287;60.0;75.0;60.0;65.0;0.545;0.835;0.191;0.262;0.503;0.939;0.78
10;v1;Study;2026-08-24 20:51:57;11;sampling;FALSE;37.567;70.0;30.0;40.0;20.0;0.081;0.487;0.294;0.76;0.225;0.39;0.253
10;v1;Study;2026-08-24 20:52:38;12;sampling;FALSE;38.003;52.5;15.0;30.0;10.0;0.785;0.364;0.208;0.078;0.43;0.861;0.168
10;v1;Study;2026-08-24 20:53:08;13;sampling;FALSE;37.394;35.0;60.0;65.0;60.0;0.766;0.412;0.16;0.341;0.802;0.226;0.114
10;v1;Study;2026-08-24 20:53:43;14;sampling;FALSE;45.692;45.0;80.0;70.0;60.0;0.682;0.305;0.86;0.598;0.941;0.213;0.536
10;v1;Study;2026-08-24 20:54:39;15;sampling;FALSE;39.257;45.0;45.0;60.0;50.0;0.515;0.841;0.842;0.087;0.349;0.679;0.872
10;v1;Study;2026-08-24 20:55:34;16;optimization;FALSE;49.121;20.0;55.0;75.0;75.0;0.647;0.733;0.687;0.738;0.438;0.161;0.14
10;v1;Study;2026-08-24 20:57:41;17;optimization;FALSE;38.41;22.5;60.0;80.0;80.0;0.561;0.747;0.488;0.774;0.535;0.206;0.143
10;v1;Study;2026-08-24 20:58:51;18;optimization;FALSE;45.617;20.0;55.0;85.0;75.0;0.55;0.515;0.545;0.629;0.428;0.181;0.0
10;v1;Study;2026-08-24 21:01:31;19;optimization;FALSE;40.958;10.0;70.0;90.0;90.0;0.58;0.529;0.647;0.826;0.581;0.218;0.078
10;v1;Study;2026-08-24 21:02:29;20;optimization;TRUE;37.394;10.0;75.0;95.0;95.0;0.599;0.572;0.688;0.953;0.547;0.163;0.304
10;v1;Study;2026-08-24 21:02:59;21;finaldesign;NULL;37.98;5;80;100;95;0.58;0.571;0.548;0.748;0.464;0.205;0.093
