UserID;ConditionID;GroupID;Timestamp;Iteration;Phase;IsPareto;energy;taskload;accInformed;accPleasant;accGlance;size_leaf;size_score;size_feedback;size_speed;size_accel;size_labels;opacity
5;v1;Study;2026-08-21 17:06:09;1;sampling;TRUE;27.576;22.5;70.0;75.0;80.0;0.231;0.909;0.803;0.73;0.417;0.314;0.647
5;v1;Study;2026-08-21 17:07:07;2;sampling;FALSE;45.74;50.0;20.0;25.0;75.0;0.657;0.361;0.443;0.805;0.263;0.348;0.151
5;v1;Study;2026-08-21 17:08:25;3;sampling;TRUE;26.5;25.0;80.0;80.0;65.0;0.824;0.026;0.801;0.274;0.938;0.436;0.87
5;v1;Study;2026-08-21 17:09:29;4;sampling;FALSE;35.66;35.0;30.0;30.0;30.0;0.846;0.687;0.765;0.421;0.789;0.475;0.4
5;v1;Study;2026-08-21 17:12:11;5;sampling;FALSE;27.707;47.5;80.0;65.0;35.0;0.649;0.58;0.74;0.822;0.594;0.843;0.743
5;v1;Study;2026-08-21 17:12:45;6;sampling;TRUE;26.619;25.0;75.0;80.0;80.0;0.162;0.809;0.358;0.595;0.943;0.371;0.625
5;v1;Study;2026-08-21 17:13:57;7;sampling;FALSE;30.492;77.5;65.0;35.0;20.0;0.779;0.691;0.177;0.997;0.487;0.44;0.15
5;v1;Study;2026-08-21 17:14:40;8;sampling;FALSE;26.632;25.0;70.0;80.0;80.0;0.576;0.306;0.386;0.266;0.144;0.987;0.837
5;v1;Study;2026-08-21 17:17:03;9;sampling;TRUE;26.349;55.0;70.0;90.0;70.0;0.665;0.145;0.979;0.34;0.481;0.12;0.635
5;v1;Study;2026-08-21 17:17:49;10;sampling;TRUE;35.457;15.0;90.0;90.0;90.0;0.554;0.143;0.921;0.528;0.551;0.867;0.713
5;v1;Study;2026-08-21 17:19:21;11;sampling;FALSE;33.286;67.5;30.0;50.0;35.0;0.462;0.87;0.683;0.276;0.447;0.459;0.779
5;v1;Study;2026-08-21 17:21:18;12;sampling;FALSE;38.044;40.0;65.0;65.0;65.0;0.845;0.65;0.313;0.918;0.849;0.973;0.262
5;v1;Study;2026-08-21 17:22:07;13;sampling;FALSE;36.201;30.0;75.0;65.0;75.0;0.085;0.077;0.63;0.714;0.149;0.176;0.095
5;v1;Study;2026-08-21 17:22:47;14;sampling;FALSE;34.827;70.0;30.0;35.0;30.0;0.892;0.773;0.964;0.152;0.699;0.118;0.357
5;v1;Study;2026-08-21 17:23:55;15;sampling;TRUE;29.821;17.5;40.0;65.0;75.0;0.295;0.185;0.272;0.391;0.492;0.299;0.819
5;v1;Study;2026-08-21 17:31:12;16;optimization;FALSE;47.8;27.5;75.0;80.0;80.0;0.629;0.051;0.582;0.424;0.673;0.709;0.751
5;v1;Study;2026-08-21 17:33:22;17;optimization;TRUE;25.0;52.5;70.0;40.0;35.0;0.663;0.175;1.0;0.485;0.337;1.0;0.828
5;v1;Study;2026-08-21 17:35:28;18;optimization;FALSE;33.686;67.5;65.0;55.0;30.0;0.566;0.048;0.82;0.577;0.574;0.627;0.664
5;v1;Study;2026-08-21 17:43:39;19;optimization;FALSE;44.709;40.0;80.0;80.0;75.0;0.537;0.221;0.659;0.527;0.954;0.893;0.798
5;v1;Study;2026-08-21 17:46:22;20;optimization;FALSE;61.112;22.5;85.0;85.0;85.0;0.522;0.039;1.0;0.527;0.453;0.88;0.609
5;v1;Study;2026-08-21 17:46:51;21;finaldesign;NULL;37.126;10;95;95;95;0.554;0.143;0.921;0.528;0.551;0.867;0.713
