UserID;ConditionID;GroupID;Timestamp;Iteration;Phase;IsPareto;energy;taskload;accInformed;accPleasant;accGlance;size_leaf;size_score;size_feedback;size_speed;size_accel;size_labels;opacity
3;v1;Study;2026-08-20 16:32:58;1;sampling;TRUE;37.374;50.0;90.0;90.0;85.0;0.338;0.998;0.991;0.384;0.643;0.844;0.265
3;v1;Study;2026-08-20 16:34:23;2;sampling;FALSE;51.805;47.5;60.0;50.0;40.0;0.468;0.4;0.137;0.031;0.87;0.5;0.74
3;v1;Study;2026-08-20 16:36:16;3;sampling;TRUE;34.808;30.0;80.0;90.0;25.0;0.956;0.026;0.475;0.297;0.443;0.608;0.123
3;v1;Study;2026-08-20 16:39:04;4;sampling;FALSE;44.046;40.0;65.0;70.0;60.0;0.833;0.616;0.433;0.138;0.114;0.732;0.902
3;v1;Study;2026-08-20 16:40:20;5;sampling;TRUE;37.901;10.0;95.0;90.0;100.0;0.792;0.294;0.343;0.25;0.232;0.806;0.526
3;v1;Study;2026-08-20 16:41:38;6;sampling;FALSE;58.426;47.5;90.0;65.0;90.0;0.37;0.25;0.997;0.765;0.087;0.179;0.851
3;v1;Study;2026-08-20 16:43:58;7;sampling;TRUE;39.222;25.0;90.0;95.0;90.0;0.819;0.08;0.623;0.832;0.869;0.923;0.979
3;v1;Study;2026-08-20 16:46:18;8;sampling;FALSE;38.45;32.5;70.0;60.0;55.0;0.491;0.087;0.916;0.25;0.073;0.511;0.817
3;v1;Study;2026-08-20 16:47:28;9;sampling;TRUE;43.845;55.0;100.0;70.0;45.0;0.871;0.701;0.284;0.719;0.544;0.259;0.619
3;v1;Study;2026-08-20 16:48:42;10;sampling;FALSE;46.413;50.0;80.0;65.0;45.0;0.573;0.935;0.355;0.41;0.64;0.787;0.956
3;v1;Study;2026-08-20 16:50:00;11;sampling;TRUE;36.503;52.5;85.0;60.0;45.0;0.617;0.791;0.468;0.373;0.265;0.126;0.543
3;v1;Study;2026-08-20 16:51:14;12;sampling;FALSE;51.499;42.5;75.0;60.0;45.0;0.104;0.583;0.862;0.322;0.92;0.012;0.731
3;v1;Study;2026-08-20 16:52:20;13;sampling;FALSE;36.19;32.5;45.0;45.0;35.0;0.167;0.65;0.292;0.536;0.993;0.55;0.037
3;v1;Study;2026-08-20 16:53:07;14;sampling;TRUE;34.893;27.5;60.0;55.0;45.0;0.858;0.812;0.434;0.463;0.424;0.801;0.266
3;v1;Study;2026-08-20 16:54:40;15;sampling;FALSE;38.208;52.5;75.0;60.0;45.0;0.979;0.658;0.619;0.823;0.348;0.466;0.383
3;v1;Study;2026-08-20 16:56:48;16;optimization;FALSE;44.216;17.5;55.0;55.0;85.0;0.883;0.274;0.281;0.483;0.082;0.904;0.554
3;v1;Study;2026-08-20 16:58:52;17;optimization;TRUE;32.546;57.5;55.0;45.0;35.0;0.419;0.328;0.196;0.255;0.268;0.784;0.315
3;v1;Study;2026-08-20 17:00:32;18;optimization;FALSE;42.033;32.5;80.0;70.0;65.0;0.795;0.211;0.395;0.738;0.707;0.87;0.435
3;v1;Study;2026-08-20 17:03:12;19;optimization;FALSE;42.073;12.5;80.0;85.0;85.0;0.775;0.247;0.399;0.183;0.103;0.86;0.452
3;v1;Study;2026-08-20 17:05:20;20;optimization;FALSE;48.667;15.0;90.0;90.0;90.0;0.841;0.127;0.457;0.252;0.453;0.847;0.53
3;v1;Study;2026-08-20 17:06:26;21;finaldesign;NULL;44.105;7.5;85;90;90;0.792;0.294;0.343;0.25;0.232;0.806;0.526
