UserID;ConditionID;GroupID;Timestamp;Iteration;Phase;IsPareto;energy;taskload;accInformed;accPleasant;accGlance;size_leaf;size_score;size_feedback;size_speed;size_accel;size_labels;opacity
15;v1;Study;2026-08-25 17:26:14;1;sampling;FALSE;39.323;62.5;35.0;75.0;35.0;0.189;0.387;0.325;0.048;0.527;0.817;0.881
15;v1;Study;2026-08-25 17:27:51;2;sampling;FALSE;42.176;37.5;75.0;80.0;50.0;0.66;0.999;0.576;0.101;0.343;0.235;0.332
15;v1;Study;2026-08-25 17:29:38;3;sampling;FALSE;20.723;50.0;60.0;75.0;60.0;0.877;0.102;0.909;0.553;0.781;0.379;0.425
15;v1;Study;2026-08-25 17:31:36;4;sampling;FALSE;36.644;42.5;65.0;75.0;65.0;0.179;0.189;0.887;0.317;0.711;0.354;0.045
15;v1;Study;2026-08-25 17:33:26;5;sampling;FALSE;22.602;60.0;65.0;50.0;45.0;0.143;0.972;0.25;0.502;0.997;0.411;0.136
15;v1;Study;2026-08-25 17:34:50;6;sampling;FALSE;22.505;52.5;65.0;60.0;55.0;0.927;0.512;0.808;0.745;0.102;0.586;0.878
15;v1;Study;2026-08-25 17:36:13;7;sampling;FALSE;34.95;50.0;65.0;70.0;60.0;0.482;0.234;0.408;0.432;0.688;0.993;0.459
15;v1;Study;2026-08-25 17:38:05;8;sampling;FALSE;24.332;42.5;70.0;75.0;65.0;0.588;0.574;0.164;0.981;0.351;0.437;0.75
15;v1;Study;2026-08-25 17:39:03;9;sampling;FALSE;36.269;30.0;75.0;70.0;65.0;0.503;0.136;0.179;0.972;0.104;0.401;0.041
15;v1;Study;2026-08-25 17:40:06;10;sampling;FALSE;26.683;27.5;80.0;80.0;75.0;0.66;0.031;0.039;0.287;0.29;0.501;0.382
15;v1;Study;2026-08-25 17:41:33;11;sampling;FALSE;30.695;32.5;75.0;80.0;70.0;0.601;0.287;0.79;0.144;0.643;0.494;0.774
15;v1;Study;2026-08-25 17:42:41;12;sampling;TRUE;22.65;25.0;80.0;85.0;85.0;0.001;0.161;0.485;0.591;0.421;0.825;0.021
15;v1;Study;2026-08-25 17:43:35;13;sampling;FALSE;37.598;30.0;75.0;75.0;85.0;0.17;0.938;0.914;0.271;0.219;0.826;0.421
15;v1;Study;2026-08-25 17:45:13;14;sampling;FALSE;27.188;27.5;80.0;80.0;85.0;0.769;0.024;0.807;0.151;0.316;0.915;0.112
15;v1;Study;2026-08-25 17:47:10;15;sampling;FALSE;27.506;35.0;80.0;80.0;80.0;0.359;0.428;0.278;0.367;0.846;0.928;0.469
15;v1;Study;2026-08-25 17:49:02;16;optimization;TRUE;16.232;25.0;80.0;75.0;80.0;0.096;0.115;0.579;0.482;0.321;0.779;0.086
15;v1;Study;2026-08-25 17:50:36;17;optimization;TRUE;25.308;20.0;80.0;80.0;55.0;0.0;0.066;0.459;0.394;0.32;0.934;0.004
15;v1;Study;2026-08-25 17:52:42;18;optimization;TRUE;38.814;0.0;80.0;50.0;60.0;0.0;0.044;0.211;0.758;0.335;0.82;0.121
15;v1;Study;2026-08-25 17:55:19;19;optimization;TRUE;25.051;2.5;80.0;65.0;40.0;0.59;0.027;0.066;0.872;0.309;0.895;0.072
15;v1;Study;2026-08-25 17:57:56;20;optimization;FALSE;16.822;65.0;60.0;50.0;70.0;0.0;0.007;0.484;0.854;0.394;0.77;0.0
15;v1;Study;2026-08-25 17:58:44;21;finaldesign;NULL;27.659;52.5;65;55;85;0.001;0.161;0.485;0.591;0.421;0.825;0.021
