round;route;endedAt;durationS;avgSpeedKmh;maxSpeedKmh;collisions;maxStuckS;energyKwh100km;avgEcoScore;taskLoad;acceptance;p0;p1;p2;p3;p4;p5;p6;tlxMental;tlxDistraction;accInformed;accPleasant;accGlance
1;R1 215m Draycott Place;20:45:34;34.4;35.8;53.8;0;0.0;32.21;62.4;15.0;90.0;0.5801;0.5708;0.5478;0.7482;0.4642;0.2052;0.0934;20.0;10.0;90.0;90.0;90.0
2;R2 165m Cliveden Place;20:46:01;26.6;42.2;54.2;0;0.0;43.69;54.7;17.5;75.0;0.6737;0.9988;0.7272;0.6006;0.9817;0.0063;0.3526;10.0;25.0;75.0;75.0;75.0
3;R3 283m Basil Street → Hans Road → Brompton Road;20:46:43;41.7;35.5;52.9;2;0.0;40.02;58.1;25.0;41.7;0.3196;0.8965;0.3863;0.4747;0.2693;0.1053;0.9996;25.0;25.0;45.0;30.0;50.0
4;R7 170m Astell Street → Burnsall Street → King's Road;20:47:15;32.0;33.1;48.3;0;0.0;47.62;57.8;32.5;56.7;0.8794;0.5715;0.4673;0.0051;0.4004;0.4396;0.4195;45.0;20.0;65.0;65.0;40.0
5;R1 215m Draycott Place;20:47:46;31.0;44.9;53.5;0;0.0;34.26;55.3;35.0;63.3;0.5811;0.9087;0.6749;0.3202;0.4231;0.3920;0.9336;35.0;35.0;65.0;55.0;70.0
6;R2 165m Cliveden Place;20:48:21;34.8;41.5;54.2;2;0.0;44.42;55.5;30.0;65.0;0.0268;0.2329;0.5053;0.9000;0.7170;0.6173;0.5144;30.0;30.0;70.0;65.0;60.0
7;R3 283m Basil Street → Hans Road → Brompton Road;20:49:16;54.6;24.0;53.1;5;0.0;32.54;38.1;42.5;73.3;0.7193;0.9106;0.8350;0.5324;0.1053;0.5415;0.3531;30.0;55.0;90.0;70.0;60.0
8;R7 170m Astell Street → Burnsall Street → King's Road;20:49:47;31.8;32.2;50.3;4;0.0;45.24;56.5;22.5;58.3;0.4335;0.3575;0.8267;0.9749;0.2534;0.1945;0.6731;25.0;20.0;55.0;60.0;60.0
9;R1 215m Draycott Place;20:50:27;39.1;31.2;47.3;0;0.0;44.29;56.2;30.0;58.3;0.9758;0.7845;0.7938;0.1086;0.9207;0.1321;0.5425;20.0;40.0;65.0;55.0;55.0
10;R2 165m Cliveden Place;20:50:56;29.7;33.4;50.3;1;0.0;48.29;56.8;60.0;66.7;0.5454;0.8347;0.1907;0.2619;0.5028;0.9393;0.7802;65.0;55.0;75.0;60.0;65.0
11;R3 283m Basil Street → Hans Road → Brompton Road;20:51:57;60.3;22.8;53.3;10;0.0;37.57;40.3;70.0;30.0;0.0814;0.4869;0.2937;0.7604;0.2246;0.3898;0.2528;70.0;70.0;30.0;40.0;20.0
12;R7 170m Astell Street → Burnsall Street → King's Road;20:52:38;40.8;21.0;49.9;8;0.0;38.00;50.9;52.5;18.3;0.7846;0.3642;0.2078;0.0780;0.4304;0.8611;0.1677;60.0;45.0;15.0;30.0;10.0
13;R1 215m Draycott Place;20:53:08;29.9;44.6;53.6;1;0.0;37.39;55.1;35.0;61.7;0.7659;0.4122;0.1600;0.3413;0.8020;0.2262;0.1142;35.0;35.0;60.0;65.0;60.0
14;R2 165m Cliveden Place;20:53:43;35.1;42.3;54.2;0;0.0;45.69;55.4;45.0;70.0;0.6817;0.3053;0.8598;0.5978;0.9408;0.2126;0.5356;40.0;50.0;80.0;70.0;60.0
15;R3 283m Basil Street → Hans Road → Brompton Road;20:54:39;56.0;24.4;53.3;7;0.0;39.26;42.5;45.0;51.7;0.5151;0.8406;0.8420;0.0866;0.3489;0.6793;0.8720;30.0;60.0;45.0;60.0;50.0
16;R7 170m Astell Street → Burnsall Street → King's Road;20:55:34;44.7;19.7;39.5;8;0.0;49.12;43.7;20.0;68.3;0.6466;0.7333;0.6871;0.7380;0.4379;0.1605;0.1396;20.0;20.0;55.0;75.0;75.0
17;R1 215m Draycott Place;20:57:41;114.1;7.9;53.7;1;0.0;38.41;88.6;22.5;73.3;0.5606;0.7465;0.4879;0.7740;0.5354;0.2064;0.1434;20.0;25.0;60.0;80.0;80.0
18;R2 165m Cliveden Place;20:58:51;57.0;14.7;53.9;0;0.0;45.62;81.5;20.0;71.7;0.5502;0.5151;0.5452;0.6289;0.4278;0.1808;0.0000;30.0;10.0;55.0;85.0;75.0
19;R3 283m Basil Street → Hans Road → Brompton Road;21:01:31;144.7;7.8;53.2;1;0.0;40.96;90.7;10.0;83.3;0.5805;0.5288;0.6475;0.8257;0.5813;0.2175;0.0779;10.0;10.0;70.0;90.0;90.0
20;R7 170m Astell Street → Burnsall Street → King's Road;21:02:29;41.0;22.7;44.7;2;0.0;37.39;52.4;10.0;88.3;0.5994;0.5722;0.6884;0.9532;0.5471;0.1627;0.3044;10.0;10.0;75.0;95.0;95.0
21;R1 215m Draycott Place;21:02:59;30.1;43.2;53.8;0;0.0;37.98;56.3;5.0;91.7;0.5800;0.5710;0.5480;0.7480;0.4640;0.2050;0.0930;5.0;5.0;80.0;100.0;95.0
