round;route;endedAt;durationS;avgSpeedKmh;maxSpeedKmh;collisions;maxStuckS;energyKwh100km;avgEcoScore;taskLoad;acceptance;p0;p1;p2;p3;p4;p5;p6;tlxMental;tlxDistraction;accInformed;accPleasant;accGlance
1;R1 215m Draycott Place;12:36:14;130.8;16.5;46.6;3;0.0;27.08;86.8;22.5;80.0;0.1651;0.5582;0.3691;0.1648;0.5080;0.1981;0.2424;25.0;20.0;70.0;90.0;80.0
2;R2 165m Cliveden Place;12:37:15;60.9;17.3;36.1;3;0.0;29.46;72.6;27.5;71.7;0.7589;0.5206;0.6320;0.8143;0.9647;0.7680;0.7059;25.0;30.0;65.0;75.0;75.0
3;R3 283m Basil Street → Hans Road → Brompton Road;12:39:22;127.1;10.8;44.4;8;0.0;32.56;34.2;30.0;75.0;0.9133;0.9356;0.8837;0.6488;0.3268;0.1459;0.8796;30.0;30.0;75.0;70.0;80.0
4;R7 170m Astell Street → Burnsall Street → King's Road;12:40:41;78.4;11.0;44.7;11;0.0;44.09;27.0;30.0;78.3;0.9678;0.2263;0.0723;0.2011;0.8686;0.3885;0.4604;25.0;35.0;75.0;80.0;80.0
5;R1 215m Draycott Place;12:41:31;50.5;22.1;41.9;3;0.0;35.80;57.5;27.5;80.0;0.0542;0.0884;0.0039;0.2040;0.0443;0.4012;0.7790;25.0;30.0;80.0;80.0;80.0
6;R2 165m Cliveden Place;12:42:08;36.6;30.7;42.8;1;0.0;31.29;75.8;27.5;68.3;0.9020;0.5243;0.6122;0.0092;0.3450;0.3212;0.0240;25.0;30.0;65.0;75.0;65.0
7;R3 283m Basil Street → Hans Road → Brompton Road;12:43:30;82.3;17.5;42.9;9;0.0;26.91;50.6;30.0;73.3;0.8293;0.4602;0.6328;0.6794;0.7118;0.2124;0.1340;30.0;30.0;70.0;75.0;75.0
8;R7 170m Astell Street → Burnsall Street → King's Road;12:44:19;48.7;18.8;27.7;9;0.0;17.33;54.5;32.5;80.0;0.7800;0.9029;0.2307;0.2354;0.2053;0.8273;0.0010;35.0;30.0;75.0;85.0;80.0
9;R1 215m Draycott Place;12:45:09;49.9;23.2;31.2;3;0.0;16.33;67.2;27.5;78.3;0.4514;0.3835;0.7124;0.8257;0.8265;0.9066;0.7865;30.0;25.0;75.0;80.0;80.0
10;R2 165m Cliveden Place;12:45:54;44.8;23.0;30.5;2;0.0;20.13;67.5;27.5;75.0;0.7226;0.6026;0.9331;0.1966;0.4162;0.4753;0.3337;25.0;30.0;70.0;80.0;75.0
11;R3 283m Basil Street → Hans Road → Brompton Road;12:47:03;68.5;18.3;28.1;4;0.0;15.99;55.7;27.5;78.3;0.5992;0.8174;0.3153;0.9136;0.6060;0.1694;0.8121;25.0;30.0;80.0;75.0;80.0
12;R7 170m Astell Street → Burnsall Street → King's Road;12:48:03;60.0;12.1;37.1;9;0.0;31.12;44.3;30.0;80.0;0.2701;0.3340;0.0494;0.5823;0.3078;0.3349;0.6091;25.0;35.0;75.0;85.0;80.0
13;R1 215m Draycott Place;12:48:44;41.9;27.6;44.0;4;0.0;30.94;67.8;30.0;80.0;0.6571;0.9354;0.5478;0.5606;0.9900;0.3984;0.5837;20.0;40.0;85.0;80.0;75.0
14;R2 165m Cliveden Place;12:49:16;31.9;38.1;53.5;0;0.0;37.03;61.5;25.0;75.0;0.9288;0.1827;0.8017;0.9952;0.2362;0.4519;0.8973;20.0;30.0;80.0;70.0;75.0
15;R3 283m Basil Street → Hans Road → Brompton Road;12:50:13;56.5;23.8;50.8;6;0.0;40.96;44.6;22.5;80.0;0.7552;0.1220;0.2902;0.2401;0.4417;0.2578;0.6281;15.0;30.0;75.0;85.0;80.0
16;R7 170m Astell Street → Burnsall Street → King's Road;12:54:02;72.0;13.7;44.7;24;0.0;53.77;32.6;17.5;75.0;0.4736;0.7684;0.1972;0.2254;0.4291;0.1866;0.2506;20.0;15.0;70.0;80.0;75.0
17;R1 215m Draycott Place;12:57:24;44.2;30.5;37.5;0;0.0;22.09;79.2;22.5;88.3;0.4060;0.2481;0.8474;0.2123;0.6222;0.1436;0.5118;25.0;20.0;90.0;85.0;90.0
18;R2 165m Cliveden Place;12:59:07;35.7;31.7;47.3;1;0.0;32.32;75.7;27.5;78.3;0.1549;0.2619;0.9666;0.0955;0.6927;0.1413;0.5063;25.0;30.0;75.0;80.0;80.0
19;R3 283m Basil Street → Hans Road → Brompton Road;13:01:15;59.1;22.8;48.4;8;0.0;37.40;42.3;27.5;80.0;0.4449;0.2238;0.7190;0.2420;0.4098;0.1418;0.3918;25.0;30.0;85.0;85.0;70.0
20;R7 170m Astell Street → Burnsall Street → King's Road;13:03:24;47.7;17.1;40.2;15;0.0;39.39;36.2;25.0;86.7;0.4007;0.3520;0.7123;0.2448;0.5888;0.2735;0.5631;25.0;25.0;90.0;90.0;80.0
21;R1 215m Draycott Place;13:04:00;35.0;33.0;46.7;1;0.0;24.15;77.5;25.0;81.7;0.4060;0.2480;0.8470;0.2120;0.6220;0.1440;0.5120;20.0;30.0;85.0;85.0;75.0
