participant,round,size_leaf_norm,size_score_norm,size_feedback_norm,size_speed_norm,size_accel_norm,size_labels_norm,opacity_norm,size_leaf_phys,size_score_phys,size_feedback_phys,size_speed_phys,size_accel_phys,size_labels_phys,opacity_phys,visible_leaf,visible_score,visible_feedback,visible_accel,visible_labels,speed_alpha
P03,1,0.3378,0.9983,0.9914,0.3836,0.6426,0.8436,0.2648,0.4391,1.2978,1.2888,0.8685,0.8354,1.0967,0.3383,False,True,True,True,True,0.4
P03,2,0.4678,0.4002,0.1365,0.0313,0.87,0.4997,0.7401,0.6081,0.5203,0.1775,0.6219,1.131,0.6496,0.7661,True,False,False,True,True,0.7661
P03,3,0.9558,0.0258,0.4746,0.2971,0.4434,0.6079,0.1231,1.2425,0.0335,0.617,0.808,0.5764,0.7903,0.2108,True,False,True,False,True,0.4
P03,4,0.8331,0.6163,0.4329,0.1385,0.1136,0.7325,0.902,1.083,0.8012,0.5628,0.6969,0.1477,0.9523,0.9118,True,True,False,False,True,0.9118
P03,5,0.7922,0.2944,0.3431,0.2498,0.2318,0.8062,0.5256,1.0299,0.3827,0.446,0.7749,0.3013,1.0481,0.573,True,False,False,False,True,0.573
P03,6,0.3696,0.2503,0.9968,0.7651,0.0865,0.179,0.8507,0.4805,0.3254,1.2958,1.1356,0.1124,0.2327,0.8656,False,False,True,False,False,0.8656
P03,7,0.8185,0.0803,0.623,0.8324,0.8688,0.9229,0.9794,1.064,0.1044,0.8099,1.1827,1.1294,1.1998,0.9815,True,False,True,True,True,0.9815
P03,8,0.4913,0.0865,0.9161,0.2505,0.0735,0.5106,0.8168,0.6387,0.1124,1.1909,0.7753,0.0955,0.6638,0.8351,True,False,True,False,True,0.8351
P03,9,0.8712,0.7013,0.2842,0.7187,0.5438,0.2586,0.6193,1.1326,0.9117,0.3695,1.1031,0.7069,0.3362,0.6574,True,True,False,True,False,0.6574
P03,10,0.5732,0.9354,0.3553,0.4103,0.6405,0.7869,0.9559,0.7452,1.216,0.4619,0.8872,0.8327,1.023,0.9603,True,True,False,True,True,0.9603
P03,11,0.617,0.791,0.4684,0.3732,0.2653,0.1257,0.5428,0.8021,1.0283,0.6089,0.8612,0.3449,0.1634,0.5885,True,True,True,False,False,0.5885
P03,12,0.1036,0.5829,0.8622,0.3217,0.9198,0.0123,0.7312,0.1347,0.7578,1.1209,0.8252,1.1957,0.016,0.7581,False,True,True,True,False,0.7581
P03,13,0.1668,0.6498,0.2918,0.5361,0.993,0.5503,0.0366,0.2168,0.8447,0.3793,0.9753,1.2909,0.7154,0.1329,False,True,False,True,True,0.4
P03,14,0.858,0.812,0.4343,0.463,0.4244,0.8007,0.2659,1.1154,1.0556,0.5646,0.9241,0.5517,1.0409,0.3393,True,True,False,False,True,0.4
P03,15,0.9788,0.658,0.6187,0.823,0.3477,0.4655,0.3834,1.2724,0.8554,0.8043,1.1761,0.452,0.6052,0.4451,True,True,True,False,True,0.4451
P03,16,0.8826,0.2742,0.2813,0.4829,0.0818,0.9043,0.5537,1.1474,0.3565,0.3657,0.938,0.1063,1.1756,0.5983,True,False,False,False,True,0.5983
P03,17,0.4188,0.3276,0.1958,0.255,0.2678,0.7845,0.3147,0.5444,0.4259,0.2545,0.7785,0.3481,1.0198,0.3832,False,False,False,False,True,0.4
P03,18,0.7954,0.211,0.3954,0.7377,0.7073,0.8695,0.4347,1.034,0.2743,0.514,1.1164,0.9195,1.1304,0.4912,True,False,False,True,True,0.4912
P03,19,0.7748,0.247,0.3992,0.1832,0.103,0.8605,0.4524,1.0072,0.3211,0.519,0.7282,0.1339,1.1187,0.5072,True,False,False,False,True,0.5072
P03,20,0.8414,0.1274,0.4574,0.2518,0.4529,0.847,0.5304,1.0938,0.1656,0.5946,0.7763,0.5888,1.1011,0.5774,True,False,False,False,True,0.5774
P03,21,0.792,0.294,0.343,0.25,0.232,0.806,0.526,1.0296,0.3822,0.4459,0.775,0.3016,1.0478,0.5734,True,False,False,False,True,0.5734
