round;route;endedAt;durationS;avgSpeedKmh;maxSpeedKmh;collisions;maxStuckS;energyKwh100km;avgEcoScore;taskLoad;acceptance;p0;p1;p2;p3;p4;p5;p6;tlxMental;tlxDistraction;accInformed;accPleasant;accGlance
1;R1 215m Draycott Place;15:01:58;83.3;45.9;53.6;1;0.0;37.87;54.0;77.5;73.3;0.2290;0.4574;0.6023;0.1565;0.4496;0.6435;0.6009;75.0;80.0;70.0;75.0;75.0
2;R2 165m Cliveden Place;15:03:16;78.0;16.8;54.2;0;0.0;43.59;78.9;17.5;71.7;0.8946;0.9531;0.7645;0.5604;0.8291;0.0518;0.5443;30.0;5.0;65.0;80.0;70.0
3;R3 283m Basil Street → Hans Road → Brompton Road;15:05:23;126.5;19.3;53.0;4;0.0;36.18;39.6;15.0;80.0;0.7683;0.9691;0.5864;0.3677;0.3819;0.4537;0.4845;25.0;5.0;75.0;80.0;85.0
4;R7 170m Astell Street → Burnsall Street → King's Road;15:06:20;57.7;14.6;47.6;3;0.0;42.85;55.9;10.0;83.3;0.9351;0.7031;0.3239;0.3212;0.1664;0.8187;0.3472;15.0;5.0;75.0;90.0;85.0
5;R1 215m Draycott Place;15:07:06;45.7;37.1;53.9;0;0.0;32.54;58.6;10.0;81.7;0.1174;0.0452;0.0239;0.4104;0.0073;0.8734;0.4407;10.0;10.0;75.0;85.0;85.0
6;R2 165m Cliveden Place;15:07:36;30.1;34.4;54.3;0;0.0;45.14;62.3;7.5;83.3;0.4646;0.7817;0.7161;0.0666;0.9485;0.8702;0.4660;10.0;5.0;85.0;85.0;80.0
7;R3 283m Basil Street → Hans Road → Brompton Road;15:08:51;74.4;17.0;52.7;9;0.0;38.87;32.6;12.5;90.0;0.7948;0.5234;0.6950;0.7473;0.3602;0.3840;0.2482;10.0;15.0;95.0;90.0;85.0
8;R7 170m Astell Street → Burnsall Street → King's Road;15:09:49;58.3;14.7;44.9;3;0.0;51.24;36.7;10.0;88.3;0.6177;0.5399;0.7906;0.5900;0.5978;0.9414;0.9031;10.0;10.0;100.0;75.0;90.0
9;R1 215m Draycott Place;15:10:22;32.5;40.1;53.5;0;0.0;39.48;57.1;12.5;91.7;0.8414;0.1489;0.2808;0.0606;0.8442;0.9069;0.2809;10.0;15.0;90.0;95.0;90.0
10;R2 165m Cliveden Place;15:10:55;33.4;38.2;54.4;0;0.0;44.43;58.2;5.0;85.0;0.2445;0.2095;0.0407;0.2641;0.3390;0.2371;0.5910;10.0;0.0;85.0;85.0;85.0
11;R3 283m Basil Street → Hans Road → Brompton Road;15:11:46;50.4;31.9;52.7;5;0.0;42.97;55.8;7.5;90.0;0.3396;0.2760;0.9464;0.5122;0.1855;0.5441;0.6773;10.0;5.0;90.0;90.0;90.0
12;R7 170m Astell Street → Burnsall Street → King's Road;15:12:23;37.1;21.9;47.4;2;0.0;48.08;42.9;10.0;86.7;0.2700;0.7377;0.3029;0.4372;0.3830;0.2578;0.1105;10.0;10.0;90.0;85.0;85.0
13;R1 215m Draycott Place;15:13:01;37.8;43.4;53.7;0;0.0;38.56;56.1;12.5;86.7;0.0906;0.0244;0.7533;0.7515;0.9488;0.6025;0.5086;10.0;15.0;85.0;85.0;90.0
14;R2 165m Cliveden Place;15:13:30;29.3;36.6;54.4;0;0.0;43.95;59.5;7.5;90.0;0.2255;0.2007;0.6707;0.5926;0.8698;0.7001;0.2368;5.0;10.0;90.0;90.0;90.0
15;R3 283m Basil Street → Hans Road → Brompton Road;15:14:25;55.0;22.7;53.1;3;0.0;31.12;41.5;5.0;90.0;0.7975;0.6748;0.3428;0.0916;0.0566;0.2210;0.1053;5.0;5.0;90.0;90.0;90.0
16;R7 170m Astell Street → Burnsall Street → King's Road;15:16:24;33.2;28.8;49.1;5;0.0;42.03;50.1;12.5;88.3;0.0913;0.2981;0.1682;0.7281;0.2422;0.3505;0.1489;10.0;15.0;90.0;90.0;85.0
17;R1 215m Draycott Place;15:18:28;31.2;43.8;53.6;0;0.0;27.28;51.5;7.5;90.0;0.4304;0.1300;1.0000;0.7143;0.3863;0.7416;0.6457;5.0;10.0;90.0;85.0;95.0
18;R2 165m Cliveden Place;15:20:57;31.9;40.0;54.3;0;0.0;45.11;56.6;7.5;90.0;0.6570;0.3448;0.9069;0.8027;0.3581;0.7408;0.8903;10.0;5.0;90.0;95.0;85.0
19;R3 283m Basil Street → Hans Road → Brompton Road;15:24:24;61.4;22.3;51.4;6;0.0;49.97;37.8;12.5;91.7;0.4195;0.1110;0.1871;0.6364;0.3003;0.8023;0.9087;15.0;10.0;90.0;95.0;90.0
20;R7 170m Astell Street → Burnsall Street → King's Road;15:27:49;44.9;17.8;41.9;3;0.0;48.59;36.3;12.5;91.7;0.3473;0.2796;0.6042;0.6411;0.9948;1.0000;0.8919;10.0;15.0;95.0;90.0;90.0
21;R1 215m Draycott Place;15:28:33;44.1;29.3;53.4;0;0.0;38.17;68.5;5.0;85.0;0.7980;0.6750;0.3430;0.0920;0.0570;0.2210;0.1050;5.0;5.0;80.0;85.0;90.0
