round;route;endedAt;durationS;avgSpeedKmh;maxSpeedKmh;collisions;maxStuckS;energyKwh100km;avgEcoScore;taskLoad;acceptance;p0;p1;p2;p3;p4;p5;p6;tlxMental;tlxDistraction;accInformed;accPleasant;accGlance
1;R1 215m Draycott Place;12:05:12;58.5;27.8;54.0;0;0.0;39.93;70.1;40.0;40.0;0.8060;0.7127;0.8271;0.3709;0.3917;0.5462;0.3599;40.0;40.0;40.0;40.0;40.0
2;R2 165m Cliveden Place;12:05:42;30.1;40.9;54.2;0;0.0;44.40;56.1;50.0;51.7;0.9719;0.3467;0.2103;0.8143;0.9946;0.2457;0.0517;50.0;50.0;50.0;50.0;55.0
3;R3 283m Basil Street → Hans Road → Brompton Road;12:06:45;63.3;24.1;52.9;5;0.0;37.47;43.2;60.0;58.3;0.5094;0.8596;0.5912;0.1891;0.1244;0.1092;0.2226;60.0;60.0;60.0;55.0;60.0
4;R7 170m Astell Street → Burnsall Street → King's Road;12:07:43;57.2;20.4;42.2;4;0.0;37.17;43.5;62.5;61.7;0.9743;0.7717;0.2811;0.7880;0.6174;0.5103;0.1998;60.0;65.0;65.0;60.0;60.0
5;R1 215m Draycott Place;12:08:32;49.0;34.0;52.8;0;0.0;43.66;59.3;55.0;56.7;0.1146;0.6818;0.6487;0.4411;0.4304;0.4116;0.5255;60.0;50.0;55.0;60.0;55.0
6;R2 165m Cliveden Place;12:09:00;28.2;39.0;54.3;0;0.0;44.46;57.6;50.0;51.7;0.4499;0.0038;0.9482;0.1614;0.7095;0.4659;0.3968;50.0;50.0;50.0;50.0;55.0
7;R3 283m Basil Street → Hans Road → Brompton Road;12:10:13;73.3;19.5;53.5;3;0.0;40.44;39.5;62.5;58.3;0.6234;0.2292;0.6418;0.8622;0.5531;0.6931;0.7411;60.0;65.0;60.0;60.0;55.0
8;R7 170m Astell Street → Burnsall Street → King's Road;12:11:19;65.9;22.4;43.4;2;0.0;39.17;40.6;45.0;58.3;0.3450;0.7034;0.9173;0.6875;0.4004;0.0936;0.6398;45.0;45.0;60.0;55.0;60.0
9;R1 215m Draycott Place;12:12:04;44.4;39.9;53.4;0;0.0;32.83;54.5;32.5;61.7;0.1239;0.1330;0.6172;0.7330;0.7734;0.7648;0.6258;35.0;30.0;60.0;65.0;60.0
10;R2 165m Cliveden Place;12:12:42;38.2;42.3;54.3;0;0.0;43.91;54.0;37.5;63.3;0.8480;0.9212;0.1002;0.6791;0.8491;0.2052;0.8642;40.0;35.0;65.0;60.0;65.0
11;R3 283m Basil Street → Hans Road → Brompton Road;12:13:56;74.4;19.5;50.0;1;0.0;33.20;41.3;40.0;61.7;0.1826;0.0028;0.2391;0.7925;0.9133;0.4967;0.3890;40.0;40.0;60.0;65.0;60.0
12;R7 170m Astell Street → Burnsall Street → King's Road;12:14:56;59.1;11.9;43.2;2;0.0;33.58;35.9;32.5;66.7;0.0766;0.5461;0.9217;0.5593;0.9817;0.2141;0.8811;30.0;35.0;65.0;70.0;65.0
13;R1 215m Draycott Place;12:15:30;34.7;33.6;46.5;1;0.0;36.70;70.7;22.5;71.7;0.4302;0.2016;0.9595;0.1959;0.2887;0.2000;0.2302;20.0;25.0;70.0;70.0;75.0
14;R2 165m Cliveden Place;12:16:05;34.1;36.2;52.4;0;0.0;40.78;62.2;30.0;70.0;0.5888;0.5960;0.5232;0.0152;0.1826;0.8947;0.4388;40.0;20.0;70.0;70.0;70.0
15;R3 283m Basil Street → Hans Road → Brompton Road;12:17:23;78.1;18.7;51.5;0;0.0;38.49;35.1;32.5;75.0;0.8365;0.3037;0.5602;0.7247;0.9739;0.4446;0.3375;25.0;40.0;80.0;65.0;80.0
16;R7 170m Astell Street → Burnsall Street → King's Road;12:18:46;44.5;17.3;36.1;1;0.0;29.86;48.5;17.5;73.3;0.2549;0.2879;0.5732;0.7888;0.8879;0.4295;0.4799;15.0;20.0;75.0;65.0;80.0
17;R1 215m Draycott Place;12:20:07;30.9;36.7;50.1;0;0.0;36.20;69.9;10.0;81.7;0.1558;0.5302;0.5741;0.9260;0.8728;0.4262;0.1480;10.0;10.0;85.0;75.0;85.0
18;R2 165m Cliveden Place;12:21:10;35.0;34.0;49.7;0;0.0;38.90;71.8;37.5;60.0;0.7346;0.5728;0.5339;1.0000;0.8566;0.4143;0.0935;35.0;40.0;60.0;60.0;60.0
19;R3 283m Basil Street → Hans Road → Brompton Road;12:22:39;64.5;19.7;51.3;7;0.0;36.56;50.6;30.0;71.7;0.0434;0.5662;0.6154;0.8866;0.9064;0.4341;0.3098;30.0;30.0;70.0;65.0;80.0
20;R7 170m Astell Street → Burnsall Street → King's Road;12:24:07;56.4;13.6;39.3;4;0.0;32.48;35.4;15.0;78.3;0.1997;0.4981;0.5640;0.8389;0.8572;0.3956;0.1370;15.0;15.0;80.0;70.0;85.0
21;R1 215m Draycott Place;12:24:46;39.7;32.8;51.4;0;0.0;34.89;72.6;7.5;90.0;0.2000;0.4980;0.5640;0.8390;0.8570;0.3960;0.1370;5.0;10.0;95.0;80.0;95.0
